,speech_par_id,text,label,annotated_at
0,1330_12,"On the whole, it seems painfully clear that the new Republicanism is no different from the old as far as its leadership is concerned. The label has changed, but not the stuff in the package. Much as many Americans hope otherwise, official Republicanism remains a policy of indifference to much except the aspirations of property. It remains the spokesman of big business and wealth. Nor should we complain. That is a wholly legitimate function. But it is not the proper function of government, of the executive branch, in this beloved country of ours.America needs today, and needs badly, the restoration of government, which recognizes the existence of people--which will seek to meet their needs, to guarantee their rights, and to enlarge their opportunities. It is the nature and tradition of the Democratic party and of the Liberal tradition to care about people--and care about them, not as statistics in a market survey, but as individual men and women and children. And that is why we will win in 1956!",not populist,1/7/21 13:41
1,2012-11-05-rally-columbus-ohio_24,"But here's the thing, Ohio: We know what change looks like. And what he's selling ain't it. Giving more power to the biggest banks is not change. Another $5 trillion tax cut favoring the wealthy, not change. Refusing to answer questions about the details of your policies until after the election, that's definitely not change. That's an old trick. Ruling out compromise by pledging to rubberstamp the Tea Party's agenda in Congress, not change. Changing the facts when they're inconvenient to your campaign, that's definitely not change.",not populist,1/7/21 13:41
2,1154_5,"Ladies and gentlemen, I am here, of course, as a political candidate and I explained to you at the outset the reasons that I undertook such a task.  It has its ridiculous sides.  The other evening I was at a television show and I was one of the performers and a man came around and said, """"I must put some powder on the top of your head so it doesn't shine on the television.""""  He announced himself as a makeup artist.  Then he began to laugh and he said to me, """"General, I was in your 101st Airborne Division.  I was a paratrooper that dropped...,"""" and then he named all the battles at which the 101st fought--a magnificent division, as every veteran here will tell you.  He said to me, """"Haven't you and I come to a pretty pass, you a politician and me a makeup artist?""""  So ladies and gentlemen, this new chore of mine does have its occasional light moments.  Certainly it has its very satisfactory moments.  This opportunity of meeting face to face, and very informally, hundreds of my countrymen is the part of this whole political business that appeals to me.  I don't think I am too important, but I do think that what we are standing for, a government of honesty, a government made up of men and women who will not tolerate any hint of veniality, corruption and crookedness is important.",not populist,1/7/21 13:42
3,1835_8,"I could do that.  Obviously, I want to win this election.  Why don't I say that?  I'll tell you why.  Because I know something that you know.  I know that I'm not paying off those promises with my money, but with yours.  I know, therefore, that it's my responsibility to see to it that America's government spends every dollar that it should for defense, every dollar that it should for education, every dollar that it should in every other area, but I also realize that a president of the United States has the responsibility to stand up against the pressure groups, who for this, that, or the other thing for themselves would have us spend money that would be not in the best interests for all the people of this country, and I want you to know when I go to Washington, if I get that opportunity, as the president of this country, that I'll not owe my election to any boss, whether that boss may be in labor or whether he's in management or whether he's in any other kind of institution in this country.  I happen to believe, my friends, that whoever is president of this country has to owe his allegiance to only one boss, and that's the American people, and I'm going to be with the American people.",not populist,1/7/21 13:43
4,2016-10-12-pavilion-ocala-florida_67,"More Wall Street cheating, more terrible trade deals. And as WikiLeaks showed, she wants to cut your Medicare and Social Security benefits. You didn't see that.",not populist,1/7/21 13:43
5,2004-10-29-orlando-florida-2_18,"Jobs get shipped overseas, but the companies who send them there get tax breaks. Today, America is replacing high-paying, middle-class jobs with temporary and part-time jobs that don't pay enough to make ends meet. But big corporations keep getting higher profits and larger tax breaks.",not populist,1/7/21 13:43
6,1486_4,"I believe in human dignity as the source of national purpose, in human liberty as the source of national action, and the human heart as the source of national compassion, and in the human mind as the source of our invention and our ideas. It is, I believe, this faith in our fellow citizens as individuals and as people that lies at the heart of the liberal faith; for liberalism is not so much a party creed or a set of fixed platform promises as it is an attitude of mind and heart, a faith in man's ability through the experiences of his reason and judgment to increase for himself and his fellow men the amount of justice and freedom and brotherhood which all human life deserves.  I believe also in the United States of America, in the promise that it contains and has contained throughout our history of producing a society so abundant and creative and so free and responsible that it can not only fulfill the aspirations of its citizens, but serve equally well as a beacon for all mankind. I do not believe in a super-state. I see no magic to tax dollars which are sent to Washington and then returned. I abhor the waste and incompetence of large-scale federal bureaucracies in this administration, as well as in others. I do not favor state compulsion when voluntary individual effort can do the job and do it well. But I believe in a government which acts, which exercises its full powers and its full responsibilities. Government is an art and a previous obligation; and when it has a job to do, I believe it should do it. And this requires not only great ends, but that we propose concrete means of achieving them.",not populist,1/7/21 13:53
7,2016-10-31-campus-warren-michigan_12,"The Clinton crime spree ends on November 8th. And when we close the chapter on the Clintons, we open a bright new chapter focused on the American People. My Contract with The American Voter begins with a plan to restore honesty and accountability to our government.",populist,1/7/21 13:57
8,2016-10-12-state-fairgrounds-pueblo_27,"You know, that's called trickle down economics, but as with anything when it comes to Donald Trump, he wants to have the biggest tax breaks for the wealthy and corporations than we have ever, ever had. So I believe differently. We're going to invest in the middle class. We're going to invest in you, in your jobs, in your future.",not populist,1/7/21 13:57
9,2004-10-06-barre-pennsylvania-0_22,"The Senator and I have different views on another threat to our economy, frivolous lawsuits. He's been a part of the Washington crowd that has obstructed legal reform again and again. Meanwhile, all across America, unfair lawsuits are hurting small businesses. Lawsuits are driving up health care costs. Lawsuits are threatening ob-gyns all across our country. Lawsuits are driving good doctors out of practice. We need a President who will stand up to the trial lawyers in Washington, not put one on the ticket.",populist,1/7/21 13:58
