person,term,party,party_incumbent,prior_president,prior_vp,prior_congress,prior_governor,recession,pre_election_gdp,pre_election_unemployment,election_date
Eisenhower,1952,republican,0,0,0,0,0,0,8.35,3.116666667,1952-11-04
Stevenson,1952,democrat,1,0,0,0,1,0,8.35,3.116666667,1952-11-04
Eisenhower,1956,republican,1,1,0,0,0,0,3.15,4.15,1956-11-06
Stevenson,1956,democrat,0,0,0,0,1,0,3.15,4.15,1956-11-06
Nixon,1960,republican,1,0,1,0,0,1,-1.5,5.533333333,1960-11-08
Kennedy,1960,democrat,0,0,0,1,0,1,-1.5,5.533333333,1960-11-08
Johnson,1964,democrat,1,1,0,0,0,0,3.8,5.066666667,1964-11-03
Nixon,1968,republican,0,0,0,0,0,0,2.35,3.533333333,1968-11-05
Humphrey,1968,democrat,1,0,1,0,0,0,2.35,3.533333333,1968-11-05
Nixon,1972,republican,1,1,0,0,0,0,5.35,5.616666667,1972-11-07
McGovern,1972,democrat,0,0,0,1,0,0,5.35,5.616666667,1972-11-07
Ford,1976,republican,1,1,0,0,0,0,2.55,7.65,1976-11-02
Carter,1976,democrat,0,0,0,0,1,0,2.55,7.65,1976-11-02
Reagan,1980,republican,0,0,0,0,0,1,3.6,7.6,1980-11-04
Carter,1980,democrat,1,1,0,0,0,1,3.6,7.6,1980-11-04
Reagan,1984,republican,1,1,0,0,0,0,3.6,7.383333333,1984-11-06
Mondale,1984,democrat,0,0,0,0,0,0,3.6,7.383333333,1984-11-06
Bush,1988,republican,1,0,1,0,0,0,3.9,5.466666667,1988-11-08
Dukakis,1988,democrat,0,0,0,0,1,0,3.9,5.466666667,1988-11-08
Bush,1992,republican,1,1,0,0,0,0,4.1,7.6,1992-11-03
Clinton,1992,democrat,0,0,0,0,1,0,4.1,7.6,1992-11-03
Dole,1996,republican,0,0,0,1,0,0,3.9,5.316666667,1996-11-05
Clinton,1996,democrat,1,1,0,0,0,0,3.9,5.316666667,1996-11-05
Gore,2000,democrat,1,0,1,1,0,0,1.5,3.983333333,2000-11-07
Kerry,2004,democrat,0,0,0,1,1,0,3.95,5.5,2004-11-02
Bush,2004,republican,1,1,0,0,1,0,3.95,5.5,2004-11-02
Obama,2008,democrat,0,0,0,1,0,1,-5.25,5.916666667,2008-11-04
McCain,2008,republican,1,0,0,1,0,1,-5.25,5.916666667,2008-11-04
Obama,2012,democrat,1,1,0,1,0,0,0.5,8.05,2012-11-06
Romney,2012,republican,0,0,0,1,1,0,0.5,8.05,2012-11-06
Clinton,2016,democrat,1,0,0,1,0,0,2.35,4.883333333,2016-11-08
Trump,2016,republican,0,0,0,0,0,0,2.35,4.883333333,2016-11-08
