,par_id,text,label,annotated_at
0,31,"America's response to the Soviet Union against Czechoslovakia is not rash and should not be rash, but it must be realistic and a realistic appraisal of the assumptions and the promises that underlie American policy toward the Soviet Union. A policy of realism toward the Soviet today will be a policy that is directed toward their prudence and not just toward their good will. That kind of policy holds the prospect of peace.",not populist,2020-11-16 21:16:23
1,16,"While Bill Clinton has a million little plans for our government to tell you how to run your life--Jack Kemp and I have one big plan that's simple and it's straightforward. It's a 15 percent across-the-board tax cut for families. It's a $500-per-child tax credit, and I see a lot of little $500 tax credits in front of me, right here.",not populist,2020-11-16 21:16:34
2,11,"The only """"welfare"""" in this campaign is John McCain's plan to give another $200 billion in tax cuts to the wealthiest corporations in America - including $4 billion in tax breaks to big oil companies that ran up record profits under George Bush. That's who John McCain is fighting for. But we can't afford four more years like the last eight. George Bush and John McCain are out of ideas, they are out of touch, and if you stand with me in 17 days they will be out of time.",populist,2020-11-16 21:16:59
3,12,"I do promise that in the next four years the national dignity will not be outraged by behavior which no president ought to tolerate in the White House. I do promise to renew the bond between the presidency and the people, forever conscious that the office of the president is a sacred trust. I do not couch my promises in high-sounding rhetoric. I promise simply that America will be able to hold its head up again.",not populist,2020-11-16 21:17:14
4,27,"So, my friends, in this whole field of peace, I think it's a pretty clear question. It's a question of one man who is one of the architects and the supporters of a program of failure. No peace in four years, and it's a question of another man who lived through an administration in which we did have peace for eight years and ended one war. That's the test.",not populist,2020-11-16 21:17:24
5,18,"We also have one of the only state plant closing laws in the country.  It was supported by business as well as labor.  And it has helped us save over 200 companies while helping over 20,000 workers to keep their job or find a new job at a decent wage.",not populist,2020-11-16 21:17:29
6,13,"We could put a price tag on the value of these human benefits, but who would want to do that? Who can even imagine the wonders that lie ahead if we just have the faith and the courage to push on? While I was growing up, the Model A was just replacing the Model T. And now, a child may grow up to see space travel become commonplace.",not populist,2020-11-16 21:17:35
7,15,"And I want to make it clear that if the Democratic Party is not successful in this campaign, we will continue to fight for the maintenance of freedom around the globe.   We will rebuild our diplomatic corps so we don't send ambassadors and others out because they have contributed to a campaign, who can't even speak the language, who can't even pronounce the names of the heads of the countries, who have never been there, who want to stay there for a year while the communists stay there day after day, speaking the dialect, working subversion, attempting to win control of the country. There are four countries in Africa which are independent, which are members of the United Nations, and there is not an American diplomatic member of our Foreign Service in residence in any of the four.  When Guinea became independent it took us two months to recognize its independence.  It took us eight months to send an ambassador...[missing text]...was there the day they got independence, and Guinea now supports the communist foreign policy.",not populist,2020-11-16 21:17:48
8,13,"It has dropped in half since the second quarter. Now, this is a real economic slowdown. And I might say it's disastrous news for American workers and businesses and even worse news for low-and middle-income Americans who have been squeezed and squeezed and squeezed by lower wages and higher taxes in this administration.",not populist,2020-11-16 21:17:58
9,39,"So, Wisconsin, we know what change is. We know what the future requires. But we also know it's not going to be easy. Back in 2008, we talked about it. I know everybody sometimes romanticizes the last campaign and the posters and all the good feeling. But I said back then, when I talk about change, I'm not just talking about changing Presidents or political parties. I'm talking about changing how our politics works.",not populist,2020-11-16 21:18:11
