,speech_par_id,text,bart_label,annotated_at,yuchen_label,,
0,979_0," I cannot speak tonight in this tabernacle without an awareness of the links between its history and that of the state from which I come.  Many of us who reside in Illinois have tasted the wholesome tonic of humility in contemplation of the mistakes to which our history bears witness at Nauvoo--the beautiful place--in Illinois where your forefathers stopped on their long journey and built another temple.  It was 106 years ago now that there were those """"burnings,"""" the persecution, the mob violence and the murders which finally drove the men and women of the Mormon faith on westward. When the caravans of those who today seek public office in this nation stop here with you, to meet with you in this, your tabernacle, they stop their clamor and haranguing. They seek the response of your hearts and your minds rather than of your hands or your voices.",inclusive,1/26/21 23:17,neither,0,inclusive of Mormons
1,2491_5,"Yes, the Commonwealth is widely known, and properly so, as the Mother of Presidents, and I am proud to be an adopted son. Our Bicentennial celebration vividly reminds us of the native sons and daughters of Virginia who have written glorious chapters in the history of this great country. Their names are American legends--George and Martha Washington, Jefferson, Madison, Monroe, Patrick Henry, George Mason, William Henry Harrison, Zachary Taylor, John Tyler, Woodrow Wilson, John Marshall, Robert E. Lee, Harry Byrd, Senior, and now Harry Byrd, Junior.",neither,1/26/21 23:18,neither,,
2,1678_3,"Now, if the people of the world begin to get that idea of the relative strength of our two societies, then it goes to the question of peace, and it goes to the question of our security.  How can we lead a free world if they no longer look to us as an example?  How can we speak for freedom when we no longer give an image of a strong free society?",neither,1/26/21 23:18,neither,,
3,2889_25,"The broken windows of Kristallnacht should have shattered the worldwide silence about what was happening to Germany's Jews.  Instead, anti-Semitism had free reign while the world stood by indifferent to the fate of a doomed people. History has shown us the cost of that indifference and taught us that no work so touches the human spirit as the work of remembrance.  We advocate remembrance, as our friend Elie Wiesel has said, """"as a means of redemption of the future.""""",inclusive,1/26/21 23:19,inclusive,,
4,2004-09-24-temple-university-philadelphia_38,"We will win when we work with our allies, to enable children in poor countries to get a quality basic education. More than 50 percent of the population in the Arab and Muslim world is under the age of 25. The future is a race between schools that spark learning and schools that teach hate. We have to preempt the haters. We have to win the war of ideas. New generations must believe there is more to life than salvation through martyrdom.",neither,1/26/21 23:20,neither,,
5,2004-09-09-remarks-colmar-pennsylvania_14,"I'm looking forward to this—I'm looking forward to the campaign. I'm—there's some things I want to do for the next 4 years. And I'm looking forward to telling the people of the country where I stand and where I believe and where I'm going to lead the country. I'm running with a clear and positive plan to build a safer world and a more hopeful America. I'm running with what I call a compassionate conservative philosophy, that Government should help people improve their lives, not try to run their lives.",neither,1/26/21 23:20,neither,,
6,2714_23,I believe in an America where all people have the right to pursue their faith not just freely but also without insult or embarrassment. I believe in an America that insists on the wall of separation between church and state.  That freedom has made our faith unadulterated and unintimidated.  It has made Americans the most religious people on earth.,inclusive,1/26/21 23:20,inclusive,,
7,3212_28,"And I say to you that seven weeks from today, the American people will elect the last president of the 20th century and the first president of the twenty-first century. But far more important, the American people will decide whether we're going to be a country that says, it takes a village to raise a child and a community to build a school, or you're on your own; whether we're going to be a country that says, we should try to build a bridge to a distant past, or a """"no, thank you, we're going to build a bridge to a bright, new future."""" If you want to build a bridge to that bright, new future, if you want us all to go over it together, if you believe we have an obligation to help one another make the most of our own lives and you like where we've come from compared to where we were, I hope that you will stand fast for education, for opportunity, for every single American and for working to build that bridge that we can all walk across together because our best days are still ahead.",neither,1/27/21 0:17,neither,,
8,1971_17,"Just as Abraham Lincoln abolished slavery 100 years ago, it is the dedicated purpose and objective of the Democratic Party in our time to abolish poverty in the United States of America. And when John Fitzgerald Kennedy was taken from us, he had this program on the drawing board. And thanks to the leadership of the Massachusetts delegation and that towering giant, the Speaker, that program was passed in less than 12 months from the time John Kennedy planned it.",neither,1/27/21 0:17,neither,,
9,2012-09-01-event-jacksonville-florida_2,"I look around here and I see veterans, I see Air Force, I see marines, I see Army over there. I see a lot of Navy. You know, President Obama inherited a difficult situation when he came into office, as he has reminded us a time or two. Here's the problem. He made things worse. We're not better off. We're worse off. So here's the question. Without a change in leadership, how are the next four years going to be any different than the last four years? We need leadership. We need to fix this country's problems before they get out of our control. We want that opportunity. Society with a safety net, a society of upward mobility where everybody can make the most of their lives. That's the American dream.",neither,1/27/21 0:18,neither,,
