"","Predictions_prob_1","Predictions_prob_0","text","speech_par_id","uncertainty","already_annotated","already_sampled","drawn","low_pride_bb","low_pride_yl","agree"
"1",0.351941227,0.648058773,"One of the founding fathers of our nation, Thomas Paine, spoke words that apply to all of us gathered here today. They apply directly to all sitting here in this room. He said, """"We have it in our power to begin the world over again.""""","2800_49",0.296117545,FALSE,NA,"uncertainty",0,0,1
"2",0.532781374,0.467218626,"In this century the Republicans have had three or four campaign slogans, """"Stand Pat With McKinley,"""" """"Return to Normalcy With Harding,"""" """"Keep Cool With Coolidge."""" The slogans for the Democratic party, on the other hand, have been the New Freedom, the New Deal, the Fair Deal, and Adlai Stevenson's New America. I come in 1960 talking about the new frontier. The new frontier is not the things that I am promising to do for you if I am elected president. The new frontier consists of the things that we are asking all of us to do for this country in the 1960s. This is a great country, but it deserves the best that we have. I suppose thirty or forty years ago, before the second administration of Woodrow Wilson, people who lived in this valley worried about their farms and their jobs, and now we worry about your farms and your jobs, but we worry about Cuba and the Congo and Indonesia, and the security of families, and the chances for peace. I ask your help in this campaign. I run for the office of the presidency not saying that if I am elected life will be easy, but I can promise you that I have a deep conviction, and I know that you share it, that we can do better than we are doing. If we can be stronger than we are, we can stand far more around the world than we do today. I am chairman of the Subcommittee on Africa of the Senate Foreign Relations Committee, and I can tell you that twenty or twenty-five years ago, African leaders quoted Lincoln, Jefferson, and Franklin Roosevelt. They don't quote anybody in America today. They look at Peking and Moscow, and wonder which road they should take. I think we have to reestablish ourselves as a vital and vigorous society, concerned with the needs of our own people and holding out a helping hand to those around the world who look to us for friendship and assistance.","1475_1",0.065562747,FALSE,NA,"uncertainty",1,1,1
"3",0.000247441,0.999752559,"During the past four years I have had to make some rather difficult decisions with regard to national defense, decisions with regard to whether we went through with this weapon system or that one that I thought was necessary in order for the United States not to become the second-strongest nation in the world. Some of those votes were very close, and always, of course, I sought support from all areas of our country, from businessmen, from people in organized labor and people in unorganized labor, working men and women, others throughout the country. Also, I have made some very hard decisions in the conduct of foreign policy. One of the hardest was the one I made on May 8th, when a massive Communist invasion took place in South Vietnam, where the Communists moved into the South, and where, in order to protect the 50,000 Americans that were there and in order to prevent the Communist imposition of a government on the people of South Vietnam, I ordered the mining of the harbors of Haiphong and the bombing of military targets in North Vietnam.","2319_7",0.999505119,FALSE,FALSE,"random",0,0,1
"4",0.375488867,0.624511133,"No Voice of America program was beamed to Latin America during the last 8 years in Spanish, not one, except for the 3 months of the Hungarian crisis.  We have rewarded those who have sustained us with indifference.  We have not recognized that this is an entirely different world in which we live than ten of fifteen years ago.  When Stalin died, John Foster Dulles said, """"The age of Stalin is over, and the age of Eisenhower begins.""""  I am not wholly convinced that that will be the verdict of history over the last seven or eight years.  I believe that this has been an entirely new period.  Just as when you stand by the ocean you cannot see the tide come in or go out, but if you leave it for a few hours, you can see which way it is moving, so historians for the perspective of 1970 and 1980 may draw a different conclusion about the last 8 years.  How much imprint have we left on our times?  If you read the debates of the United Nations, if you read the position that the new nations of the world are taking in those discussions, you realize that the relative power and influence of the United States is not increasing, as Mr. Nixon suggests; all is not well in the world.  We move with danger every day, and I believe the choice for the American people is between a party which believes that all is well and a party which rings the alarm bell.  I believe this is a time of danger.  I do not believe we can drift as usual.  I don't believe we can waste our natural resources.  I do not believe we can continue agricultural policies which drive down farm income.  I do not believe we can use our steel production, the great source of natural wealth, 50 percent of capacity.  I am not pleased to see countries around the world, when asked who will be first, say the Soviet Union in outer space, in science, in military power, in the next ten years.  I am not satisfied to have the balance of power begin to shift against us.  That is the alternative that the people of this community must face.  That is the prospect and that is the decision.  Do you wish to continue that leadership which has not only brought us to our present peril but which also does not recognize the peril?  Mr. Nixon accuses me of downgrading the United States.  I make no criticism as serious and severe as Governor Rockefeller made last June, or as General Ridgway has made before he began to graze contently in Richard Nixon's pasture.  His indictments were far greater than mine, and the indictments of fact are more serious than any statement I could make.  This is not a partisan issue.  All Americans share a common devotion to their country.  What I downgrade is our leadership and its prospects for the future.  I come here to this community where the land has been good to the people and where I hope a new administration will be fair to the land, where the tobacco program which has served us well and which has been carried on by a Democratic Congress I hope can be carried into other agricultural commodities, so that supply and demand will protect the interests of the farmer.  I hope the natural resources of this state, which has been blessed by resources, will be harnessed for the purposes of the state and the country.","1592_6",0.249022267,FALSE,NA,"uncertainty",1,1,1
"5",0.651972928,0.348027072,"There are many to blame for causing the crisis we are in, and that starts with the speculators on Wall Street who gamed the system and the regulators in Washington who looked the other way. But now that we're here, every American has a stake in solving this crisis and saving our financial system from collapse. Because if we don't act, your jobs, your life savings, and your economic security will be put at risk.","2008-09-24-remarks-dunedin-florida_3",0.303945856,FALSE,NA,"uncertainty",1,1,1
"6",0.000335703,0.999664297,"So let us remember that this is a season of progress. For the first time in decades, Tunisians, Egyptians, and Libyans voted for new leaders in elections that were credible, competitive, and fair. This democratic spirit has not been restricted to the Arab world. Over the past year, we've seen peaceful transitions of power in Malawi and Senegal, and a new President in Somalia. In Burma, a President has freed political prisoners and opened a closed society, a courageous dissident has been elected to Parliament, and people look forward to further reform. Around the globe, people are making their voices heard, insisting on their innate dignity and the right to determine their future.","2012-09-25-york-city-12_9",0.999328594,FALSE,FALSE,"random",0,0,1
"7",0.576031836,0.423968164,"And I'm telling you, at the end of Cold War, as we become a smaller world, we ought to be looking ahead to the twenty best years Americans have ever known. There is no reason we should work harder for less. There is no reason. There is no reason our people should not be able to have decent health care. There is no reason we shouldn't have world class education. I am tired of being told what we cannot do. And we've had enough """"can't do."""" I believe we can do better.","3035_20",0.152063672,FALSE,NA,"uncertainty",0,0,1
"8",0.475396618,0.524603382,"Well, if you'll help me the next ten days, you'll have Jimmy for the next four years; we'll be in it together; we'll make our country great once again. Thank you very much. I have love for you all.","2403_20",0.049206764,FALSE,NA,"uncertainty",1,1,1
"9",0.548075405,0.451924595,"The cause of change is always difficult to make. It is always easy to stay with a proven path even if it is failure. It takes courage to change. In 1960 President Kennedy was elected by 110,000 votes, less than one vote per precinct. My fellow Americans, this election is about what happens to our children and grandchildren. It is about whether we'll have four more years in which we double the debt again or one in which we increase investment and bring the debt down and take a stand for our children's future. It is about whether we have four more years with an out-of-control health care system or finally a system that provides affordable health care to all Americans.","3009_26",0.096150809,FALSE,NA,"uncertainty",1,1,1
"10",0.000266371,0.999733629,"Last year, cattle producers unfortunately lost millions of dollars when one major meatpacker went bankrupt. This legislation will prevent such losses in the future. These constructive amendments to the Packers and Stockyards Act will reassure producers, provide stability in the marketplace, and help to ensure an adequate supply of meat for American consumers.","2425_1",0.999467258,FALSE,FALSE,"random",0,0,1
