,Predictions_prob_1,Predictions_prob_0,text,uncertainty,already_annotated,already_sampled,drawn,speech_par_id,oscar_label,yuchen_label,final_code
5,0.871046402,0.128953598,"And just last week, Officer Daniel Pratt was killed with an automatic weapon while pursuing a gang of drug dealers. The streets of America don't belong to drug peddlers and crack gangs; they belong to us.  And we're going to take them back.",0.742092804,FALSE,NA,uncertainty,2899_5,exclusionary,neither,exclusionary
6,0.00024024,0.99975976,"There is no state in the union that depends more upon wise national policy than the state of New Mexico.  Your strong defense establishments in this state, the development of your natural resources, the development of peaceful use of atomic energy, the education of your people, jobs for your people, security for your aged--all these depend not just on the good judgment of your state officials, but in the final analysis it depends upon a progressive national administration.  To get water, to get fresh water from salt--and I recall the fight on the floor of the Senate, waged by Senator Anderson, to increase the appropriation--and the nation that is first to get fresh water from salt water at a competitive basis will gain the good will, the admiration, and the respect, not only of the people of this country, but all those hundreds of millions who live in deserts on the edge of oceans.  And this administration has ignored our opportunity in outer space and ignored our opportunity here.  This administration has ignored all of the thousands of young men and women of Spanish ancestry who speak the language, who could be working for freedom all over Latin America as ambassadors of peace.  I hope the next administration will use them. Do you know today the Soviet Union has ten times as many broadcasts in Spanish to Latin America as we do?  Do you know Mr. Nixon said several weeks ago that if we had thought of a program of aid for Latin America in 1955, we might have prevented Castro?  Well, why didn't we?  Why didn't we?  Will you tell me in the last eight years, eight years of change and revolution in Latin America, Africa, Asia, outer space, here in this state, the peaceful uses of atomic energy--what new program, what recognition of the age of change in which we live has this administration shown?  How have they shown foresight, wisdom, perseverance, and initiative?  What kind of people have they encouraged to represent our nation abroad, to work for it here at home?  What new programs have they suggested to raise this State and country off dead center?  Space?  We lost the race.  Peaceful uses of atomic energy?  You know the story better than anyone, how we failed, year after year, to make the maximum investment in this opportunity for peace and a better life.  Fresh water from salt water?  Ambassadors who could speak the language, Spanish and the rest?  Hold out the hand of the United States as a vital and progressive society?  ",0.99951952,FALSE,FALSE,random,1718_10,neither,inclusive,inclusive
19,0.177247323,0.822752677,"Candidate Obama said that one of his highest priorities would be to fix immigration in his first year in office. Despite his party having majorities in both houses of Congress, supermajorities, the president never even offered up a bill. Like so many issues confronting our nation, when it comes to immigration, politics have been put ahead of people for far too long.",0.645505354,FALSE,NA,uncertainty,2012-09-17-los-angeles-california_34,exclusionary,neither,neither
23,0.825676114,0.174323886,"Because our country doesn't win anymore. We don't win with trade, we don't win with our great military, we don't allow them to win, we don't win with ISIS The world is laughing at us. We don't win at the borders. We don't win with taking care of our vets. We don't win with anything. We don't win anymore. We will start winning again like you've never seen before.",0.651352228,FALSE,NA,uncertainty,2016-10-27-expo-springfield-ohio_57,neither,exclusionary,neither
37,0.869303983,0.130696017,"VOICES:  We want Humphrey!  We want Humphrey! VICE PRESIDENT HUMPHREY:  Yes, my friends, I have traveled America from coast to coast, from border to border in this year of anguish and anxiety, and we know that Americans have gone through a lot in 1968, more than most nations could ever take, and in the next four years they want and they need a president that they can trust.  They want a president who can build a solid and honorable peace, and they want a president who can hold this country together and keep it growing and open and free to every American. ",0.738607965,FALSE,NA,uncertainty,2135_8,inclusive,neither,neither
46,0.566573188,0.433426812,"The beginning of law and order is right here where we are now. I believe in dissent and I have practiced it all my life. Decent dissent, discussion, dialogue, debate, peaceful dissent, yes. But disorder, no. No disorder. ",0.133146377,FALSE,NA,uncertainty,2044_13,neither,exclusionary,exclusionary
49,0.691860514,0.308139486,"And the gangs are all over the place. And welfare use will decrease. We will have a peace dividend to spend on rebuilding America, beginning with our American inner cities. We're going to rebuild them, for once and for all.",0.383721029,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_107,exclusionary,neither,neither
50,0.794008938,0.205991062,"We do not want a police state but we need a state of law and order, and neither mob violence nor police brutality have any place in America. And I pledge to use every resource that is available to the presidency, every resource available to the president, to the end once and for all the fear that is in our cities. Now let me speak of other rights.",0.588017876,FALSE,NA,uncertainty,1995_33,neither,exclusionary,exclusionary
51,0.88230584,0.11769416,"I trust that everybody here heard what Bob Rays said a moment ago. It is something that I have said in every speech that I have made. We must establish respect for law. We must see that the laws are enforced. We must see that the first civil right of every American, to be free from domestic violence, becomes a reality again.",0.76461168,FALSE,NA,uncertainty,2161_21,neither,inclusive,exclusionary
76,0.537630692,0.462369308,"But Bill Clinton doesn't say, """"Just say no."""" He says just say nothing, and he's said nothing for four years, and drug use has doubled, marijuana use has gone up 144 percent. He even cut the Office of National Drug Control Policy by 83 percent. So when I am president--it's not very far away now--we are going to make a drug war a national priority once again in America to save your children and to save your grandchildren. And that includes being ready to use the capabilities of our armed forces to help stop illegal drugs before they make it across the border anywhere in this country. And I said that yesterday speaking to the National Guard. And it also includes working with governors to involve our National Guard more in keeping our children safe from drugs. The National Guard is willing to accept that mission. They are ready. They have children--they have grandchildren. They know the disaster, the crisis we're in now with drugs, which has gotten worse and worse and doubled in just the past four years.",0.075261384,FALSE,NA,uncertainty,3304_20,exclusionary,neither,neither
79,0.132184693,0.867815307,"This is good news for Americans. It shows that law-abiding citizens working with our police can take back our streets. It also shows that we can help. After years of Washington finger-pointing and rhetoric over who was to blame for rising crime, we came to Washington and started out with a different question: What can we all do together to help people in their local communities fight crime and lower the crime and violence rates, put more police on the beat, put tougher penalties on the books, get guns off the street and steer our young people away from crime and drugs and gangs in the first place?",0.735630614,FALSE,NA,uncertainty,3249_3,exclusionary,neither,neither
92,0.760944534,0.239055466,"Good afternoon.  Four years ago, at the close of a turbulent decade which had seen our nation engulfed by a rising tide of disorder and permissiveness, I campaigned for president with a pledge to restore respect for law, order, and justice in America.  I am pleased to be able to report to you today that we have made significant progress in that effort.",0.521889068,FALSE,NA,uncertainty,2333_0,neither,exclusionary,exclusionary
