Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,label_yl,label_bb,note_bb
0.895974507,0.104025493,"A Bush administration will continue to give full budgetary and political support to the Justice Department's Office of Special Investigations. As president, I will raise my voice and the full force of federal law when it is violated against every hate group, desecrator and demagogue--brown shirt, white shirt or bow tie--Skokie, Brooklyn, Chicago--wherever it is, the villain is the same. And so we must stay watchful here at home. But at the same time, we know too well that today's most immediate and perilous threats to Jewish life lie beyond our shores. These, too, are an American concern. For we are the only nation in the world whose principles and power are sufficient to help deter them.",2982_8,0.791949014,FALSE,,uncertainty,0,0, 
0.762260813,0.237739187,"If they break up a meeting they are denying others the freedom of assembly and they weaken democracy. And when they threaten to sit in the voting booths on election day, taunting the police to take them out, they are denying that great freedom to vote. And when violent, bigoted men desecrate cemeteries, burn churches, temples or synagogues, freedom of conscience is not only threatened, but it is destroyed. The tyranny of the majority in the form of government is oppressive. But the tyranny of a minority in the form of mob action and violence is equally oppressive. And I say that it is time for Americans to speak up and say a plague on both your houses; we condemn both.",2042_32,0.524521626,FALSE,,uncertainty,1,1, 
0.573252516,0.426747484,Anyone who has entered the United States illegally is subject to deportation. That is what it means to have laws and to have a country. Otherwise we don't have a country.,2016-08-31-center-phoenix-arizona_64,0.146505032,FALSE,,uncertainty,1,1, 
0.043333601,0.956666399,"Before I begin with my remarks, I do want to say how proud I am of our brave first responders working to keep us safe after the attacks of the last weekend in New York, New Jersey and Minnesota. There are now reports of a suspect in custody, but we must remain vigilant. This is a fast-moving situation and a sobering reminder that we need steady leadership in a dangerous world.",2016-09-19-university-philadelphia-pennsylvania_1,0.913332799,FALSE,,uncertainty,0,0, 
0.797870573,0.202129427,"Under my administration, anyone who illegally crosses the border will be detained until they are removed out of our country and back to the country from which they came. And they'll be brought great distances. We're not dropping them right across. They learned that. President Eisenhower. They'd drop them across, right across, and they'd come back. And across.",2016-08-31-center-phoenix-arizona_37,0.595741145,FALSE,,uncertainty,1,1, 
0.224042978,0.775957022,"Third, we'll do even more to help victims recover and rebuild their lives. We'll develop a new action plan to improve coordination across the Federal Government. We're increasing access to services to help survivors become self-sufficient. We're working to simplify visa procedures for T visas so that innocent victims from other countries can stay here as they help us prosecute their traffickers.",2012-09-25-york-city-1_18,0.551914044,FALSE,,uncertainty,0,0, 
0.048107574,0.951892426,"Number three. Number three, this is the one, I think it's so great. It's hard to believe, people don't even talk about it. Zero tolerance for criminal aliens. Zero. Zero.",2016-08-31-center-phoenix-arizona_39,0.903784853,FALSE,,uncertainty,1,1, 
0.090482435,0.909517565,"And the same goes for government benefits. The Center for Immigration Studies estimates that 62 percent of households headed by illegal immigrants use some form of cash or non-cash welfare programs like food stamps or housing assistance. Tremendous costs, by the way, to our country. Tremendous costs. This directly violates the federal public charge law designed to protect the United States Treasury. Those who abuse our welfare system will be priorities for immediate removal.",2016-08-31-center-phoenix-arizona_91,0.81903513,FALSE,,uncertainty,1,1, 
0.707071215,0.292928785,"A cab driver had been brutally murdered and the man that confessed the crime was let off because of a Supreme Court decision. An old woman had been murdered and robbed brutally, and then she was--and the man who confessed the crime was let off because of a Supreme Court decision. And an old man had been beaten and clubbed to death and the man who had committed the crime was let off when he was on a spending spree in Las Vegas after he confessed, because of a Supreme Court decision.",2181_24,0.41414243,FALSE,,uncertainty,0,0, 
0.960618542,0.039381458,"The answer is to back our police officers. Get the gridlock guys in Congress to give us stronger anti-crime legislation, and let's have more sympathy for the victim of crime and a little less for the criminal. Governor Clinton has had about four economic plans, and he's given up on the budget deficit. Let me give you three ideas. How about a balanced-budget amendment to the Constitution? How about a check-off for taxpayers, say 10 percent of your taxes must go for reducing that deficit? And how about giving me what forty-three governors have, a line-item veto? They can't do it; let the president do it.",3172_22,0.921237084,FALSE,,uncertainty,1,1, 
