Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,label_yl,label_bb
0.577822755,0.422177245,"It's working because there's an achievement gap in America that's closing. And I can say it's working because we measure. We used to say, """"I think it's working."""" Now we say, """"It's working."""" More and more African American fourth graders are achieving what—that which we wanted, is being able to read at grade level. Those are facts. More and more Latino kids are learning to read and write, and that's a fact. And that's an important part of making sure this country has got a hopeful future.",2004-09-22-king-prussia-pennsylvania_36,0.15564551,FALSE,,uncertainty,1,1
0.463770122,0.536229878,"We also have the secretary of state here in Illinois.  And I am running for president. Ladies and gentlemen, I want to thank you all for coming here today.  I run for the office of the presidency with full recognition of the tremendous responsibilities which the U.S. Constitution and events gives the president of the United States.  He is not only the commander in chief, but he also is the center of our entire constitutional system.  I have served in the Congress for fourteen years, in the House and in the Senate, and I am sure that Paul Douglas and Mel Price would agree that the office of the president is key.  We can take action to provide aid to education.  We can take action to provide medical care for our older citizens.  We can take action to try to stimulate the American economy.  But in the final analysis whatever we may do depends on the president of the United States, depends on his vigor, depends on his concept of what needs to be done to make this a stronger and a better country.  The presidency is key.  I can assure you that if I am successful in this campaign, I do not run saying life will be easy, because I think the difficulties of the sixties will press upon us, but I do run for the office of the president with the greatest possible confidence in this country, with the greatest possible confidence in its ability to fulfill its historic function of being the chief defender of freedom in a difficult and dangerous time.  I think one of the chief tasks of the next president of the United States is to set before the American people the things we must do in order to protect ourselves, in order to maintain our freedom, and in order to meet our commitments to freedom around the world.",1568_1,0.072459757,FALSE,,uncertainty,0,0
0.507112688,0.492887312,"And may I say, in that connection we also--if we're going to win this struggle for peace and freedom--have got to get over an inferiority complex about America.  I'm tired of hearing our opponents not only run down West Virginia, but run down the United States of America.  I say we've had enough of it, and we've got to stop it.  And all this talk about the United States being second in science, second in education, having the worst slums, the most crowded schools: listen, I have been in other countries.  I have been in the Soviet Union, and that's just plain nonsense, and they ought to know it and they ought to travel a little and find out if they don't know it.",1819_15,0.014225376,FALSE,,uncertainty,1,1
0.383810952,0.616189048,"Like veterans of all wars past, today's fighting men and women, deserve our prayers and support and then, when they come home, they deserve the respect and welcome of a grateful nation. After all, the first definition of patriotism is to keep faith with those who have worn the uniform of the United States of America. One of the best ways to do that is to make sure that those who have served us on the frontlines return to an America that gives them the tools to build strong families and strong communities here at home. This means transitional assistance to help all those returning from war, struggling to readjust to civilian life, and coping with the scars of battle, those both seen and unseen. This is about keeping a sacred promise. It is about love of country. And it is about protecting those who have risked their lives to protect ours.",2004-08-18-convention-cincinnati-ohio_4,0.232378095,FALSE,,uncertainty,0,0
0.451813875,0.548186125,"What I had already said is that all across this country in high schools, in schools on college and university campuses, and among younger people who have finished education and started out into life--seen them all across this country, and, believe me, to the rest of you, or of those other generations, these young people today are very special. Yes, you are. And you know what? The responsibility--and this is what I was going to say last night--the responsibility of my generation and those generations between mine and yours, our responsibility is to see that you grow up in the same kind of country that we grew up in, a country of hope and opportunity. And our job is to hand you an America that is free in a country--or a world--that is at peace.",2846_35,0.096372251,FALSE,,uncertainty,0,0
0.539192584,0.460807416,"Cedar Rapids itself became a dynamic city, making breakthroughs in agricultural marketing and management, and helping develop the radio and electronics industries, and establishing fine high schools like Washington, Jefferson, and Kennedy, and Prairie, and great colleges like Coe, Mount Mercy, Kirkwood Community College. And you've shown the world that with opportunity there's no limit to what Americans can accomplish. Yet in recent years, we must remember, the light of opportunity in our country almost went out. In just five years, taxes nearly doubled; average monthly mortgage payments more than doubled; and the real, after-tax income of the average American began to decline. In foreign policy we saw strength replaced with weakness, and America lost the respect of friend and foe alike. They imposed a grain embargo that made you farmers pay for their mistakes. How do you show that you're strong by punching yourself in the breadbasket? You'll forgive me for this one, but their foreign policy went against the grain. ",2793_7,0.078385167,FALSE,,uncertainty,0,0
0.607209102,0.392790898,"I understand a hopeful society is one in which we challenge the soft bigotry of low expectations in our public schools and raise the standards and trust the local people to make sure they make the right decisions for the schools. We have an achievement gap in America that's closing, thanks to our education reforms, and we're not going to turn back. We're going to invest in our Nation's fine community colleges so they prepare workers for the jobs of the 21st century. In a time of change, because people are changing jobs often, we'll expand health savings accounts so people can pay health expenses tax-free and keep the savings if they change jobs.",2004-10-07-remarks-wausau-wisconsin_18,0.214418203,FALSE,,uncertainty,0,0
0.411894676,0.588105324,"The last point I want to make this morning is about our nation's defense and about peace. Eight years before I was president, we had Republicans serving in the White House. Seven of those years the American government budget for defense went down--seven out of eight years, down. Since I've been in office we've had a steady, predictable, deeply committed, orderly, and fruitful increase every year in our nation's commitment to defense in real dollars above and beyond inflation.",2580_12,0.176210647,FALSE,,uncertainty,0,0
0.528073028,0.471926972,"     I may as well repeat here some of the other things that I am against.  I am against socialized medicine--(someone screams)--I am--was that a surprise?  And I am against socialized farming.  Well, doesn't somebody want to jump up and scream?  Or socialized banking, or socialized industry, or even socializing my own profession of the law.  And I think most all of you are too.  And I am puzzled that that there are so many men in business who don't seem to understand and appreciate this.  After all, the Democratic Party in the past 20 years has not harmed business; it has helped to grow to a healthiness and robustness unparalleled in the history of our country.  The Democratic Party rescued industry from nearby collapse in 1932; restored faith in our banking system, and built up a nation's purchasing power.",1081_8,0.056146057,FALSE,,uncertainty,1,1
0.618980019,0.381019981,"I could go through the list of all the major American groupings and repeat what I have said so many times in so many places within the last two and a half months; and all I would be saying would be to express my basic philosophy toward Americans, no matter what their occupation. I believe in the ability, the decency, and the initiative of Americans.  They are to be helped by Washington--not smothered by Washington.  They are to be listened to by Washington--not disregarded by Washington.  They--and not an entrenched handful in Washington--make up this great nation.",1312_24,0.237960039,FALSE,,uncertainty,1,1
