Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,label_yl,label_bb
0.428303402,0.571696598,"The story of the transformation of Cuba from a friendly ally to a Communist base is--in large measure--the story of a government in Washington which lacked the imagination and compassion to understand the needs of the Cuban people--which lacked the leadership and vigor to move forward to meet those needs--and which lacked the foresight and vision to see the inevitable results of its own failures. And it is a tragic irony that even while these policies of failure here were being pursued our policy-makers received repeated and urgent warnings that international communism was becoming a moving force behind Mr. Castro and the revolution--that our interest and the interests of freedom were in danger--that a new Soviet satellite was in the making. Our Ambassador to Cuba in the early days of the revolution--Arthur Gardner--repeatedly warned the administration that communism was a moving force in the Castro leadership.  Testifying recently before a Senate committee, he was asked if he had not reported """"that Castro talked and acted like a Communist and should not be supported by the United States.""""  """"That was absolutely correct,"""" he replied, and he went on to say:  """"We all knew that Raoul Castro was a Communist;"""" but his warnings, he testified, were ignored, overlooked, or circumvented as the menace of Cuban communism grew.",1588_6,0.143393195,FALSE,,uncertainty,0,0
0.545364729,0.454635271,"I do not come before this audience to tell them that America is sick. I come to tell them that America is growing up. I do not come to tell you that America, as some have said, has lost its way; I come to tell you that America is finding its conscience.",2097_63,0.090729457,FALSE,,uncertainty,0,0
0.505168381,0.494831619,"That """"Great Communicator"""" was indeed the """"Great Liberator."""" Abroad, he helped free millions from tyranny. And at home, he helped free millions from a government that's too big and spends too much of your money. He turned America around. And he turned the days of malaise into """"a shining city on a hill,"""" and the American people will never forget it.",3085_3,0.010336761,FALSE,,uncertainty,0,0
0.386854204,0.613145796,"Some people who are enjoying our prosperity have forgotten what it's for. But they diminish our triumph when they act as if wealth is an end in itself. There are those who have dropped their standards along the way, as if ethics were too heavy and slowed their rise to the top. There's graft in city hall; the greed on Wall Street; there's influence peddling in Washington, and the small corruptions of everyday ambition.",2947_48,0.226291592,FALSE,,uncertainty,1,1
0.550138739,0.449861261,"My friends, the promise of a better America is not being met when nearly one in three African American children are living in poverty or when half the black men in New York City are out of work. Here in Louisiana, the poverty rate is more than 20 percent – the highest in the nation. Is that compassionate? No.",2004-09-09-convention-new-orleans_14,0.100277477,FALSE,,uncertainty,1,1
0.453814225,0.546185775,"I am delighted to discuss any problems that anyone wants to raise in this campaign, but I want to turn to Mr. Nixon's attention not only to the coast of China but to the United States and New Jersey and the problems it faces and our people face. In different times in our history the American people have chosen the Republicans and at other times they have chosen the Democrats.  I believe in 1960 that when we analyze our perils and our opportunities, because our opportunities are greater than our perils, I believe the American people are going to come to the conclusion that it is time this country started moving again.  And that is the issue.",1620_7,0.092371551,FALSE,,uncertainty,0,0
0.39733485,0.60266515,"Why did Mr. Clinton promise to help with the costs and then renege on that pledge until Congress forced his hands? And why did Mr. Clinton hold up those funds for eighteen months? Why are you paying millions more in taxpayer dollars to provide drug rehab for illegal aliens in prison? You're paying for it. And worse, why are thousands of Californians the victims of violent crimes committed by people who should have been stopped at the border before they so much as stepped foot into this country?",3339_37,0.205330301,FALSE,,uncertainty,0,0
0.577975284,0.422024716,"I ran the first time because the voices of the American people—your voices—had been shut out of our democracy for way too long by lobbyists and special interests and politicians who will say anything and do anything just to keep things the way they are. They want to protect the status quo. And for the last 4 years, the status quo in Washington has fought us every step of the way. They spent millions to stop us from reforming the health care system, spent millions trying to stop us from reforming Wall Street. They engineered a strategy of gridlock in Congress, refusing to compromise even on ideas that Democrats and Republicans used to support in the past.",2012-11-04-rally-hollywood-florida_38,0.155950568,FALSE,,uncertainty,1,1
0.467941188,0.532058812,"Colorado, in just 9 days, you'll have the chance to elect your next President. And you'll have the chance to bring the change we need to Washington. That's the good news. But we're going to have to work, and struggle, and fight for every single one of those 9 days to move our country in a new direction. We cannot let up. And we won't.",2008-10-26-denver-colorado-3_0,0.064117625,FALSE,,uncertainty,0,0
0.385595678,0.614404322,"Yet, after the years I have spent in Europe, I cannot honestly report that we are universally respected even among our friends there.  And this is another tragedy. How has this come to pass, that our America should, at the precise moment of its high responsibility, command such low respect?",1156_37,0.228808644,FALSE,,uncertainty,1,1
0.00012373,0.99987627,"A little later, I got a loan from the Small Business Administration and because my family was prominent in the community and because I was so eager, they gave me a loan which they guaranteed, I think 10 percent of what we needed. The local bank did the rest, but the SBA gave me advice and counsel constantly from retired businessmen and -women who knew more about government and business than I did. They would come in and look at my accounts receivable and they would look at my inventory and they would look at my bookkeeping system and if I was making a mistake, they would say, """"Jimmy, you ought to do this to make your business successful.""""",2383_21,0.99975254,FALSE,FALSE,random,0,0
0.000614295,0.999385705,We have become so used to this idea that we no longer think it abnormal.  We forget that our whole world structure depends for its stability on the precarious architecture of what Winston Churchill called the balance of terror.  This is no longer an adequate safeguard for peace.,2051_14,0.99877141,FALSE,FALSE,random,0,0
0.560217212,0.439782788,"Do you think these fish stores, ghost stories and animal stories are really very amusing?  Such comedy touches do little to relieve the tragic knowledge that we have been for years the gullible victims of Communist's espionage experts.  These experts in treason have plundered us of secrets involving our highest diplomatic decisions, our atomic research.  Tragically, we do not know how much more our security may have been jeopardized.",1193_11,0.120434423,FALSE,,uncertainty,0,0
0.576699756,0.423300244,"You'll have to determine whether consumers have a voice on Capitol Hill and in the White House, whether the quality of our land and our water and our air will be maintained and improved. And you'll also determine whether there'll be jobs for all Americans, whether working people will be on the inside counsels, around the table, when decisions are made about the future of our nation or excluded on the outside, alienated, driven from the counsels of government and therefore frustrated. You'll determine whether or not this America will be unified or, if I lose the election, whether Americans might be separated, black from white, Jew from Christian, North from South, rural from urban; whether this nation will be guided by a sense of long-range commitment to peace, sound judgment, and broad consultations; whether we'll have a close feeling of community and consultation with our allies; whether our adversaries will be tempted to end the peace for which we all pray.",2579_8,0.153399512,FALSE,,uncertainty,0,0
0.000171958,0.999828042,"These facts disprove the administration's repeated claims that we are running out of energy. We have an abundance of potential and proven energy resources in the ground and off-shore--oil, natural gas, coal and oil shale--if this administration will only allow Americans to find and produce them. In the last two weeks, I have discussed some of the steps we can take to promote the discovery and production of oil, coal, and natural gas. Tonight, I want to suggest what we can do to encourage the development of oil shale.",2657_3,0.999656084,FALSE,FALSE,random,0,0
0.000165425,0.999834575,"My opponent puts government first, which is why his policies fail and his predictions are wrong. We trust in you, and that spells success through economic growth. Nor has he learned from his mistakes. He has proposed to raise taxes by $85 billion. In fact, he would have to raise taxes the equivalent of $1,890 per household to pay for his promises.",2833_6,0.99966915,FALSE,FALSE,random,0,0
0.000129067,0.999870933,"But, anyway, we always come back around to this football game, you know. And the last few years have been pretty good for Tennessee and not so good for Arkansas, and so I figured that Al's hubris would get the better of him, and since we were in Knoxville I could get more points on the game today. And I'm lobbying. So you're proud of your football team, aren't you?",3243_5,0.999741866,FALSE,FALSE,random,0,0
0.600898504,0.399101496,"Behind every crooked tax collector is a crooked taxpayer. Although I have done so before, and on many occasions, I think this topic is evidently important enough to talk about it again at length, and I propose to do so. In that speech I will outline some ideas for a program of action. Tonight I would only remind you that the Democratic party is the party of Senator Kefauver, Senator Douglas, Senator Fulbright, Congressman Chelf of Kentucky, Congressman King of California--men who have distinguished themselves in the fight against evil in and out of government. With the help of men like these, and men who are like them, I have no doubt that we can keep the federal service clean. Now I want to turn to the question of whether this country is heading for runaway inflation, or for depression, or whether we can look forward to a continuation of the prosperity we have been enjoying for some years.",950_9,0.201797007,FALSE,,uncertainty,0,0
0.516662743,0.483337257,"Cite these facts and George Bush will say you're downgrading America.  My friends if we disregard these facts, we endanger America. Because we cannot build a strong and vibrant economic future for America on a mountain of debt--and the American business community knows that.",2919_4,0.033325486,FALSE,,uncertainty,0,0
0.414246595,0.585753405,Think about that for a minute. Because every single one of us has something to contribute. To this great country. We are already great but we can be greater. And we will be greater.,2016-11-07-grand-rapids-michigan_19,0.17150681,FALSE,,uncertainty,0,0
0.62919537,0.37080463,"For Americans who work from dawn to dusk to pay their bills, for the people who don't have any special friends at the bank or special interest lobbyists in Washington, D.C. I remember when Kitty was campaigning earlier this year in a small town in northern Iowa.  And just as she was about to leave, a woman who had been sitting quietly in the back of the room raised her hand and started to talk.  About losing a farm that had been in her family for generations.  About losing the companionship of her husband who had been forced to move to North Dakota to find work and was only able to make it back home one weekend in four.  About losing her pride because she had no dental insurance and was ashamed to go out even among her neighbors because she had lost most of her teeth.",2931_5,0.258390739,FALSE,,uncertainty,0,0
0.548471157,0.451528843,"It will not be easy. But I will fight as Franklin Roosevelt fought--and Harry Truman and Lyndon Johnson and John Kennedy. And we will prevail. We will enact national health insurance. We will reform taxes. We will provide a job for every man and woman in this country who is able to work. We will declare all-out war on crime and drugs. We will halt the contamination of our environment. We will end the neglect of the old and the handicapped. With the support of the people and the commitment of the presidency, we will bring the American deed closer to the American creed.",2301_28,0.096942314,FALSE,,uncertainty,0,0
0.5640689,0.4359311,"They doubt the capacity of the American people to worship in their faith and to choose wisely for themselves and their families, even though, for two-hundred years, Americans have done a perfectly good job without the help of government. They demonstrate an appalling ignorance of our history and a cynical contempt for the wisdom of the American people.  Mr. Reagan, the American people are the most religious people on earth because we've kept the politicians out of our churches and our synagogues and the preparation of prayers.",2760_15,0.1281378,FALSE,,uncertainty,0,0
0.523698772,0.476301228,We have endless wars. Every community's hopes and dreams have been shattered and we're not going to let that happen. Our inner cities are going to come back and they're going to come back strong and your going to see what I mean.,2016-11-02-fairgrounds-orlando-florida_8,0.047397545,FALSE,,uncertainty,1,1
0.000129095,0.999870905,"And I will direct our intelligence community to make drugs a top priority. Assets developed during the Cold War such as satellite photography and infrared imaging can certainly be used in the war on drugs. But we also need to get back into the human intelligence business to penetrate drug networks, thereby allowing our law enforcement and National Guard support to pounce at the right places at the right times.",3302_29,0.999741811,FALSE,FALSE,random,0,0
0.614115932,0.385884068,"I have gotten sick and tired of hearing them talk about change, Governor Clinton and the Ozone Man, his running mate. He talks about change, change, change. That's all you're going to have left in your pocket if you let this guy be president of the United States. Change? Last time we had a Democratic president and a Democratic congress, we changed things. Interest rates were 21 percent, inflation 15, and we lost respect around the world. We don't need that kind of change.",3167_7,0.228231864,FALSE,,uncertainty,1,0
0.433334573,0.566665427,"This is an important election because this is a most important time. All of us who read this morning's paper about what goes on in the Congo, or who has read the paper of two months ago about what went on in Laos, or has read the papers of the last two years about what has been going on in Cuba, know that there is no real balance in the power relationship between the United States and the Soviet Union. That balance can be changed by a change in government. If the people of those areas of Latin America and Africa and the Middle East and Asia come to feel that the future belongs to the Communist world, that we are on the way out, that our system, while very nice, is a system which has a definite evolutionary limitation--then, of course, the young and aggressive, and those who are ambitious and searching for power, will begin to make their peace with the Communist world. They will begin to travel in China and Russia. They will begin to exchange visits; students will want to go to school in Czechoslovakia, Eastern Germany, Moscow, and Peiping, and not be so interested in coming to France or England, or the United States. Once they feel that the sun of the West is setting and that the sun of the East is rising, that we are unable to solve our problems, that the Communists who have moved from a room in Switzerland in the days before World War I into dominating great reaches of the globe and great masses of the population are still expanding their power outward, then quite obviously, the power balance begins to shift against us.",1450_11,0.133330853,FALSE,,uncertainty,0,0
0.442998258,0.557001742,"We've been hearing a lot recently about American's prosperity. But you here in Wilkes-Barre know better than most how uneven, how lopsided, how incomplete this prosperity is. The income of big corporations has gone up, but the income of small business has gone down. The income of the food processing companies has gone up, but the income of farmers has gone down. The income of the big banks has gone up, but veterans and married couples all over the country are paying for this through the nose every time they try to buy a house.",1353_0,0.114003483,FALSE,,uncertainty,1,0
0.377310843,0.622689157,"This is your choice, a choice between steady progress, building on the gains and the programs of the past, or tearing down all that we have done, leaving our citizens to face a retirement of fear and hopelessness and poverty. I have no doubt which course the Florida people will take. One week from tomorrow you, the masters--not the servants--will go to the polls and select the leadership for this country and for the free world for the next four years.",1964_12,0.245378313,FALSE,,uncertainty,0,0
0.500970139,0.499029861,"Let me tell you who they are. They are not Republicans or Democrats or Independent. They are all Americans. They are Americans that come from all segments of our life. They are people that do not break the laws, they are people that do not resort to violence, they pay their taxes, they support their churches and their schools, they are good people, they are decent people, they care.They know that this country isn't going to be a good place for any of us to live in if it isn't a good place for all of us to live in. And they are people who are not haters, they are people who recognize that what is happening in America is something that needs to be changed. If they are mad about anything, angry about anything, it's what has happened to America that discourages them and outrages them. And they look over these last four years, and this is what they see.",2163_15,0.001940278,FALSE,,uncertainty,0,0
0.499522571,0.500477429,"I ask your help in this campaign. I think it is a crucial election. In many ways it is the most crucial election of this century, even more crucial than the election of 1932--for in that year, or the election of Roosevelt, the great issue was the preservation of freedom here in the United States. Now, I think the great issue that faces us is the preservation of freedom all over the globe. I see no reason why men of brains and talent, young students who live in Latin America or Africa or Asia--who will be leaders of the future--why they should possibly feel that we are a society that is standing still, and the Communist society is moving ahead. Why should we be connected with indifference? Why should the Communist system give the appearance of vitality? I think the reason is because we do not have a sense of national purpose in the United States.",1504_10,0.000954859,FALSE,,uncertainty,1,1
0.4035272,0.5964728,"So here's the truth: Governor Romney cannot pay for his $5 trillion tax plan without blowing up the deficit or sticking it to the middle class. We can't afford to go down that road again. We can't afford another round of budget-busting tax cuts for the wealthy. We can't afford to gut our investments in education or clean energy or research or technology. We can't afford to roll back regulations on Wall Street banks or oil companies or insurance companies. We can't afford to double down on the same top-down economic policies that got us into this mess. That is not a jobs plan. It's not a plan for our economy. It's not a plan to strengthen the middle class. It is not change. It is a relapse, and we're not going to do it. We have been there. We have tried that. We are not going back. We're moving forward.",2012-10-04-madison-wisconsin-0_7,0.192945601,FALSE,,uncertainty,0,0
0.414789868,0.585210132,How are we serving these American victims by attacking law enforcement officers? The war on our police must end. It must end now.,2016-08-16-west-bend-wisconsin_7,0.170420265,FALSE,,uncertainty,0,0
