,text,label,annotated_at,Speech_id_x,party_x,term_x,comp_x,par_id_y
0,"The future is my responsibility and it's yours. I've only got one life on this earth to live. My integrity, my honesty, my word of honor--it's precious to me. And there would be no way that I could hope for success in bringing Israel and Egypt and Israel's other neighbors to an agreement if I ever lied. If I ever violated a commitment that I've made to Prime Minister Begin or any of his cabinet members, they would no longer trust me, and my voice would be ineffective.",not populist,11/4/20 15:28,2600,dem,1980,False,8.0
1,"I ask you to help us make new history and I ask you to help build on the record that we have already established, to build better, to build broader, to build more meaningfully, and I am going to do so with the determination not to narrow the road to peace and justice by either the mistakes or the formulas of the past--and everybody has made some mistakes--and not to limit our achievements by the weight of the past, and I shall do so with the certain objectives in mind, and these are my objectives: to end the war in Vietnam, to stop and put a halt to the rising tide of lawlessness in our cities, to insure a meaningful job for every citizen willing to work, and to guarantee a first-class education for every child born in this land.  In other words, to provide a life of meaning and dignity and purpose for every person and I shall do so with the humility born of the knowledge that no man can hope to advance the unfinished work of our society without the help of his God and the support of his people. I intend to work hard enough to merit that support, to earn that support, and I come here tonight in the great state of Texas to ask you to be in the vanguard of this leadership for the new day that America needs and deserves.",not populist,11/4/20 15:29,2005,dem,1968,True,27.0
2,"But, getting back to the issues before us, I suggest that we consider them tonight in terms of what you want from your government in Washington, D.C. I think the first thing that everybody would say he wanted from the government in Washington could be summed up in one word: the word ""progress."" We Americans are a go-ahead people. We're never satisfied with things as they are. That's why we're a great people. That's why, as a matter of fact, California is one of the greatest states, because our people have always been progressive. We wanted to move forward.",not populist,11/4/20 15:29,1871,rep,1960,True,3.0
3,"It used to be in America all the racial issues were black and white. Now, like everything else in life, it's hard to see black and white. That's another reason we need to show up in church, to be reminded what some things are.",not populist,11/4/20 15:29,3256,dem,1996,False,9.0
4,"Mr. Lamb. Yes, it's a legal term. The President. Legal term, yes. You and I aren't lawyers.",not populist,11/4/20 15:30,2004-09-07-discussion-sedalia-missouri,rep,2004,True,47.0
5,"Thank you very much, the soon to be elected U.S. senator from Pennsylvania--Joe Clark. Mr. Mayor and my good friend, Mr. Stacy, and all those that are here with me tonight, and my fellow citizens, may I just tell you that the mayor and myself and the senator were detained coming to you because I had a very pleasant meeting via telephone with a wonderful man, a gentleman that just came back from Washington after having been out on the campaign route for this past week.  Every night this gentleman and myself spend a few minutes on the telephone but because he had to leave very, very early in the morning, I decided I had better get back to him early tonight.  He has just come back from a good long trip in the Midwest starting out at San Antonio, Texas, first, and moving up through the central state, Midwestern states, and he was giving me a first-hand account, and he is doing a wonderful job, and I want to tell you, good friends, that I promised you if I were selected as the nominee of the Democratic party that I would give you the finest man that I could find as the vice president nominee and I did in Ed Muskie.",not populist,11/4/20 15:30,2012,dem,1968,True,0.0
6,"Now, yesterday — yesterday you had the chance, if you wanted to, to watch the president of the United States address the people of America in his acceptance speech. And I read that this morning — you haven't perhaps got a chance to do that. But if you did, perhaps, like me, you found it extraordinarily disappointing, surprisingly disappointing, because his speech four years ago, he laid out a whole series of lofty goals. And unfortunately, he was unable to meet them. As a matter of fact, I can think of very few of the promises he made four years ago that he's kept.",not populist,11/4/20 15:30,2012-09-07-orange-city-iowa,rep,2012,False,6.0
7,"That is why I say to you most earnestly today that the United States of America loves peace and hates war, and we do not intend to be buried. If your life was at stake, if your country faced a crisis, every man and woman out there would take their boy to the railroad station to see him go away to boot camp to put on that khaki uniform as they did in world War I and as they did in World War II. You are not being asked to do that today.  But you are being asked to go not to the railroad station, but go to the polling booth and vote for what in your heart you know is right.  The vote you cast will be your own, and the world that you save will be your own.",not populist,11/4/20 15:31,1983,dem,1964,True,32.0
8,"I am very proud also that I had wonderful friends who jumped into the breach to defend me against this charge.  I didn't have to do it myself.  Rabbi Silver and Bernie Baruch and Cardinal Spellman took care of that one, and Judge Reynolds and a few others took care of it.  I more than ever pledged myself to see that we remove the remaining stains of discrimination from our national life.  We can do that if it isn't made a partisan issue, but we must have the aid of men from both parties--if they are men of good will and that is what I intend to do--and what I say I will do I will do.",not populist,11/4/20 15:31,1307,rep,1952,False,8.0
9,The financial services industry -- and there are many honest and honorable people who work in it -- plays a vital role in our economy. Mutual fund companies help Americans save for retirement. Banks and lending companies provide the mortgages that help us buy our homes. Investment firms supply the seed money that helps entrepreneurs create tomorrow's jobs. Insurance companies protect us against unknown risks.,not populist,11/4/20 15:31,2008-09-19-bay-wisconsin-0,rep,2008,False,9.0
10,"We in the Democratic party think there is nothing we cannot do if we want to do it. The Democratic party believes we have not yet finished making our country, that we still have important work to do. We of the Democratic party think of ""the people"" as living human beings, one by one, individuals with differing ways and talents and hopes, each worth in himself the whole weight of government.",not populist,11/4/20 15:31,1391,dem,1956,True,5.0
11,"Well, my friends, when this primary process was over and I had somehow managed to survive, the thing that I admired the most I think was the way Tom Harkin got up. He got up fighting for agriculture and jobs and health care and research in new areas of high technology to solve problems and create high-wage jobs, just like he fought to pass the Americans with Disabilities Act. More than any other participant in the primary process, as soon as he was no longer in it, he remembered his pledge to do what he could to get George Bush out of the White House and he campaigned for me all across this country. He said over and over and over again: I got into this race, not just to win an election.",not populist,11/4/20 15:32,3016,dem,1992,True,12.0
12,"And yes, we will build a great wall. We received the first ever endorsement from our ICE and border patrol officers, great people. The officers that warned that Hillary's plan is the most quote, radical immigration proposal in United States history, and that it will lead to the loss of thousands and thousands of lives, quote.",not populist,11/4/20 15:32,2016-11-02-fairgrounds-orlando-florida,rep,2016,True,54.0
13,"Oh yes, it has one thing to offer to the American future: It has the vice president of the United States. Every consideration--the President's age, his constitutional position under the Twenty-second amendment--makes it inevitable that the dominant figure in the Republican party under a second Eisenhower term would be Richard Nixon. The emergence of this man raises grave questions.",not populist,11/4/20 15:32,1389,dem,1956,True,21.0
14,"If on top of that we have the military force we need then we are strong.  But how will we do all those things?  We will do them ladies and gentlemen only if we are a united people, united behind the great aspirations and purposes of our government.  And right there is the crux of the matter.  You must have a government that you trust, respect and believe in, if you are going to have a united United States.  A united United States would be a strong bulwark of peace.  A united strong United States can lead the free nations of the world into that kind of collective security program that will lift a great burden from our hearts:  the burden of fear abroad.",not populist,11/4/20 15:32,1222,rep,1952,False,3.0
15,The President. I want to thank you all very much. Troops. Hooah!,not populist,11/4/20 15:32,2004-09-23-iraq-from-bangor,rep,2004,True,0.0
16,"I realize that tobacco has some special problems, but the way to solve them is not to destroy the program. Only two months ago I approved an increase of $2 million, for a crash program of tobacco research in the United States. Research is a way, I think, to solve these problems.",not populist,11/4/20 15:33,1919,dem,1964,False,15.0
17,"For 175 years, through more than forty national elections, the American people have said, ""No, no, no,"" to people who would follow this kind of a course.  And I think they are going to say ""No"" this year. Because I think that you know in your heart that we are not going to follow the fringes in November.",not populist,11/4/20 15:33,1907,dem,1964,False,16.0
18,"Government will become lean, effective, responsible and honest. Our border will be protected and our children will be safe, very, very safe. And we will build the wall, don't worry about it. We will build the wall.",not populist,11/4/20 15:33,2016-08-19-complex-dimondale-michigan,rep,2016,True,8.0
19,I'm so honored to be standing up here with Chuck Canterbury to receive the endorsement of the Fraternal Order of the Police. It means a lot to get the endorsement from those who serve our country on a daily basis to make it safe. I'm proud of that endorsement. I want to thank Jim Pasco and Nick DiMarco as well as all the Fraternal Order of Police folks standing behind me.,not populist,11/4/20 15:33,2004-10-02-cuyahoga-falls-ohio,rep,2004,False,2.0
20,"These are hard, practical questions that must be faced. I have faced them in my own state. I know how complicated they are on a nationwide scale. Projects and proposals from all parts of the country compete for public investment. I am not sure that the office of president is well enough equipped, as things now stand, to praise them with detachment and critical authority. The Hoover Commission has made suggestions for increasing the effectiveness of executive review; it may be that even better means can be devised, and I propose to find out. ",not populist,11/4/20 15:33,915,dem,1952,False,16.0
21,"Since the aim of education is to prepare America's youth for the future, it was only natural that when our leaders lost faith in that future many of our principals, teachers, and students felt robbed of their sense of purpose. Scholastic Aptitude Test scores underwent a virtually unbroken decline for twenty years, and science achievement scores showed a similar drop. School discipline began to break down, and we found out that many of our seventeen-year-olds were functionally illiterate.",not populist,11/4/20 15:35,2839,rep,1984,False,5.0
22,"And the coolest man in that room, whose thumb was sitting there that could be put on the button, was the Commander in Chief, John Fitzgerald Kennedy, who had been abused all over that country. He is not here to defend himself, but I say shame on you that in his absence would attribute to him unworthy motives. At Oak Ridge, we have developed the mightiest, most awesome power that human ingenuity could contemplate or conceive. By a thumb on a button you can wipe out 300 million lives in a matter of moments. And this is no time and no hour and no day to be rattling your rockets around. Or clicking your heels like a storm trooper.",not populist,11/4/20 15:36,1932,dem,1964,True,43.0
23,"What a fantastic welcome. Thank you very, very much. Thank you all very much for that warm welcome. I am delighted to be here, and I'm especially glad to be with the residents of Avery of Walnut Creek and thank them for this impromptu block party. You really know how to make a guy feel at home here.",not populist,11/4/20 15:36,3093,rep,1992,False,0.0
24,"This, I maintain, is the difference between us. Now, through these past four years, there has been one subject that this administration has lived with, worked with, done more with, than any other and that is trying to develop and build the road to peace. Without peace, we cannot have these things that we have been enjoying the past four years.  We cannot have lowered taxes, we cannot have prosperity, we cannot have confidence among ourselves.",not populist,11/4/20 15:36,1430,rep,1956,True,10.0
