,Speech_id,text,party,term,comp
60721,2004-10-21-downingtown-pennsylvania-0,"We have a lot at stake in this election. There are big issues that we're discussing. When I ran for President 4 years ago, none of us could have ever envisioned the horror of September the 11th. Since that day, I have led a comprehensive strategy to defeat the terrorists, to keep the homeland safe and secure. I pledged to the American people, we would be resolute and determined and do our duty to protect you, and I kept my pledge.",rep,2004,False
29520,2238,"Philadelphia is the birthplace of one of the greatest promises in the human experience. It was in this historic city that fifty-six patriots pledged their lives, their fortunes, and their sacred honor to give birth to a new nation, to throw off the tyranny of an unjust king, and to begin the quest for freedom. In 1976, we will celebrate the 200th anniversary of those momentous events.",dem,1972,True
2162,1956,"There are some people that talk about nuclear war as if it were inevitable, and of nuclear bombs as if they were ""merely another weapon."" They sound as if force or the threat of force can solve our problems. This is dangerous talk. Our military strength is vital to our security. And throughout my entire public career of more than twenty-five years in the Congress, I have constantly voted to increase our military strength when some people have voted to reduce it.",dem,1964,True
15412,1699,"Number one, Mr. Nixon says $1.25 an hour minimum wage is extreme.  Ninety percent of the Republicans voted against it.  The average wage for laundrywomen in five large cities of this country, and most of them are Negroes, is 65 cents an hour for a forty-eight-hour week.  Mr. Nixon says $1.25 an hour is extreme, and they wave a sign about prosperity.",dem,1960,False
13975,1288,"When the enemy struck, on that June day of 1950, what did America do? It did what it always has done in all its times of peril. It appealed to the heroism of its youth.",rep,1952,False
29080,3085,"But I say these compliments because the president had that unique ability to peek around the corners of history. Look to Berlin, where a wall has crumbled. Look from Kuwait to Panama, where those once enslaved have been set free. President Reagan predicted communism would land in the dustbins of history, called it the ""evil empire."" And today, imperial communism is not merely E-V-I-L, it is D-E-A-D, dead. So, Mr. President, on behalf of all who love freedom--and look at these signs around here from different countries all over the world--we thank you very much.",rep,1992,False
38481,968,"Harry Truman is certainly a man of independence. I think that's the thing I like about him most. In your Missouri language, he won't take anything off anybody. No one knows this better than Joe Stalin. And every Missourian can be proud of the fact that a man from Independence, through a series of heroic and historic decisions, has rallied the free peoples against the mortal threat of Communism and Russian imperialism.",dem,1952,False
26995,2992,"This election provides Americans their clearest choice in a generation, a choice between hope and fear, between running in place and moving ahead, between more of the same trickle-down and embarking on a new course to guarantee old opportunities and the American dream. George Bush wants to put even more wealth in the hands of those who are already wealthy, and I want to create opportunity for all the rest of Americans, too. This election is a choice between two futures: four more years of broken promises, broken hopes, and broken dreams, or a different course. Just last week, we learned that the average American family has lost $1,100 in purchasing power, the biggest drop in over thirty years, that another two million Americans, including one in five of our children, sank into poverty, that we lost another 167,000 jobs in the private sector.",dem,1992,True
14411,2018,"Where do we go from here? Once again we are in a year of great decision, and we find Mr. Nixon in Iowa claiming to plow a straight furrow with a corn picker and promising to change the farm program.  But he doesn't say how he'll change it.  ",dem,1968,True
7666,2928,"That's why I'm taking this campaign tomorrow to America's industrial heartland; and that's why we're going to win this campaign with the votes of Americans from all fifty states who want a president who's on their side and shares their values. Because I believe in liberty and justice for all. George Bush says he wants a court full of Borks.  And, if he says Robert Bork is a symbol of why you should vote for him, I say he's a symbol of why we cannot give George Bush four years to remake America in his image.",dem,1988,True
23355,3317,"So it's not about--just about November 5th and the next four years. It's about the year 2000 and beyond. And I know I've been accused of looking backwards. He talked about building all those bridges. And of course, we immediately said, ""These are all toll bridges."" We've had enough toll bridges in this administration.",rep,1996,False
59850,2004-10-27-findlay-ohio-0,Audience members. Boo-o-o! The President. He voted against parental notification laws and against the Unborn Victims of Violence Act. I will continue to reach out to Americans of every belief and move this goodhearted Nation toward a culture of life.,rep,2004,True
29326,1137,"But as I came in someone told me about something that stirred my pride in you a lot more than that, and that was about the building of this civic building and fair grounds and doing it yourself.  You just can't do that, you now.  Some Washington bureaucrats are going to think you don't have good sense.  Why you didn't go to the federal government and get this done I will never know. ",rep,1952,False
51321,2012-09-08-rally-seminole-florida,So now you've got a choice. We can gut education like these other folks were recommending. Audience members. No!,dem,2012,True
52409,2012-09-17-cincinnati-ohio-0,Audience members. Four more years! Four more years! Four more years!,dem,2012,False
54947,2008-09-22-green-bay-wisconsin,"These are the types of reform I will pursue beginning on my very first day in office as President of the United States - political reform, government reform, and regulatory reform. First, I'll reform our special interest-driven politics. When I am President, I will start by closing the revolving door in the White House that has allowed people to use their Administration job as a stepping stone to further their lobbying careers.",dem,2008,True
45663,3008,"Everybody wants change now--working families and businesses, states and cities, doctors and nurses. Eighty percent of all the strikes in America today are not over wages. They are over health care benefits. We cannot afford to let any more time go by before we address this problem.",dem,1992,False
11450,2916,"The Vice President tells us to read his lips.  I say--read his record.  That's what the League of Conservation Voters did.  They endorsed me; and they gave George Bush a ""D"" on the environment.  And when you get a ""D,"" you don't get promoted.",dem,1988,False
18727,2807,"What has this progress meant for Americans, especially families of average means? Well, in contrast to that 8.8 percent decline I just mentioned in real weekly earnings, in the last two years they have risen 3.2 percent. In December 1980 the weekly food bill for a family of four was $86.90. If inflation had continued at its double-digit rate, that family's food bill would be $127.57. But inflation, down dramatically, has kept that family's food bills down to $98.50, roughly one-fourth the rise that continued double-digit inflation would have meant.",rep,1984,False
49050,1998,"And, my friends, I see the realities too, and I am not afraid.  And America sees the realities today and the American people are not afraid and we will rebuke those voices that seek to divide us and frighten us.  Will we not?",dem,1968,False
34712,1457,"This is not merely a contest between the Vice President of the United States and myself. This is a contest between two political parties. And in spite of the fact that every four years the Republican party has what Adlai Stevenson called the liberal hour, the record of the Republican party is written in the last four years in the bills that did not become law, in the opposition they have had toward every piece of creative legislation since Woodrow Wilson's New Freedom to the present effort that we made in the month of August in the Congress. They have opposed--they have stood against--progress. I think their time is coming to an end. For the fact of the matter is that the Republican party that we oppose is the same old party. There is no new Republican party. There is the same old party, stretching back into history from the days of McKinley, through Coolidge and Harding and all the rest, and I think that in this great year of 1960, the American people are going to choose progress. ",dem,1960,False
33507,2002,"Number two, an American ambassador was shot in cold blood in Guatemala and he wasn't shot by a God-fearing, loving, beloved citizen.  He was shot by a hater and an agitator and people ought to know that.   QUESTION:  What about the people of Guatemala?",dem,1968,True
70097,2016-10-17-bay-wisconsin-0,"Once again, we are going to have a government of, by and for the people. We Will Make America Wealthy Again. We Will Make America Strong Again.",rep,2016,True
25684,3092,"The federal government today--now listen to this one--spends almost a quarter of every dollar of our national income. When you add state and local spending, your local taxes, your state taxes, the figure is about thirty-five cents out of every dollar going to some level of government.  My opponent thinks government should be bigger. He's already called for $220 billion in new spending, on top of today's $1.5 trillion, so government can lead our economy with new, quote, ""investments."" Newsweek suggests that the actual cost could be three times that. ",rep,1992,True
5641,1606,"Senator Humphrey, Mrs. Roosevelt, Senator Lehman, Mayor Wagner, Governor Harriman, Senator Morse, Mr. Reeves, Mr. Nash, Congressman Celler, Governor Williams, Senator Hart, Mrs. Price, Mr. Williams--whom have we omitted.  So many chiefs are assembled with so few Indians, up here and in the audience.   I am grateful to all of you.  I am grateful to Senator Humphrey.  He permitted me to grab his coattails once more in Minnesota by coming east.  I must say to take time out in an intense campaign, which involves his future greatly and which is hard fought in Minnesota, to give up two days at this crucial point in the campaign I think first indicates how strongly he believes in this cause and also how great a man he is.  ",dem,1960,True
59338,2004-10-26-richland-center-wisconsin,"And as a result of the Taliban being removed from power, Al Qaida no longer trains in Afghanistan. As a result of the Taliban no longer being in power, millions of citizens registered to vote and voted in a Presidential election. And the first voter was a 19-year-old woman, the first voter in the Afghanistan election. Unbelievable moment.",rep,2004,False
30163,2749,"Thank you very much, Tom, for that very kind introduction.  Tom Eagleton and I have been in public life together now for over two decades.  I don't have a better friend in the country.  No state in the union has a better senator than Tom Eagleton.  He's as good as they come.",dem,1984,False
22575,2633,"Senator Riegle, Senator Levin, Mayor Coleman Young, distinguished Members of the Congress: Let me say first of all, that I wanted to come back here to Detroit, to Michigan, because I had to be in Washington yesterday and miss my long anticipated visit, and I heard the Republicans claimed they were going to carry Michigan. I came here to show them they're wrong. They're wrong. We'll carry Michigan.",dem,1980,True
68334,2016-11-04-market-detroit-michigan,"And I imagine – I imagine there are – some of you know people who say they're going to vote for Donald Trump. Right? I know. I know. I understand that. I mean, I would hope you would try to stage an intervention before it's too late. But maybe you could ask them with you to imagine, imagine January 20th, 2017. And imagine that my opponent is taking the oath of office in front of the Capitol. Imagine having a president who demeans women and mocks the disabled, who insults African Americans and Latinos and Muslims, who personally engages in busting unions and preventing people from having the right to bargain collectively. Now, the truth is we really don't have to imagine what that would be like because everything he has said and done, both in his career and in this campaign, tells you what could happen.",dem,2016,False
