,Unnamed: 0,Speech_id,par_id,uniq_id,text,party,term,comp,drawn,label_pop,bart_label,yuchen_label,agreement
0,0,2157,31,2157_31,"America's response to the Soviet Union against Czechoslovakia is not rash and should not be rash, but it must be realistic and a realistic appraisal of the assumptions and the promises that underlie American policy toward the Soviet Union. A policy of realism toward the Soviet today will be a policy that is directed toward their prudence and not just toward their good will. That kind of policy holds the prospect of peace.",rep,1968,False,randomly,not populist,neither,neither,1
1,1,3321,16,3321_16,"While Bill Clinton has a million little plans for our government to tell you how to run your life--Jack Kemp and I have one big plan that's simple and it's straightforward. It's a 15 percent across-the-board tax cut for families. It's a $500-per-child tax credit, and I see a lot of little $500 tax credits in front of me, right here.",rep,1996,True,randomly,not populist,neither,neither,1
2,2,2008-10-18-louis-missouri-3,11,2008-10-18-louis-missouri-3_11,"The only """"welfare"""" in this campaign is John McCain's plan to give another $200 billion in tax cuts to the wealthiest corporations in America - including $4 billion in tax breaks to big oil companies that ran up record profits under George Bush. That's who John McCain is fighting for. But we can't afford four more years like the last eight. George Bush and John McCain are out of ideas, they are out of touch, and if you stand with me in 17 days they will be out of time.",dem,2008,False,randomly,not populist,neither,neither,1
3,3,2646,12,2646_12,"I do promise that in the next four years the national dignity will not be outraged by behavior which no president ought to tolerate in the White House. I do promise to renew the bond between the presidency and the people, forever conscious that the office of the president is a sacred trust. I do not couch my promises in high-sounding rhetoric. I promise simply that America will be able to hold its head up again.",rep,1980,True,randomly,not populist,neither,neither,1
4,4,2204,27,2204_27,"So, my friends, in this whole field of peace, I think it's a pretty clear question. It's a question of one man who is one of the architects and the supporters of a program of failure. No peace in four years, and it's a question of another man who lived through an administration in which we did have peace for eight years and ended one war. That's the test.",rep,1968,False,randomly,not populist,neither,neither,1
5,5,2887,18,2887_18,"We also have one of the only state plant closing laws in the country.  It was supported by business as well as labor.  And it has helped us save over 200 companies while helping over 20,000 workers to keep their job or find a new job at a decent wage.",dem,1988,False,randomly,not populist,neither,neither,1
6,6,2785,13,2785_13,"We could put a price tag on the value of these human benefits, but who would want to do that? Who can even imagine the wonders that lie ahead if we just have the faith and the courage to push on? While I was growing up, the Model A was just replacing the Model T. And now, a child may grow up to see space travel become commonplace.",rep,1984,False,randomly,not populist,neither,neither,1
7,7,1630,15,1630_15,"And I want to make it clear that if the Democratic Party is not successful in this campaign, we will continue to fight for the maintenance of freedom around the globe.   We will rebuild our diplomatic corps so we don't send ambassadors and others out because they have contributed to a campaign, who can't even speak the language, who can't even pronounce the names of the heads of the countries, who have never been there, who want to stay there for a year while the communists stay there day after day, speaking the dialect, working subversion, attempting to win control of the country. There are four countries in Africa which are independent, which are members of the United Nations, and there is not an American diplomatic member of our Foreign Service in residence in any of the four.  When Guinea became independent it took us two months to recognize its independence.  It took us eight months to send an ambassador...[missing text]...was there the day they got independence, and Guinea now supports the communist foreign policy.",dem,1960,True,randomly,not populist,neither,neither,1
8,8,3367,13,3367_13,"It has dropped in half since the second quarter. Now, this is a real economic slowdown. And I might say it's disastrous news for American workers and businesses and even worse news for low-and middle-income Americans who have been squeezed and squeezed and squeezed by lower wages and higher taxes in this administration.",rep,1996,False,randomly,not populist,neither,neither,1
9,9,2012-11-05-rally-madison-wisconsin,39,2012-11-05-rally-madison-wisconsin_39,"So, Wisconsin, we know what change is. We know what the future requires. But we also know it's not going to be easy. Back in 2008, we talked about it. I know everybody sometimes romanticizes the last campaign and the posters and all the good feeling. But I said back then, when I talk about change, I'm not just talking about changing Presidents or political parties. I'm talking about changing how our politics works.",dem,2012,False,randomly,not populist,neither,neither,1
10,10,1328,16,1328_16,Their technique has been ingenious and ruthless. They have done on the infighting what they couldn't do in the open. They say they believe in public housing! But they put a declared enemy of public housing in charge of the public housing program.,dem,1956,True,randomly,populist,neither,neither,1
11,11,981,18,981_18,"These are some of the things you have to think about in this election. And I hope you will also think hard about what kind of foreign policy you want this country to follow in the years ahead. We face a long, tough, bitter struggle to preserve freedom in the world. We know in our hearts, all of us, that it is childish to suppose there is any simple solution, any easy answer. The lives of our sons are involved now, while we are fighting in Korea. The lives of everyone would be involved if that conflict were to grow into world war.",dem,1952,False,randomly,not populist,neither,neither,1
12,12,1874,37,1874_37,"My friends, have no doubt about it. America is not only the strongest country in the world militarily and the strongest country in the world economically, but more than that, America is honored in the world--and I'll tell you why. I have been to fifty-four countries. We are honored not because we're strong, but because we stand for and believe in the right things. You know what they are? Our faith in God, our belief in the rights of men, our belief that the rights men have to freedom and to equality of opportunity do not come from men, but that they come from God and, therefore, cannot be taken away by men; our belief that nations have a right to be independent, that men have a right to be free.",rep,1960,True,randomly,not populist,neither,neither,1
13,13,2752,0,2752_0,"We're coming down to the wire.  In a few days, we'll have our second and last debate about foreign policy and national security.  Yesterday in a campaign swing the president sought to set the stage for that debate by saying the debate was over who is confused about America's strength.  I welcome that issue.",dem,1984,False,randomly,not populist,neither,neither,1
14,14,2004-09-13-remarks-holland-michigan,47,2004-09-13-remarks-holland-michigan_47,"Before the Commander in Chief commits troops into harm's way, we must have tried all alternatives. That's why I went to the United Nations. I was hopeful that diplomacy could deal with this threat. I was hopeful diplomacy would work. The United Nations looked at the same intelligence I did. They remembered the same history we remembered and voted 15 to nothing to say to Saddam Hussein, """"Disclose, disarm, or face serious consequences.""""",rep,2004,False,randomly,not populist,neither,neither,1
15,15,902,8,902_8,And this is open season for that kind of progress. This is the time when even the most obsolete Republican becomes momentarily reconciled to the machine age. He listens--he's very apt to listen with a stiff upper lip--while his candidate calls for those greater social gains which a few minutes before they called wild-eyed socialism. In this season Republican candidates are even forgiven for whispering that there could be a better law than the Taft-Hartley Act.,dem,1952,False,randomly,not populist,neither,neither,1
16,16,2206,26,2206_26,"From military spending so wasteful that we can end our inflation--come home America. From the entrenchment of special privileges and tax favoritism, from the waste of idle hands to the joy of useful labor from the prejudice based on race and sex; from the loneliness of the aging poor and the despair of the neglected sick--come home America. Come home to the affirmation that we have a dream; come home to the conviction that we can move our country forward.",dem,1972,True,randomly,not populist,inclusive,inclusive,1
17,17,2012-09-17-columbus-ohio-0,52,2012-09-17-columbus-ohio-0_52,"I'm telling you, you cannot make it work. You can't cross the t's and dot the i's on this plan. And Columbus is a town where you've got to dot the i. You can't get away with that.",dem,2012,False,randomly,not populist,neither,neither,1
18,18,1401,35,1401_35,"Where there was doubt, there is confidence. My friends, I believe that these facts plainly mark the path of our nation's progress. If you also believe this--if you want to keep on this way--then each of you must do your part to the full in making your decision clear and emphatic.",rep,1956,True,randomly,not populist,neither,neither,1
19,19,3074,14,3074_14,"And we must reform our product liability laws. These laws allow people to be compensated for harm caused by a defective product. People ought to receive fair compensation when a product is defective and they get hurt. But like so much of our civil justice system, product liability has careened out of control.",rep,1992,False,randomly,not populist,neither,neither,1
20,20,1903,5,1903_5,"And to the memory of that progress, and to the determination that our children will never suffer that neglect, I have come to the great State of Oklahoma today to dedicate this great dam to you great people. I have devoted much of my thirty years of public career to the conservation of America's natural resources. So have Mike Monroney and Howard Edmondson and Carl Albert and Ed Edmondson. So did our great beloved friend, the giant of them all, Bob Kerr, who is watching down on us today. This dam was one of his dreams and I only wish that he could be here with us.",dem,1964,True,randomly,not populist,neither,neither,1
21,21,1083,5,1083_5,"Democratic administrations have fought to bring these things to you, not because that would win votes, but because they were right and just and fair.  And we are going to continue to shout and do what we think is right to extend the gains that we have made here at home, and to fight for peace abroad. In the conduct of our foreign affairs we will suffer no tyranny over us, just as we will suffer no tyranny of one American over another.  We want to impose no tyranny on any other people.  We will remain free ourselves--more so.  We will find, as we have found before, the balance between the power we generate and the brakes that will check the power of those hostile to us.  In this way we can move in the wide open world as our fathers did when our nation was founded, and we can move unafraid.  I am reluctant to stop, although I have talked entirely too much, both here and all throughout this campaign.  All the same I have left much unsaid that is in my heart.  All I can do now is to thank all of you and, through you, thank all Americans for the privilege of your attention in these past months.",dem,1952,True,randomly,not populist,neither,neither,1
