,Unnamed: 0,X,Speech_id,text,party,term,comp,populist_old_keywords,par_id,speech_par_id,length
177,178,177,2133,"And that choir, or that singing and choral group, listen, is there any chance that I could just take this band and group with me from here on out?   Are you ready to go?   VOICES:  Yes!",dem,1968,True,False,1,2133_1,36
179,180,179,2133,"VOICES:  We Want Humphrey! VICE PRESIDENT HUMPHREY:  You have got him.  He is right here.  And the distinguished Attorney General, Mr. Kellem, and the Secretary of State, Mr. Hare.  And the two next congressmen that we need for the 3rd and 4th Districts, Tom Keenan--and John Martin from the 4th District. ",dem,1968,True,False,3,2133_3,51
184,185,184,2133,"VOICES:  We want Humphrey!   VICE PRESIDENT HUMPHREY:  My dear, and Humphrey wants you.  The question is for every voter, and the question is for those yet to be voters, because they have a new and a great influence in our country, is whom can we trust, in fact you will have to answer this question very personally in the quiet and secrecy of the voting booth, whom do you trust with the presidency, the highest office in the gift of this land.  ",dem,1968,True,False,8,2133_8,82
185,186,185,2133,"VOICES:  You!  You! VICE PRESIDENT HUMPHREY:  And you have to answer a second question, whom do you trust, whom do you trust to stand just one...",dem,1968,True,False,9,2133_9,26
186,187,186,2133,"VOICES:  Humphrey!  Humphrey! VICE PRESIDENT HUMPHREY:  whom do you trust to stand just one heartbeat, one heartbeat away from the presidency?  ",dem,1968,True,False,10,2133_10,21
187,188,187,2133,"VOICES:  Muskie! VICE PRESIDENT HUMPHREY:  And it really boils down to whom do you trust for the future of America. Now, it is that beautiful word """"trust"""" that means so much, and it is a word that is like a contract, it is a bond.  The element of trust binds our democracy together.  Trust in each other carries us through the most difficult and turbulent times, like trust in a family, and trust in each other gives the people and the president facing together the strength that we are going to need to build a better America, a just and prosperous society, an open society for every American, no matter who he is or how he looks, his race, his creed or his color, because every American deserves the best that we have to offer in our country.  ",dem,1968,True,False,11,2133_11,138
188,189,188,2133,"Now, Ed Muskie, my running mate, and isn't he a wonderful man? VOICES:  Yes! VICE PRESIDENT HUMPHREY:  Ed Muskie and I have come with you, or come to you, with our campaign and our statement of issues.  We have literally the dust of America on our shoes from our many walks and travels, and we have shaken your hands and we have looked into your eyes, and we have heard your cheers as I have heard them tonight, and we have listened to your complaints, and we have some to you, the American people, in audiences like this, open to anyone, on street corners, wherever we can go.  We have come because we care and because we have the basic belief in the ability of the American people to make honest judgment.  We haven't screened our audiences, we haven't tried to sanitize them or deodorize them or pick them or select them.  We have just gone to the people, to the poor and the rich, to the city and the rural, into the ghettos, and on the great avenues of New York, we have been there, and we think that we have had a message to give and that message is that we represent a party and a government that cares about people, and a party and a government that cares about people is fulfilling what Thomas Jefferson once said is the only legitimate objective of government, and what did he say it was?  The welfare and the well-being and happiness of the people.",dem,1968,True,True,12,2133_12,254
190,191,190,2133,"VOICE:  Tell us why you killed the Americans, you pig.   VOICES:  We want Humphrey! VICE PRESIDENT HUMPHREY:  All right, all right.  ",dem,1968,True,False,14,2133_14,21
191,192,191,2133,"VOICES:  Throw him out! VICE PRESIDENT HUMPHREY:  Sit down.  Please be quiet, let this man speak. ",dem,1968,True,False,15,2133_15,16
192,193,192,2133,"VOICE:  I thank you for the opportunity to speak.   VOICE:  Sir, I thank you for the opportunity to speak.  I had no desire to speak, but I have very strong feelings.  I feel that the issues of our country are very, very important as you have brought out.  Sir, I feel that the issue of war and peace is essential.  I feel and I believe many Americans feel that while you may end this war, I would like to know what you are going to do.  Is a new war going to be in Thailand? ",dem,1968,True,False,16,2133_16,95
