Speech_id,text,party,term,comp,populist_old_keywords,par_id,speech_par_id,length
2505,"Q. This may seem like a broadcaster question, but it's really a public interest one in a way, and I know you're a sports fan. We've had a recent example here of where Home Box Office, a pay cable organization, was able to outbid local stations or an interested network in the NIT tournaments. And in a very short period of time it's estimated--perhaps in two or three years--pay cable is going to be able, due to its affluence and income, to outbid networks and local stations for much of the top and choice programming, including sports. And I'd like to ask you what your view is on the siphoning of free broadcast programming to pay cable?",rep,1976,FALSE,FALSE,19,2505_19,117
2505,"MR. WASILEWSKI. Unfortunately, sir, it does not apply. Q. I guess perhaps your general view about pay cable, highest price to the smallest market, you know, the philosophy of it.",rep,1976,TRUE,FALSE,21,2505_21,30
2505,"THE PRESIDENT. Well, I love sports broadcasts, and anything that takes that away from me as a viewer or listener, I'm going to raise the devil about it. Q. Broadcasters have been working for an increase from three years to five years for license renewal periods. I wonder if you would comment on this longer license renewal period.",rep,1976,TRUE,FALSE,22,2505_22,58
2505,"Q. Many of us have applauded your efforts and your speeches on the general area of deregulation. When you are elected president, will you support the proposals to deregulate the radio and television stations in this industry?",rep,1976,FALSE,FALSE,24,2505_24,37
2505,"Q. As a past member of the NAB Television Board, I would like to ask you, do you think the family viewing hour concept has been good for national television, and do you favor more industry self-regulation as opposed to government regulation? THE PRESIDENT. To answer the last question first, I strongly feel that self-regulation is infinitely preferable to government regulation, period.",rep,1976,TRUE,FALSE,27,2505_27,62
2505,Q. It has been reported recently that Mr. Carter would make his first appointment to the Federal Communications Commission from the ranks of the Ralph Nader group. Do you have some feelings along those lines?,rep,1976,FALSE,FALSE,29,2505_29,35
2505,"Q. Several months ago a member of your staff, Mr. Paul MacAvoy, issued a proposal which was so overwhelmingly in favor of cable television that it has caused serious concern among broadcasters. May I ask whether you endorse Mr. MacAvoy's proposal and whether its goals will receive your active support if you are elected?",rep,1976,FALSE,FALSE,32,2505_32,54
2505,"Q. What future role do you see for the Office of Telecommunications Policy under your continuing leadership? THE PRESIDENT. The Office of Telecommunications is currently more or less the telecommunication adviser to the president himself. There is a division of opinion in the administration. One group advises me that it ought to be folded into a reasonably comparable unit within the Department of Commerce, the feeling being that those two were duplicating one another. Others feel that the Office of Telecommunications ought to be maintained as the communications adviser to the president, and probably expanded in some respects.",rep,1976,TRUE,FALSE,34,2505_34,98
2505,"Q. Past administrations have been highly critical of our free enterprise broadcast system. And since you've had the opportunity in your world travels to see how other countries operate theirs, how would you compare our system to theirs?",rep,1976,FALSE,FALSE,37,2505_37,38
2505,"Q. Do you think that broadcasters might gain equal status with the print media as far as the fairness doctrine is concerned, at least some time in the near future? THE PRESIDENT. Will you repeat that again, please? You're getting me in the midst here. I like them all. ",rep,1976,TRUE,FALSE,40,2505_40,49
2505,"Q. Do you think that broadcasters might gain equal status with the print media as far as the fairness doctrine is concerned, at least some time in the near future? THE PRESIDENT. Well, in all honesty, when I say I feel friendly toward the news media, period--and that's all encompassing--I do. I don't always like every story I hear or every comment made on radio or television, but I've always adopted the feeling that I had a job to do in the Congress as minority leader or as president, and I hope they understood my responsibilities.",rep,1976,TRUE,FALSE,41,2505_41,96
1742,"Some say the turning point of this campaign might have come with the first of the four nationally televised debates. I don't want historians ten years from now to say that the tide ran out.  No.  I want them to say that these were the years the tide came in.  These were the years when the United States started to move again.  Thus:  The question before the American people--and only you can decide what you want this country to be, what you want to do with your future.  I think we are ready to move.  And it is to that great task that, if we are successful, we will address ourselves.",dem,1960,TRUE,TRUE,3,1742_3,111
1742,"MRS. KENNEDY:  Jack, I've enjoyed watching this program tonight.  I only wish I could have been there with you at the end of this longest and busiest day for you and the end of the long road that we've traveled together since the primaries in January.  The doctor wouldn't let me leave Hyannis Port tonight so I'll be here until tomorrow morning at 6:30 when I drive to Boston to join you en route.  I wouldn't miss that for anything.  And then we'll have you back with us at least to wait out the election returns together.",dem,1960,FALSE,FALSE,15,1742_15,97
1742,"MR. KENNEDY:  Ladies and gentlemen, I want to thank all of you for your kindness in coming tonight.  Nearly all of you were present when I was elected to Congress fourteen years ago, and I'm delighted that you're present tonight as this campaign of 1960 goes into history. We are meeting in the old hall which was the scene of Otis' speeches and Samuel Adams which led up to the American Revolution.",dem,1960,TRUE,FALSE,22,1742_22,72
1030,"Mr. Hogan, Mayor Corcoran, Senator Lehman and all of these distinguished guests and my friends of Syracuse: After hearing all of my virtues recited so generously by the gentlemen who were good enough to introduce me, I looked around for a moment, thinking that probably Benjamin Franklin was going to speak here today. I am glad to have this opportunity to stop here in Syracuse, and I only wish I could stop long enough to ride through the incredibly beautiful countryside that we passed through on the train this morning. I sometimes think that people don't realize how beautiful it is. I can only compare it to my own sense of bewilderment as to how people who profess allegiance to the Republican party must wonder about the beauties of the Democratic party. Well, if they'd come over, they would find out.",dem,1952,FALSE,FALSE,0,1030_0,141
1965,"Senator Holland: It is good to be in Jacksonville, the Gateway City. Your welcome is as warm and wonderful as the sun in the sky, and I am grateful for both. This Gateway City is a vigorous and a growing community. You are adding much to the wealth and the wisdom of Florida, and, indeed, to the whole country. I am very proud to be on this platform with some of the great men that Florida has produced.",dem,1964,TRUE,FALSE,0,1965_0,78
