,Unnamed: 0,Speech_id,text,party,term,comp,populist_old_keywords,par_id,speech_par_id,pop,low_pr,high_pr,auth,exc,inc
47,48,2866,"You know, if America could bring down inflation from 12.4 percent to four, as we did, then we can bring it down from four to 0.0, and we're going to do that. If lowering your tax rates led to the best expansion in 30 years, then we can lower them again and keep America growing right into the 21st century. If we could create those six million new jobs in 21 months, then we can make it possible for every American--young and old, black or white--who wants a job to find a job.",rep,1984.0,False,False,22,2866_22,0.0,0.0,1.0,0.0,0.0,1.0
1006,1007,3167,And how about this fourth idea? Let's give the Congress back to the people. Presidents have term limits. Let's have term limits on members of the Congress.,rep,1992.0,False,False,18,3167_18,1.0,0.0,1.0,0.0,0.0,0.0
2475,2476,3210,"Thanks to a lot of the people who are in this room, we have been trying to do something about it for four years now. And after four years, as Don Payne said, we've got 10.5 million new jobs, 4.5 million new homeowners, a record number of new small businesses, including in every year record numbers of new businesses owned by women and minorities. We have for the first time since before the Civil War cut the deficit in each one of the four years of my presidency. And we did it without gutting Medicare, Medicaid, education, the environment, and our commitment to the proposition that everybody in this country is entitled to be treated fairly and justly.",dem,1996.0,False,False,14,3210_14,0.0,0.0,1.0,0.0,0.0,1.0
2747,2748,3238,"You see, the whole world today, now that the Cold War is over, we have reduced the threat of nuclear war, there are no nuclear weapons pointed at the children of the United States for the first time since the dawn of the nuclear age--but all over the world, we see terrorism, we see weapons of mass destruction, we see all of this violence rooted in people's desire to hurt other people because they're different from them. And that's the last thing I want to leave you with. We can go into the twenty-first century as the strongest country in the world, with our best days ahead, because America is not about looking down on somebody because they're different from you. All you've got to do to be an American is to believe in the principles of the Constitution, the Declaration of Independence, the Bill of Rights and show up tomorrow and be a law abiding citizen. You can walk across our bridge to the twenty-first century. And I want you to commit to keep building that kind of American community where we grow and go together because our best days are still ahead.",dem,1996.0,True,False,21,3238_21,0.0,0.0,1.0,0.0,0.0,1.0
7207,7208,1789,"When we talk about what we're going to do in this field of foreign assistance, we're helping the Nigerians, and we're helping the Indians, and the other people, remember, we do this not solely for the negative reason that we're trying to keep what we've got, that we're trying to keep communism from spreading in the world; we do it because we Americans traditionally have had a heart.  We have a great humanitarian concern, and one of the reasons that we have developed this concern is because of the contribution made by people that make up the mainstream of American life.  Who are they?  They came from all the countries of the world.  Warm-hearted Italians, people from Europe, from Asia, from Africa, these are Americans.  And because America is the whole world, America will always have a feeling and a concern for misery and hunger and want in the whole world.",rep,1960.0,True,False,33,1789_33,0.0,0.0,1.0,0.0,0.0,1.0
10362,10363,2297,"That is the kind of men they were. And that is the kind of responsible presidential leadership we must restore. Our present leadership has not only failed that test, it has undermined the personal freedom of Americans and the constitutional framework of our government.",dem,1972.0,True,False,30,2297_30,1.0,1.0,0.0,0.0,0.0,0.0
11285,11286,1210,"First of all, of course, corruption is an expense piled onto all of the necessary expenditures that you people must bear.  By this I mean the actual cost in dollars is something that you have to add onto all these wasteful and extravagant expenses, as well as the necessary expenses.  But the great damage done to us by corruption in government is, after all, not just the few dollars it takes out of our tax revenues and our pockets.  This mess in Washington lowers our prestige abroad and robs us of pride in our own government.  If we are going to restore pride in government, who is going to do it?  You can't take an organization that has been in power far too long and merely by doing a little face-lifting job, doing a little repaint job, get by with it.  Actually, I believe that the administration candidate said all it needed was a little refreshening.  But as far as I am concerned, how do you refreshen a bad egg?",rep,1952.0,False,False,2,1210_2,1.0,1.0,0.0,0.0,0.0,0.0
11337,11338,3361,"And don't forget the California Civil Rights Initiative. I don't believe in discrimination. I'm disabled. If there's discrimination, I might be out somewhere where I couldn't contact anybody. I don't believe in discrimination, and if somebody discriminates they ought to be punished. We have to live in America. We're all Americans. We are one America. Black or white or disabled, or whatever, we're all Americans. We're proud Americans. This is the greatest country on the face of the earth and we ought to support the...[missing text].",rep,1996.0,False,False,26,3361_26,0.0,0.0,1.0,0.0,0.0,1.0
11836,11837,2282,"Why aren't there more clinics to protect your health? Because your money has been used to bomb the life out of innocent civilians in Indochina. I want America to come home from exile of racist politics, so that never again will a president attempt to win white votes by denying black rights.",dem,1972.0,True,True,10,2282_10,0.0,1.0,0.0,0.0,0.0,1.0
12686,12687,2187,"Before I talk to you and give you some of the marching words which I hope you will carry into the precincts and the districts all over this state, I would like to say a word about the men who are here and the women who are here on this platform. I do have many pleasant memories of this state, and, incidentally, John, they go back longer than sixteen years. I came up here as a congressman, I remember, in 1947 when I was on the Herter Committee, and I had the opportunity to come here at Chris Herter's request, and that great and good man, I learned a great deal from him about foreign policy and also about the responsibility of leadership. And from that time and also because of my association with many other leaders who are on this platform, my feeling for this state, for the people in this state, is a deep one. I recognize what you have contributed to the previous administration--ours, I mean.",rep,1968.0,False,False,2,2187_2,0.0,0.0,1.0,0.0,0.0,1.0
13240,13241,2391,"Over the years, our greatest source of strength has come from our basic priceless values which are embodied in our Declaration of Independence, the Constitution of the United States, our Bill of Rights, involving our belief in freedom of religion, freedom of speech, freedom of expression, movement, and an unchanging commitment to basic human dignity. Although we've recently not lived up to ideals, I know of no great nation in history that has more often conducted itself in a moral, unselfish, generous manner abroad, and provided more freedom and opportunity to its own citizens at home. Still, in recent years, we've had reason to be troubled. We've stumbled into the quagmires of Vietnam, and Cambodia, and Chile, and Cyprus, and we've responded inadequately to human suffering that we've recognized in places like Bangladesh, Burundi, and the Sahel area of northern Africa. In other undeveloped and struggling and sometimes starving nations we've allowed virtually unlimited sales of American weapons overseas. As I said in the debate the other night, we've become the arms merchant of the world. This is a policy that's both cynical and dangerous. That we've in effect condoned the efforts of some Arab countries to circumvent the commitment of our Bill of Rights and boycott American businesses who trade with Israel or who have Jewish owners or managers within the businesses themselves. This is an unprecedented thing that we've accepted. We've failed to oppose the denial of human freedom in Eastern Europe and in the Soviet Union.",dem,1976.0,False,False,3,2391_3,0.0,1.0,0.0,0.0,0.0,1.0
14486,14487,2019,"And I want it said, regardless of the outcome of this election, I want it said then of Hubert Humphrey, that in an important and tough moment of his life, he stood by what he believed, and he was not shouted down. My fellow Americans, the politics of this nation is too important to have this interrupted, to have it harangued and harassed by those who no longer have any faith in the Democracy of this nation. We cannot tolerate the racists or the bigot, and we cannot tolerate the extremists, white or black.  And we are not going to.  But we can and we should encourage honest dissent, honest debate, honest discussion.  What's my stand?  Dissent, yes; disorder, no.",dem,1968.0,True,False,15,2019_15,0.0,0.0,0.0,1.0,0.0,1.0
15288,15289,2421,"America has always been a land of new beginnings. Our ancestors who came to these shores made a new beginning. They saw America as a promised land. As we approach the Jewish New Year, many Americans know that we are making a new start in our national life.",rep,1976.0,False,False,10,2421_10,0.0,0.0,1.0,0.0,0.0,1.0
21233,21234,1927,"We passed the Area Redevelopment Act, the Manpower Act, the Trade Expansion Act, new housing legislation, three education bills, and don't forget this, the Nuclear Test Ban Treaty. I remember some newspaper reporters said, """"""""If you just pass two bills, if you can just get a bill where we can take all these fights out of the streets and put them in the courts, the civil rights bill,"""""""" and you will remember we had the Birmingham episodes and all the serious problems, """"""""if you can just take it out of the streets and put it in the courts."""""""" And it is now in the Supreme Court and we have had lots of difficulty with it, but we have tried to be patient and we have tried to be understanding. And we have had a good deal of integration of schools this year in some of the most difficult places in the United States--the state of Mississippi, and they have integrated their schools.",dem,1964.0,True,False,44,1927_44,0.0,0.0,1.0,0.0,0.0,1.0
27478,27479,2206,"From military spending so wasteful that we can end our inflation--come home America. From the entrenchment of special privileges and tax favoritism, from the waste of idle hands to the joy of useful labor from the prejudice based on race and sex; from the loneliness of the aging poor and the despair of the neglected sick--come home America. Come home to the affirmation that we have a dream; come home to the conviction that we can move our country forward.",dem,1972.0,True,False,26,2206_26,0.0,1.0,0.0,0.0,0.0,1.0
30671,30672,2577,"And Clem Zablocki, chairman of the Foreign Affairs Committee of the House, is one of those men that I have to work with on a daily basis in trying to keep our nation strong, first of all, and keep our nation and the world at peace. It's always good to have a man like him, who's completely versed in the very complicated international affairs, but still who keeps his roots very close to the people of this nation. And he understands the particular makeup of our great country, a country of refugees, a country of immigrants, a country of people who've come here from almost every other nation on earth and who've invested our lives in better opportunities for our children and also more freedom for ourselves.",dem,1980.0,False,False,1,2577_1,0.0,0.0,1.0,0.0,0.0,1.0
37765,37766,2363,"We can have an America that has reconciled its economic needs with its desire for an environment that we can pass on with pride to the next generation. We can have an America that provides excellence in education to my child and your child and every child. We can have an America that encourages and takes pride in our ethnic diversity, our religious diversity, our cultural diversity--knowing that out of this pluralistic heritage has come the strength and the vitality and the creativity that has made us great and will keep us great.",dem,1976.0,True,False,29,2363_29,0.0,0.0,1.0,0.0,0.0,1.0
43783,43784,2266,"The question we have to ask is do you want a recession or do you want jobs for every American who is able to work? Do you want inflation or do you want stability? Do you want a national sales tax, which I fully believe is Mr. Nixon's post-election plan or do you want fair tax reform where all of us pay our fair share of the cost of operating this government? Do you want good housing for all of our people--black, white and brown alike--or do you want windfall profits for the speculators paid for with your taxes? On November 7th, the people of this country are going to answer those questions and they are going to declare, once and for all, that the White House is not for sale; not to ITT, not to the oil companies, not to the grain speculators, and they are going to reclaim this government from Connolly, Kleindienst and Butz.",dem,1972.0,False,False,14,2266_14,1.0,0.0,0.0,0.0,0.0,1.0
44066,44067,1155,"Ladies and gentlemen, the campaign in which I am now engaged is in conformity with the promises I made to those people.  I think that the administration in Washington has gone too far in damaging, indeed leading toward destruction of the kind of America we have known, loved and believe in.  That administration has not led us intelligently toward peace.  It is spending more than it earns.  Indeed, it earns nothing.  It is spending more than it takes from us in the highest taxes we have ever had, and leaves a deficit in the budget that further cheapens our money.",rep,1952.0,False,False,2,1155_2,1.0,1.0,0.0,0.0,0.0,0.0
46803,46804,2934,"In just eighteen days, we can have a president who will fight to make our streets and neighborhoods safe every year, not just in election year. In just eighteen days, we can declare war on the drug pushers who are poisoning our kids and destroying our communities. In just eighteen days, we can elect a president who will provide more police AND more drug treatment.  More DEA agents AND better education.  Tougher penalties AND tougher leadership.",dem,1988.0,True,False,15,2934_15,0.0,1.0,0.0,1.0,0.0,0.0
47143,47144,2288,"In America, government derives its power from the people, and it must provide equal service to them all. But today those principles have become so corroded that many Americans have given up in despair. Government cannot serve two masters.",dem,1972.0,True,False,2,2288_2,1.0,1.0,0.0,0.0,0.0,0.0
48852,48853,1783,"There is one element that I should mention, however, which is particularly important to bear in mind.  This great struggle in which we are engaged is not just one of strength of our arms or the productivity of our factories.  That is all it is to the Communists.  That is all it is they have to offer.  But let Americans never forget that we stand for something more than that.  Let Americans never forget that when we were a small nation and a weak nation 170 years ago, that we still were a strong nation in the minds of the world, because our ideals were strong.  What are they?  What do we stand for?  We stand for faith in God.  We stand for belief in dignity of every man, woman and child regardless of his background.  We stand for the right of all men to be free, not just Americans.  We stand for the right of each nation to be independent, not just the American nation.",rep,1960.0,False,False,17,1783_17,0.0,0.0,1.0,0.0,1.0,0.0
50289,50290,2248,"That is why, in many towns and cities of America, sometimes even in small communities like Glen Cove, Long Island, there is not one Catholic school but two or three: one Italian Catholic, one Polish Catholic, one Irish Catholic. As David Riesman and Christopher Janecks write in """"""""The Academic Revolution,"""""""" the contribution of these diverse Catholic schools in nourishing generations of immigrants, of many tongues and many cultures--and at the same time forging from this rich diversity a truly astonishing American unity--is an achievement not yet fully studied or praised. Nor have our official histories of education appreciated fully yet the growing contribution of Jewish day schools around this nation; nor the contribution of the Lutheran grammar schools, high schools and colleges, especially in the Middle West--or the colleges of the Methodist, Presbyterians, Congregationalists or others--or the splendid Episcopal schools in many cities.",dem,1972.0,True,True,10,2248_10,0.0,0.0,1.0,0.0,0.0,1.0
55574,55575,2008-09-17-remarks-elko-nevada,"When I talk to those young veterans who come back from Iraq and Afghanistan, I see my grandfather, who signed up after Pearl Harbor, marched in Patton's Army, and was rewarded by a grateful nation with the chance to go to college on the GI Bill. In the face of that young student who sleeps just three hours before working the night shift, I think about my mom, who raised my sister and me on her own while she worked and earned her degree; who once turned to food stamps but was still able to send us to the best schools in the country. And when I listen to another worker tell me that his factory has shut down, I remember all those men and women on the South Side of Chicago who I stood by and fought for two decades ago after the local steel plant closed. These are my heroes. Theirs are the stories that shaped me. And it is on their behalf that I intend to win this election and keep the promise of America alive as President of the United States.",dem,2008.0,True,False,13,2008-09-17-remarks-elko-nevada_13,0.0,0.0,1.0,0.0,0.0,1.0
56431,56432,2012-10-23-event-henderson-nevada,REP. RYAN: It's going to take leadership. It's going to take a man with a plan. It's going to take a proven job creator — a person who's proven to reach across the aisle to find common ground to get results. It's going to take the kind of leader that we have before us. That leader is Mitt Romney.,rep,2012.0,False,False,9,2012-10-23-event-henderson-nevada_9,0.0,1.0,0.0,0.0,0.0,1.0
56485,56486,2012-09-23-event-denver-colorado,"Instead, we should have individuals pursuing their own dreams. This is a nation of dreamers, dreamers who came here, dreamers who still come here from other places legally, those who are already here. We built this country. We built this economy. This is what America is. This is what will keep us strong. And sometimes — sometimes I think our president and the people with him just don't understand the power of these entrepreneurs, of these dreamers, of a free enterprise system.",rep,2012.0,False,False,22,2012-09-23-event-denver-colorado_22,0.0,0.0,1.0,0.0,0.0,1.0
59681,59682,2004-11-01-dallas-texas-1,"He has given a lot of explanations about that vote since then, but I think the most revealing explanation was this. He said, """"""""The whole thing was a complicated matter."""""""" We have a difference of—we have a different understanding about this war on terror. My opponent says September the 11th didn't change him much at all.",rep,2004.0,True,False,24,2004-11-01-dallas-texas-1_24,0.0,0.0,1.0,0.0,0.0,1.0
66682,66683,2016-11-03-winterville-north-carolina,"We are not going to accept the status quo. What happened to that church in Mississippi yesterday should not be normal. People painted """"""""vote Trump"""""""" on the side. And then they set it on fire. Who would do that to a house of worship? In America, that can never be acceptable. What happened in Flint, Michigan should not be normal or acceptable -- little babies, toddlers, children drinking water that was poisoning them. And there are too many young African Americans who are dying either in police incidents or from random gun violence. You know their names: Trayvon Martin, Eric Garner, Sander Bland, Key Scott. So many. We can't accept that as normal either.",dem,2016.0,False,False,37,2016-11-03-winterville-north-carolina_37,0.0,1.0,0.0,0.0,0.0,1.0
67641,67642,2016-10-12-state-fairgrounds-pueblo,"But of course, you know, it's not only women that he has disrespected. He's insulted practically everybody. He went after a distinguished federal judge, Judge Curiel, who was born in Indiana. And Trump said, """"""""Well, he couldn't be trusted because his parents were Mexican.""""""""",dem,2016.0,False,False,23,2016-10-12-state-fairgrounds-pueblo_23,0.0,0.0,0.0,1.0,1.0,0.0
68066,68067,2016-10-15-portsmouth-new-hampshire,"A Trump Administration will secure and defend our borders. And yes, we will build a wall. We have the first-ever endorsement from our ICE and Border Patrol officers.",rep,2016.0,True,False,10,2016-10-15-portsmouth-new-hampshire_10,0.0,0.0,0.0,1.0,1.0,0.0
68216,68217,2016-10-04-prescott-valley-arizona,"For the first time in American history, we have the endorsement of our ICE officers and our Border Patrol officers. We also have the endorsement of Sheriff Joe. We are going to build a border wall, enforce our laws, and keep our people safe. The chaos, the violence and the crime will come to an end – beginning in January of 2017.",rep,2016.0,True,False,38,2016-10-04-prescott-valley-arizona_38,0.0,1.0,0.0,1.0,1.0,0.0
68266,68267,2016-10-29-center-golden-colorado,"Real change also means getting rid of the corruption in Washington. As you have heard, it was just announced yesterday that the FBI is reopening their investigation into the criminal and illegal conduct of Hillary Clinton. This is the biggest political scandal since Watergate, and it is everybody's deepest hope that justice, at last, can be delivered.",rep,2016.0,True,False,0,2016-10-29-center-golden-colorado_0,1.0,1.0,0.0,0.0,0.0,0.0
70172,70173,2016-10-12-pavilion-ocala-florida,"That's why I was so happy what we did to annihilate the enemy the other day. So happy. Because we're dealing against a very dishonest system. But Hillary, so important, wants to have a radical, and this is very radical, immigration. She wants to radicalize immigration where you have people pouring in. Remember this, the border patrol agents, 16,500 gave me their endorsement. Last week, ICE, ICE, these are great people, you don't hear great things because they're not allowed to do their job.",rep,2016.0,True,False,108,2016-10-12-pavilion-ocala-florida_108,1.0,0.0,0.0,0.0,1.0,0.0
