,uniq_id,text,label,annotated_at
0,3050_25,"We need to do something for first-time non-violent offenders, put them in community-based boot camps where they can work for the community, get drug treatment and education. We need new ideas. We do not need more government; we need government that works, that is effective, that invests and holds people accountable.",neither,2021-01-14 15:32:27
1,2988_20,"Our people are pleading for change, but government is in the way. It has been hijacked by privileged, private interests. It has forgotten who really pays the bills around here--it's taking more of your money and giving you less in return.",neither,2021-01-14 15:32:39
2,2942_4,He's reading the polls.  We're taking our case directly to the American people all over this country.  He thinks he can inherit the White House.  I think you've got to earn the right to be the next president of the United States.,neither,2021-01-14 15:33:46
3,2418_34,"As I try in my imagination to look into the homes where families are watching the end of this great convention, I can't tell which faces are Republicans, which are Democrats, and which are Independents. I cannot see their color or their creed. I see only Americans.",inclusive,2021-01-14 15:34:49
4,897_6,"The constructive spirit of the great Democratic decades must not die here on its twentieth anniversary in destructive indignity and disorder. And I hope and pray, as you all do, that we can conduct our deliberations with a businesslike precision and a dignity befitting our responsibility, and the solemnity of the hour of history in which we meet. For it is a very solemn hour indeed, freighted with the hopes and fears of millions of mankind who see in us, the Democratic Party, sober understanding of the breadth and depth of the revolutionary currents in the world. Here and abroad they see in us awareness that there is no turning back, that, as Justice Holmes said, """"We must sail sometimes with the wind, sometimes against it; but we must sail and not drift or lie at anchor."""" They see in us, the Democratic Party that has steered this country through a storm of spears for twenty years, an understanding of a world in the torment of transition from an age that has died to an age struggling to be born. They see in us relentless determination to stand fast against the barbarian at the gate, to cultivate allies with a decent respect for the opinion of others, to patiently explore every misty path to peace and security, which is the only certainty of lower taxes and a better life.",neither,2021-01-14 16:15:10
5,3031_25,"The Congress passed a bill twice that would have provided basic family leave with an exemption for small business, for people when they've got a baby born, or a sick child or a sick parent. You know, seventy--two nations--seventy-two nations--will give a working person a little time off to go home and take care of their parents or their kids without pay, without losing their jobs. And this president vetoed that bill twice. He said we can't do something that seventy-two countries can do.",neither,2021-01-14 16:19:12
6,2396_10,"Another thing that we don't have in this country is plans for the future. President Ford and the Republican administration have no plans, no concepts in the field of energy. We're the only developed nation in the world that doesn't have a comprehensive energy program. We have no concept of what we hope to achieve in the field of transportation or agriculture or education or welfare or health or taxation. This is a devastating obstacle which prevents cooperation between the federal, state, and local levels of government and between government at all levels and the business and professional and labor and agricultural and educational and scientific communities. We've got to have clear plans to show us a goal so that we can reach them at the end of two years or four years or five years or ten years or even more. We did this in Georgia. It worked very well. It works in many other states, and it can and it will work in Washington.",neither,2021-01-14 16:35:59
7,2157_12,"We find that unless there is a change, a real revolution in terms of institutions in Latin America, our friends and neighbors in the south by the end of this century will be destined to be a permanent depressed area of the world with their per capita income one-fifteenth--that is what it will be--of that of the people of the United States of America. So you see the seeds of revolution that are there potentially in the future, unless new policies are developed. We turn to the Mid-East. The Mid-East was a troubled place then. It is a troubled place now, but the difference is a new dimension that has been added to that struggle. Then the Soviet Union was not stirring up the trouble and today it is. But for what the Soviet Union did before the June war, there would not have been a June war. But for what the Soviet Union has done since the June war in rebuilding the forces of the U.A.R. and Syria, there would be no serious threat of another war in the next two or three years.",neither,2021-01-14 16:53:47
8,1174_32,"The program I have outlined demands skilled and purposeful leadership. It demands harmony and understanding between the executive and legislative branches of our government. It will demand an end to what the Senate Preparedness Subcommittee has called """"abuse, misuse and disuse of power.""""",neither,2021-01-14 16:56:33
9,2097_54,"Now, let's just talk together a little bit about this American family of ours. There are people in this country that are fearful, there are whites who fear blacks and there are blacks who fear whites, and there are those who spread this doubt, and they spread this suspicion, there are angry voices. We Americans have to understand that we have ways and means of working out our difficulties without anger, without hate, without doubt, without suspicion.",inclusive,2021-01-14 16:57:00
10,2016-10-22-plane-pittsburgh-pennsylvania_16,"I am going to keep talking about what we want to do, what we think the country de-serves from the next president and vice president. And actually when it comes right down to it, that is what I think people end up voting on. Thank you all very much.",neither,2021-01-14 16:57:13
11,2012-09-25-york-city-12_35,"And it is because of the progress that I've witnessed in my own lifetime, the progress that I've witnessed after nearly 4 years as President, that I remain ever hopeful about the world that we live in. The war in Iraq is over; American troops have come home. We've begun a transition in Afghanistan, and America and our allies will end our war on schedule in 2014. Al Qaida has been weakened, and Usama bin Laden is no more. Nations have come together to lock down nuclear materials, and America and Russia are reducing our arsenals. We have seen hard choices made—from Nay Pyi Taw to Cairo to Abidjan—to put more power in the hands of citizens.",neither,2021-01-14 16:57:29
12,3232_17,"Now, let me say one other thing. Mr. Lampson's opponent and a lot of other people made a lot of headway four years ago, going out to Texans and to people in my home state and around the country saying, well, that fool President's trying to take your gun away. That's what that Brady Bill's all about. That's what that assault weapons ban's all about. He wants to take your gun away. He's going to interfere with your Second Amendment rights. And you know, no one knew in 1994, and it was pretty scary.",neither,2021-01-14 17:00:06
13,3365_23,"Let me say a word--I don't see any seniors here. But if one shows up, I want you to pass this on. He talks about Medi--well, Medi-scare, we call it--he talks about Medicare and what Bob Dole would do to Medicare and what I would do to student loans.",neither,2021-01-14 17:00:34
