,Speech_id,text,party,term,comp,populist_old_keywords,par_id
0,2162,"But don't worry about that. You know who is in the cellar? Washington. We can't do anything about the Washington baseball team, but we can do something about the Washington political team, and we are going to get Washington out of the cellar and on top.",rep,1968,False,False,3
1,2016-10-28-manchester-new-hampshire,"And these people are seriously corrupt. Terribly conflict. Hillary's pay for play included defense contracts. Take Raytheon, when the contractor wanted big foreign arms deals, they hired three lobbyists that raised hundreds of thousands of dollars for Hillary's last campaign, and are raising money for her current campaign.",rep,2016,True,True,21
2,1045,"We can make our society ever more productive and more abundant and our people ever more free, but only if we have the purpose, the vision and the determination to do so. We can win peace in the world without a third world war, but only by dedicating our minds and our hearts, our sweat and our blood to that great task for as long as may be necessary. I tell you that the way to our goal is not easy, but the goal is worth the price, for the goal is nothing less than a nation fair and productive beyond our dreams and a world of law and order where men of good will can live together in equal dignity and under God. This is the future that we seek and this is the future for which I know we are willing to work and to sacrifice and to labor with all of our minds and with all of our hearts, and this is the cause to which we call you. We don't call it a crusade--we just call it, """"Forward with America.""""",dem,1952,True,False,13
3,2397,"Q. Do you think that Gerald Ford had anything to do with the Sonnenfeldt Doctrine...? CARTER. I can't answer that question. As you know, Mr. Sonnenfeldt has been a top adviser for Mr. Kissinger. And the Sonnenfeldt Doctrine was never repudiated, as far as I know, by Mr. Kissinger. I don't know what Mr. Ford's position is on the Sonnenfeldt Doctrine.",dem,1976,True,False,30
4,2012-10-05-rally-fairfax-virginia,"One of the main reasons record surpluses under Bill Clinton were turned into record deficits under George Bush is because we put two wars and two tax cuts on a credit card, and now Governor Romney wants another $5 trillion in tax cuts that he can't pay for? Not if I have anything to say about it. That's not going to happen. We are not going to let this country fall backward, not now, not with so much at stake. We've got to move forward.",dem,2012,False,False,9
5,2079,"Here is Mr. Wallace--just a minute--here is Mr. Wallace, the man that says he is the workers' friend.  There won't be--let me tell you my friends--the workers' friend for Connecticut--a man that comes up here and tries to take your factories, a man that is a union buster, a man, if you please, that has the lowest, second lowest wages in any state in the union.  Is that the friend of the workingman?  ",dem,1968,False,False,14
6,2868,You said it all. But this year he's outdone himself. All right. Okay. All right. All right. I can take it if you can.,rep,1984,True,False,15
7,2016-08-12-arena-erie-pennsylvania,"Get ready folks, get ready. We're led by stupid people. We're led by leaders and you know honestly, I didn't need this. This I didn't need. I had a nice life, built a great company—a great company, some of the great real estate assets of the world. I may never see them. You know if I win, I may never see them again, and I love them—all over the world.",rep,2016,False,False,97
8,2508,"In every field America is on the move. We are on the march. We made an incredible comeback in the past two years and we are not through yet. You can believe me when I say this nation is sound, this nation is secure. This nation is on the way to a better quality of life for all Americans, and this administration has earned the trust of the American people for the next four years.",rep,1976,False,True,7
9,2528,"I was going to tell Ody and Warren later today and ask them to express it to you, but I see so many nice people here I'm going to do it myself--I'm going to invite every one of you to come down January 20th and be there for the inauguration of Jerry Ford. I do want to express my deep appreciation and gratitude to Bob Kasten and Bill Steiger, who have just been extremely helpful. I need them down there. You need them down there. We just need to add a few more to the Wisconsin delegation.",rep,1976,True,False,2
