,text,candidate,term,title,comp
10,"Now it falls to us. And I need you to make it happen. If you want the next four years looking just like the last eight, then I am not your candidate. But if you want real change – if you want an economy that rewards work, and that works for Main Street and Wall Street; if you want tax relief for the middle class and millions of new jobs; if you want health care you can afford and education that helps your kids compete; then I ask you to knock on some doors, make some calls, talk to your neighbors, and give me your vote on November 4th. And if you do, I promise you – we will win Colorado, we will win this election, and we will change America together.",obama,2008,2008-09-29-remarks-westminster-colorado,FALSE
11,"God bless you, Virginia. God bless the United States of America.",obama,2012,2012-09-27-virginia-beach-virginia,FALSE
12,"God bless you, and God bless the United States of America.",obama,2012,2012-09-08-rally-seminole-florida,FALSE
13,"God bless you, and God bless the United States of America.",obama,2012,2012-10-24-rally-denver-colorado,FALSE
14,"God bless you, and God bless the United States of America.",obama,2012,2012-09-12-vegas-nevada-0,FALSE
15,"God bless you, and God bless the United States of America.",obama,2012,2012-09-17-cincinnati-ohio-0,FALSE
16,"God bless you, and God bless the United States of America.",obama,2012,2012-11-03-rally-mentor-ohio,FALSE
17,"God bless you, and God bless the United States of America.",obama,2012,2012-11-04-rally-hollywood-florida,FALSE
18,"God bless you, and God bless the United States of America.",obama,2012,2012-10-27-nashua-new-hampshire,FALSE
19,"God bless you, and God bless the United States of America.",obama,2012,2012-10-23-delray-beach-florida,FALSE
20,"God bless you, and God bless the United States of America.",obama,2012,2012-11-05-rally-madison-wisconsin,FALSE
21,"God bless you, and God bless the United States of America.",obama,2012,2012-09-13-rally-golden-colorado,FALSE
22,"God bless you, and God bless the United States of America.",obama,2012,2012-11-03-rally-dubuque-iowa,FALSE
23,"God bless you, and God bless the United States of America.",obama,2012,2012-09-08-rally-kissimmee-florida,FALSE
24,"God bless you, and God bless the United States of America.",obama,2012,2012-10-25-rally-cleveland-ohio,FALSE
25,"God bless you, and God bless the United States of America.",obama,2012,2012-09-09-rally-melbourne-florida,FALSE
26,"God bless you, and God bless the United States of America.",obama,2012,2012-10-25-rally-tampa-florida,FALSE
27,"God bless you, and God bless the United States of America.",obama,2012,2012-10-24-rally-davenport-iowa,FALSE
28,"God bless you, and God bless the United States of America.",obama,2012,2012-10-18-manchester-new-hampshire,FALSE
29,"God bless you, Ohio. God bless the United States of America. Let's go vote. Let's go do this.",obama,2012,2012-11-05-rally-columbus-ohio,FALSE
30,"The flag they served under now carries them home. May God bless the memory of these men who laid down their lives for us all, may God watch over your families and all who loved them, and may God bless these United States of America.",obama,2012,2012-09-14-mission-benghazi-libya,FALSE
31,"Now it falls to us. Together, we cannot fail. And I need you to make it happen. If you want the next four years looking like the last eight, then I am not your candidate. But if you want real change – if you want an economy that rewards work, and that works for Main Street and Wall Street; if you want tax relief for the middle class and millions of new jobs; if you want health care you can afford and education that helps your kids compete; then I ask you to knock on some doors, make some calls, talk to your neighbors, and give me your vote. In Colorado, you can vote early right here, and right now. To find out how, just go to voteforchange.com. And if you stand with me in nine days, I promise you – we will win Colorado, we will win this election, and then you and I – together – will change this country and change this world. Thank you, God bless you, and may God bless America.",obama,2008,2008-10-26-denver-colorado-3,FALSE
32,"Now it falls to us. Together, we cannot fail. Together, we can overcome the broken policies and divided politics of the last eight years. Together, we can renew an economy that rewards work and rebuilds the middle class. Together, we can create millions of new jobs, and deliver on the promise of health care you can afford and education that helps your kids compete. We can do this if we come together; if we have confidence in ourselves and each other; if we look beyond the darkness of the day to the bright light of hope that lies ahead. Together, we can change this country and change this world. Thank you, God bless you, and may God bless America.",obama,2008,2008-10-13-toledo-ohio-1,FALSE
33,"Now it falls to us. Together, we cannot fail. Together, we can overcome the broken policies and divided politics of the last eight years. Together, we can renew an economy that rewards work and rebuilds the middle class. Together, we can create millions of new jobs, and deliver on the promise of health care you can afford and education that helps your kids compete. We can do this if we come together; if we have confidence in ourselves and each other; if we look beyond the darkness of the day to the bright light of hope that lies ahead. Together, we can change this country and change this world. Thank you, God bless you, and may God bless America.",obama,2008,2008-10-10-chillicothe-ohio-1,FALSE
34,God bless you. God bless the United States of America.,obama,2012,2012-10-11-rally-miami-florida,FALSE
35,God bless you. God bless the United States of America.,obama,2012,2012-11-03-rally-milwaukee-wisconsin,FALSE
36,God bless you. God bless the United States of America.,obama,2012,2012-10-08-rally-san-francisco,FALSE
37,God bless you. God bless the United States of America.,obama,2012,2012-09-30-vegas-nevada-1,FALSE
38,God bless you. God bless the United States of America.,obama,2012,2012-11-03-rally-bristow-virginia,FALSE
39,Let's get to work. Seven more weeks. God bless you. God bless America.,obama,2012,2012-09-17-cio-convention-columbus,FALSE
40,God bless you. God bless your families. And may God bless the United States of America. Thank you very much.,obama,2012,2012-10-18-york-city-0,FALSE
41,"So thank you so much, everybody. God bless you. Appreciate you. Bey, Jay, thank you.",obama,2012,2012-09-18-york-city-20,FALSE
42,God bless you. God bless the United States.,obama,2012,2012-09-21-rally-woodbridge-virginia,FALSE
43,"Thank you, God bless you, and God bless America.",obama,2008,2008-09-10-gala-washington-dc,FALSE
44,"Thank you, God bless you, and God bless America.",obama,2008,2008-09-20-beach-florida-1,FALSE
45,"Thank you, God bless you, and God bless America.",kerry,2004,2004-08-24-new-york-city,FALSE
46,"Thank you, God bless you, and God bless America.",kerry,2004,2004-10-20-waterloo-iowa-0,FALSE
47,"Thank you, God bless you, and God bless America.",kerry,2004,2004-10-19-barre-pennsylvania-1,FALSE
48,"Thank you, God bless you, and God bless America.",kerry,2004,2004-09-16-general-conference-las,FALSE
49,Thank you. Thank you.,obama,2012,2012-09-22-milwaukee-wisconsin-0,FALSE
50,"Thank you. God bless you, and God bless these United States.",obama,2012,2012-09-06-national-convention-charlotte,FALSE
51,"Thank you, California. God bless you, and God bless the United States of America.",obama,2012,2012-10-07-los-angeles-california,FALSE
52,"God bless you, everybody. God bless the United States of America.",obama,2012,2012-10-05-cleveland-ohio-0,FALSE
53,"The President. Thank you, everybody.",obama,2012,2012-10-08-monument-keene-california,FALSE
54,"Now it falls to us. Together, we cannot fail. And I need you to make it happen. If you want the next four years looking like the last eight, then I am not your candidate. But if you want real change - if you want an economy that rewards work, and that works for Main Street and Wall Street; if you want tax relief for the middle class and millions of new jobs; if you want health care you can afford and education that helps your kids compete; then I ask you to knock on some doors, make some calls, talk to your neighbors, and give me your vote. And if you stand with me in thirteen days, I promise you - we will win Virginia, we will win this election, and then you and I - together - will change this country and change this world. Thank you, God bless you, and may God bless America.",obama,2008,2008-10-22-richmond-virginia-0,FALSE
55,Thank you very much.,obama,2012,2012-09-25-york-city-12,FALSE
56,"""Once again, I call upon Senator McCain to join me in supporting a bipartisan bill to increase pressure on the Iranian regime by allowing states and private companies to divest from companies doing business in Iran. The security of our ally Israel is too important to play partisan politics, and it is deeply disappointing that Senator McCain and a few of his allies in Congress feel otherwise,"" said Senator Barack Obama.",obama,2008,2008-09-23-president-ahmadinejads-remarks,FALSE
57,"Thank you, everybody. God bless you. Let's go get this done.",obama,2012,2012-10-11-2012-fundraiser-miami,FALSE
58,"Because I know that if we can just bring our education system into the 21st century, not only will our children be able to fulfill their God-given potential, and our families be able to live out their dreams; not only will our schools out-educate the world and our workers outcompete the world; not only will our companies innovate more and our economy grow more, but at this defining moment, we will do what previous generations of Americans have done – and unleash the promise of our people, unlock the promise of our country, and make sure that America remains a beacon of opportunity and prosperity for all the world. Thank you.",obama,2008,2008-09-09-dayton-ohio-4,FALSE
59,God bless you. God bless America.,obama,2012,2012-11-02-campaign-rally-springfield,FALSE
60,God bless you. God bless America.,obama,2012,2012-09-09-palm-beach-florida,FALSE
61,God bless you. God bless America.,obama,2012,2012-09-17-columbus-ohio-0,FALSE
62,"And if you keep standing with me, if you keep fighting with me, if you keep making those calls, and knocking on those doors, and making sure everyone you know gets out to the polls on November 4th - if you do these things, then I promise you, we will win this election, and then you and I - together - will change this country and change this world. Thank you, God bless you, and may God bless America.",obama,2008,2008-10-11-philadelphia-pennsylvania-2,FALSE
63,"I love you. Let's go vote. Let's keep moving forward. God bless you, and God bless the United States of America.",obama,2012,2012-11-05-des-moines-iowa,FALSE
64,So I want to say thank you to all of you. Congratulations. I'm going to invite Coach to come up and just say a few words.,obama,2012,2012-09-18-champion-minnesota-lynx,FALSE
65,"Now it falls to us. And I need you to make it happen. If you want the next four years looking just like the last eight, then I am not your candidate. But if you want real change - if you want an economy that rewards work, and that works for Main Street and Wall Street; if you want tax relief for the middle class and millions of new jobs; if you want health care you can afford and education that helps your kids compete; then I ask you to knock on some doors, make some calls, talk to your neighbors, and give me your vote on November 4th. And if you do, I promise you - we will win Michigan, we will win this election, and we will change America together.",obama,2008,2008-09-28-remarks-detroit-michigan,FALSE
66,"God bless you, and God bless the United States of America. Hey!",obama,2012,2012-11-04-rally-cincinnati-ohio,FALSE
67,"God bless the memories of those we lost, and God bless these United States of America.",obama,2012,2012-09-11-arlington-virginia-3,FALSE
68,"Thank you, Ohio. God bless you. God bless America.",obama,2012,2012-09-26-rally-kent-ohio,FALSE
69,"Thank you, Nevada. God bless you, and God bless the United States of America.",obama,2012,2012-10-24-las-vegas-nevada,FALSE
70,"Thank you, Ohio! I love you. Thank you.",obama,2012,2012-10-17-rally-athens-ohio,FALSE
71,I'd now like to open up a discussion with the folks here on stage with me and have a chance to hear their thoughts and ideas.,obama,2008,2008-10-21-worth-florida-0,FALSE
72,"Now it falls to us. Together, we cannot fail. And I need you to make it happen. If you want the next four years looking like the last eight, then I am not your candidate. But if you want real change – if you want an economy that rewards work, and that works for Main Street and Wall Street; if you want tax relief for the middle class and millions of new jobs; if you want health care you can afford and education that helps your kids compete; then I ask you to knock on some doors, make some calls, talk to your neighbors, and give me your vote on November 4th. And if you do, I promise you – we will win Virginia, we will win this election, and then you and I – together – will change this country and change this world. Thank you, God bless you, and may God bless America.",obama,2008,2008-10-17-roanoke-virginia-0,FALSE
73,"All right. Thank you very much, everybody.",obama,2012,2012-10-28-sandy-preparedness-efforts,FALSE
74,"Thank you, Ohio. Let's go vote. Let's go win this election!",obama,2012,2012-10-09-columbus-ohio-1,FALSE
75,"Now it falls to us. And I need you to make it happen. If you want the next four years looking just like the last eight, then I am not your candidate. But if you want real change - if you want an economy that rewards work, and that works for Main Street and Wall Street; if you want tax relief for the middle class and millions of new jobs; if you want health care you can afford and education that helps your kids compete; then I ask you to knock on some doors, make some calls, talk to your neighbors, and give me your vote on November 4th. And if you do, I promise you - we will win North Carolina, we will win this election, and we will change America together.",obama,2008,2008-09-21-north-carolina-0,FALSE
