roc_auc,model_iteration
0.8941844,Random Forest
0.97796731,Random Forest
0.95929078,Random Forest
0.96070922,Random Forest
0.91886525,Random Forest
0.93745558,Random Forest
0.91120567,Random Forest
0.87334755,Random Forest
0.94751773,Random Forest
0.96326241,Random Forest
0.96368794,Random Forest
0.96992908,Random Forest
0.89489362,Random Forest
0.94029851,Random Forest
0.93914894,Random Forest
0.97560284,Random Forest
0.93191489,Random Forest
0.95906183,Random Forest
0.94141844,Random Forest
0.97361702,Random Forest
0.90049751,Random Forest
0.89617021,Random Forest
0.9351773,Random Forest
0.94794326,Random Forest
0.95716312,Random Forest
0.89475177,Balanced RFC
0.98208955,Balanced RFC
0.96780142,Balanced RFC
0.96255319,Balanced RFC
0.92304965,Balanced RFC
0.94797441,Balanced RFC
0.91588652,Balanced RFC
0.90419332,Balanced RFC
0.95312057,Balanced RFC
0.96120567,Balanced RFC
0.96411348,Balanced RFC
0.97262411,Balanced RFC
0.89673759,Balanced RFC
0.94399431,Balanced RFC
0.95609929,Balanced RFC
0.97914894,Balanced RFC
0.93893617,Balanced RFC
0.97910448,Balanced RFC
0.93489362,Balanced RFC
0.98368794,Balanced RFC
0.88415068,Balanced RFC
0.91829787,Balanced RFC
0.94921986,Balanced RFC
0.95950355,Balanced RFC
0.96304965,Balanced RFC
0.972669474,RoBERTa -1
0.9411279,RoBERTa -1
0.96210057,RoBERTa -1
0.9734126,RoBERTa -1
0.915944183,RoBERTa -1
0.972174057,RoBERTa -1
0.963339113,RoBERTa -1
0.965651061,RoBERTa -1
0.978944761,RoBERTa -1
0.989596235,RoBERTa -1
0.992073322,RoBERTa -1
0.938568244,RoBERTa -1
0.986293452,RoBERTa -1
0.984724631,RoBERTa -1
0.977623648,RoBERTa -1
0.942201305,RoBERTa -1
0.89381554,RoBERTa -1
0.987449426,RoBERTa -1
0.896540335,RoBERTa -1
0.947155479,RoBERTa -1
0.977706218,RoBERTa -1
0.979770457,RoBERTa -1
0.93361407,RoBERTa -1
0.982412683,RoBERTa -1
0.959375774,RoBERTa -1
0.983404255,RoBERTa -2
0.970638298,RoBERTa -2
0.986950355,RoBERTa -2
0.985957447,RoBERTa -2
0.97177305,RoBERTa -2
0.985106383,RoBERTa -2
0.927801418,RoBERTa -2
0.982978723,RoBERTa -2
0.982411348,RoBERTa -2
0.991347518,RoBERTa -2
0.97929078,RoBERTa -2
0.984255319,RoBERTa -2
0.979574468,RoBERTa -2
0.987092199,RoBERTa -2
0.991205674,RoBERTa -2
0.965957447,RoBERTa -2
0.980283688,RoBERTa -2
0.987517731,RoBERTa -2
0.965957447,RoBERTa -2
0.992907801,RoBERTa -2
0.988368794,RoBERTa -2
0.944255319,RoBERTa -2
0.974893617,RoBERTa -2
0.986524823,RoBERTa -2
0.995319149,RoBERTa -2
0.988995984,RoBERTa -3
0.98459968,RoBERTa -3
0.984641119,RoBERTa -3
0.992434286,RoBERTa -3
0.944277861,RoBERTa -3
0.989489489,RoBERTa -3
0.89420906,RoBERTa -3
0.983148311,RoBERTa -3
0.984189474,RoBERTa -3
0.994184397,RoBERTa -3
0.984665314,RoBERTa -3
0.97534288,RoBERTa -3
0.958827088,RoBERTa -3
0.971712042,RoBERTa -3
0.989219858,RoBERTa -3
0.95801418,RoBERTa -3
0.98259109,RoBERTa -3
0.990496454,RoBERTa -3
0.99177305,RoBERTa -3
0.995076923,RoBERTa -3
0.989903697,RoBERTa -3
0.961785073,RoBERTa -3
0.96007,RoBERTa -3
0.992624114,RoBERTa -4
0.950780142,RoBERTa -4
0.994893617,RoBERTa -4
0.995177305,RoBERTa -4
0.978723404,RoBERTa -4
0.994042553,RoBERTa -4
0.956028369,RoBERTa -4
0.986241135,RoBERTa -4
0.984539007,RoBERTa -4
0.992340426,RoBERTa -4
0.988368794,RoBERTa -4
0.992198582,RoBERTa -4
0.987943262,RoBERTa -4
0.99106383,RoBERTa -4
0.987234043,RoBERTa -4
0.951347518,RoBERTa -4
0.984255319,RoBERTa -4
0.988510638,RoBERTa -4
0.996170213,RoBERTa -4
0.988368794,RoBERTa -4
0.995886525,RoBERTa -4
0.939007092,RoBERTa -4
0.973333333,RoBERTa -4
0.993333333,RoBERTa -4
0.994751773,RoBERTa -4
