pr_auc,model_iteration
0.39048356,Random Forest
0.61965306,Random Forest
0.5044132,Random Forest
0.71147377,Random Forest
0.52579682,Random Forest
0.43233119,Random Forest
0.55354585,Random Forest
0.28548848,Random Forest
0.63161904,Random Forest
0.59485603,Random Forest
0.61192561,Random Forest
0.5588943,Random Forest
0.57040764,Random Forest
0.59529458,Random Forest
0.6125363,Random Forest
0.6179576,Random Forest
0.58668704,Random Forest
0.61642378,Random Forest
0.43870639,Random Forest
0.65455223,Random Forest
0.6364403,Random Forest
0.24948666,Random Forest
0.38234575,Random Forest
0.40723946,Random Forest
0.54779694,Random Forest
0.47899748,Balanced RFC
0.61841635,Balanced RFC
0.45362923,Balanced RFC
0.74128183,Balanced RFC
0.62023721,Balanced RFC
0.46025617,Balanced RFC
0.4739308,Balanced RFC
0.37206299,Balanced RFC
0.56953754,Balanced RFC
0.62184307,Balanced RFC
0.66079326,Balanced RFC
0.55848297,Balanced RFC
0.5768159,Balanced RFC
0.59189948,Balanced RFC
0.62583723,Balanced RFC
0.56166186,Balanced RFC
0.50654324,Balanced RFC
0.70055155,Balanced RFC
0.4408872,Balanced RFC
0.78686814,Balanced RFC
0.65450129,Balanced RFC
0.23907508,Balanced RFC
0.44803757,Balanced RFC
0.41337481,Balanced RFC
0.53404362,Balanced RFC
0.317849209,RoBERTa -1
0.306693762,RoBERTa -1
0.476424508,RoBERTa -1
0.318550364,RoBERTa -1
0.533828449,RoBERTa -1
0.45604538,RoBERTa -1
0.324111998,RoBERTa -1
0.333563509,RoBERTa -1
0.510348452,RoBERTa -1
0.570568332,RoBERTa -1
0.568179688,RoBERTa -1
0.598547198,RoBERTa -1
0.524858638,RoBERTa -1
0.282472437,RoBERTa -1
0.308288187,RoBERTa -1
0.624460231,RoBERTa -1
0.344105508,RoBERTa -1
0.562535999,RoBERTa -1
0.438512038,RoBERTa -1
0.442546566,RoBERTa -1
0.256559146,RoBERTa -1
0.583079014,RoBERTa -1
0.409525857,RoBERTa -1
0.495732554,RoBERTa -1
0.198661593,RoBERTa -1
0.664822251,RoBERTa -2
0.810775226,RoBERTa -2
0.794820653,RoBERTa -2
0.739411463,RoBERTa -2
0.51133953,RoBERTa -2
0.793191796,RoBERTa -2
0.612203751,RoBERTa -2
0.762800301,RoBERTa -2
0.596785023,RoBERTa -2
0.827989385,RoBERTa -2
0.650647233,RoBERTa -2
0.482309966,RoBERTa -2
0.604888576,RoBERTa -2
0.852048075,RoBERTa -2
0.771071145,RoBERTa -2
0.749911611,RoBERTa -2
0.676583809,RoBERTa -2
0.853437689,RoBERTa -2
0.638071524,RoBERTa -2
0.897028948,RoBERTa -2
0.881018237,RoBERTa -2
0.504543601,RoBERTa -2
0.685514564,RoBERTa -2
0.724618145,RoBERTa -2
0.88017777,RoBERTa -2
0.852968734,RoBERTa -3
0.893316606,RoBERTa -3
0.861880531,RoBERTa -3
0.939777715,RoBERTa -3
0.668059828,RoBERTa -3
0.919283764,RoBERTa -3
0.726360904,RoBERTa -3
0.924260798,RoBERTa -3
0.917251142,RoBERTa -3
0.86418106,RoBERTa -3
0.770230132,RoBERTa -3
0.579587022,RoBERTa -3
0.663538465,RoBERTa -3
0.806831188,RoBERTa -3
0.903481611,RoBERTa -3
0.65937531,RoBERTa -3
0.65866244,RoBERTa -3
0.849807869,RoBERTa -3
0.799472211,RoBERTa -3
0.915938723,RoBERTa -3
0.896238371,RoBERTa -3
0.827169015,RoBERTa -3
0.840934,RoBERTa -3
0.831845069,RoBERTa -4
0.784266765,RoBERTa -4
0.883043739,RoBERTa -4
0.83398596,RoBERTa -4
0.595544382,RoBERTa -4
0.859297594,RoBERTa -4
0.548629149,RoBERTa -4
0.739732306,RoBERTa -4
0.684026462,RoBERTa -4
0.759426376,RoBERTa -4
0.80770306,RoBERTa -4
0.781923494,RoBERTa -4
0.570668239,RoBERTa -4
0.724920591,RoBERTa -4
0.791836988,RoBERTa -4
0.72166579,RoBERTa -4
0.681286234,RoBERTa -4
0.876679514,RoBERTa -4
0.847848046,RoBERTa -4
0.835168758,RoBERTa -4
0.860230844,RoBERTa -4
0.818606379,RoBERTa -4
0.662504318,RoBERTa -4
0.890417699,RoBERTa -4
0.9036241,RoBERTa -4
