roc_auc,model_iteration
0.857272727,Random Forest
0.837727273,Random Forest
0.667272727,Random Forest
0.854545455,Random Forest
0.953530752,Random Forest
0.895454545,Random Forest
0.792272727,Random Forest
0.975454545,Random Forest
0.978636364,Random Forest
0.789545455,Random Forest
0.577272727,Random Forest
0.940909091,Random Forest
0.926818182,Random Forest
0.788154897,Random Forest
0.938496583,Random Forest
0.828636364,Random Forest
0.980454545,Random Forest
0.865909091,Random Forest
0.834090909,Random Forest
0.938181818,Random Forest
0.972209567,Random Forest
0.711161731,Random Forest
0.847272727,Random Forest
0.627727273,Random Forest
0.980454545,Random Forest
0.83545455,Balanced RFC
0.81863636,Balanced RFC
0.63613636,Balanced RFC
0.82772727,Balanced RFC
0.97357631,Balanced RFC
0.89181818,Balanced RFC
0.85159091,Balanced RFC
0.97840909,Balanced RFC
0.97840909,Balanced RFC
0.75454545,Balanced RFC
0.58,Balanced RFC
0.97409091,Balanced RFC
0.96272727,Balanced RFC
0.87198178,Balanced RFC
0.96492027,Balanced RFC
0.88659091,Balanced RFC
0.98204545,Balanced RFC
0.96181818,Balanced RFC
0.78795455,Balanced RFC
0.95863636,Balanced RFC
0.9904328,Balanced RFC
0.78656036,Balanced RFC
0.79931818,Balanced RFC
0.64772727,Balanced RFC
0.98545455,Balanced RFC
0.955909091,RoBERTa -1
0.917272727,RoBERTa -1
0.995454546,RoBERTa -1
0.764545455,RoBERTa -1
0.905909091,RoBERTa -1
1,RoBERTa -1
0.925454546,RoBERTa -1
0.992272727,RoBERTa -1
0.986818182,RoBERTa -1
0.977727273,RoBERTa -1
0.942272727,RoBERTa -1
0.800454546,RoBERTa -1
0.955,RoBERTa -1
0.994090909,RoBERTa -1
0.805,RoBERTa -1
0.865454546,RoBERTa -1
0.893636364,RoBERTa -1
0.974090909,RoBERTa -1
0.983636364,RoBERTa -1
0.962272727,RoBERTa -1
0.954090909,RoBERTa -1
0.900454546,RoBERTa -1
0.986818182,RoBERTa -1
0.845454546,RoBERTa -1
0.97,RoBERTa -1
1,RoBERTa -2
0.836363636,RoBERTa -2
0.996363636,RoBERTa -2
0.985,RoBERTa -2
0.970454546,RoBERTa -2
0.998636364,RoBERTa -2
0.978181818,RoBERTa -2
1,RoBERTa -2
0.970454546,RoBERTa -2
0.986363636,RoBERTa -2
0.977272727,RoBERTa -2
0.986818182,RoBERTa -2
0.996818182,RoBERTa -2
0.988636364,RoBERTa -2
1,RoBERTa -2
0.998636364,RoBERTa -2
0.844090909,RoBERTa -2
0.998181818,RoBERTa -2
0.926818182,RoBERTa -2
0.999090909,RoBERTa -2
1,RoBERTa -2
0.985454546,RoBERTa -2
0.916363636,RoBERTa -2
0.989090909,RoBERTa -2
0.998181818,RoBERTa -2
0.994545455,RoBERTa -3
0.931363636,RoBERTa -3
0.998181818,RoBERTa -3
0.983181818,RoBERTa -3
0.976363636,RoBERTa -3
0.997727273,RoBERTa -3
0.962727273,RoBERTa -3
1,RoBERTa -3
0.970454546,RoBERTa -3
0.967727273,RoBERTa -3
0.988636364,RoBERTa -3
0.934545455,RoBERTa -3
0.996818182,RoBERTa -3
0.994090909,RoBERTa -3
1,RoBERTa -3
0.995454546,RoBERTa -3
0.845909091,RoBERTa -3
0.999090909,RoBERTa -3
0.975909091,RoBERTa -3
1,RoBERTa -3
1,RoBERTa -3
0.993181818,RoBERTa -3
0.992272727,RoBERTa -3
0.956818182,RoBERTa -3
0.999090909,RoBERTa -3
