pr_auc,model_iteration
0.757834157,Random Forest
0.340183475,Random Forest
0.220472265,Random Forest
0.153907409,Random Forest
0.392621525,Random Forest
0.472248706,Random Forest
0.419980448,Random Forest
0.290330956,Random Forest
0.460377939,Random Forest
0.273910062,Random Forest
0.018591752,Random Forest
0.36118575,Random Forest
0.091133929,Random Forest
0.120685518,Random Forest
0.276728652,Random Forest
0.234107702,Random Forest
0.380684955,Random Forest
0.086385131,Random Forest
0.321562306,Random Forest
0.390794983,Random Forest
0.443013716,Random Forest
0.226714456,Random Forest
0.261560526,Random Forest
0.220824338,Random Forest
0.277950067,Random Forest
0.70961841,Balanced RFC
0.42449155,Balanced RFC
0.23137729,Balanced RFC
0.191094,Balanced RFC
0.42392502,Balanced RFC
0.61436384,Balanced RFC
0.34683764,Balanced RFC
0.42286052,Balanced RFC
0.41071048,Balanced RFC
0.33776103,Balanced RFC
0.03661705,Balanced RFC
0.39837662,Balanced RFC
0.12550004,Balanced RFC
0.36450212,Balanced RFC
0.32055285,Balanced RFC
0.22231068,Balanced RFC
0.66750905,Balanced RFC
0.34073606,Balanced RFC
0.3725021,Balanced RFC
0.63216875,Balanced RFC
0.58881579,Balanced RFC
0.23932065,Balanced RFC
0.3053825,Balanced RFC
0.24436779,Balanced RFC
0.26679198,Balanced RFC
0.630570459,RoBERTa -1
0.482136018,RoBERTa -1
0.861904762,RoBERTa -1
0.411800115,RoBERTa -1
0.631126439,RoBERTa -1
1,RoBERTa -1
0.485359293,RoBERTa -1
0.676904762,RoBERTa -1
0.686774892,RoBERTa -1
0.724946779,RoBERTa -1
0.268287963,RoBERTa -1
0.23031947,RoBERTa -1
0.472373737,RoBERTa -1
0.675238095,RoBERTa -1
0.607437711,RoBERTa -1
0.630615579,RoBERTa -1
0.433687128,RoBERTa -1
0.814621893,RoBERTa -1
0.42999871,RoBERTa -1
0.634982598,RoBERTa -1
0.808526505,RoBERTa -1
0.616121194,RoBERTa -1
0.706005291,RoBERTa -1
0.609730582,RoBERTa -1
0.448729604,RoBERTa -1
1,RoBERTa -2
0.445432961,RoBERTa -2
0.871794872,RoBERTa -2
0.823968706,RoBERTa -2
0.675227954,RoBERTa -2
0.86,RoBERTa -2
0.772458522,RoBERTa -2
1,RoBERTa -2
0.37262987,RoBERTa -2
0.722319508,RoBERTa -2
0.724601379,RoBERTa -2
0.736605223,RoBERTa -2
0.582976191,RoBERTa -2
0.786527094,RoBERTa -2
1,RoBERTa -2
0.919642857,RoBERTa -2
0.610344447,RoBERTa -2
0.776666667,RoBERTa -2
0.666318388,RoBERTa -2
0.938095238,RoBERTa -2
1,RoBERTa -2
0.824624625,RoBERTa -2
0.804773162,RoBERTa -2
0.831527094,RoBERTa -2
0.776666667,RoBERTa -2
0.854411765,RoBERTa -3
0.40830335,RoBERTa -3
0.776666667,RoBERTa -3
0.82166086,RoBERTa -3
0.670982302,RoBERTa -3
0.626666667,RoBERTa -3
0.660007519,RoBERTa -3
1,RoBERTa -3
0.65607058,RoBERTa -3
0.642311311,RoBERTa -3
0.702380952,RoBERTa -3
0.626491022,RoBERTa -3
0.573095238,RoBERTa -3
0.754583333,RoBERTa -3
1,RoBERTa -3
0.861904762,RoBERTa -3
0.609748195,RoBERTa -3
0.918333333,RoBERTa -3
0.480139762,RoBERTa -3
1,RoBERTa -3
1,RoBERTa -3
0.846052632,RoBERTa -3
0.742719298,RoBERTa -3
0.809040404,RoBERTa -3
0.918333333,RoBERTa -3
