roc_auc,model_iteration
0.791040504,Random Forest
0.810832138,Random Forest
0.785673393,Random Forest
0.836982968,Random Forest
0.830184629,Random Forest
0.701936872,Random Forest
0.819593531,Random Forest
0.805066552,Random Forest
0.746815515,Random Forest
0.813055954,Random Forest
0.797409475,Random Forest
0.737655646,Random Forest
0.811578646,Random Forest
0.752325748,Random Forest
0.776298841,Random Forest
0.797409475,Random Forest
0.845498783,Random Forest
0.704379562,Random Forest
0.826248748,Random Forest
0.787876614,Random Forest
0.778946615,Random Forest
0.78402748,Random Forest
0.806855589,Random Forest
0.755689137,Random Forest
0.728782024,Random Forest
0.798840704,Balanced RFC
0.828981349,Balanced RFC
0.788178045,Balanced RFC
0.836482038,Balanced RFC
0.84292257,Balanced RFC
0.709110473,Balanced RFC
0.837126091,Balanced RFC
0.828753399,Balanced RFC
0.745956777,Balanced RFC
0.809253945,Balanced RFC
0.823386289,Balanced RFC
0.739516244,Balanced RFC
0.826749678,Balanced RFC
0.748389867,Balanced RFC
0.780234722,Balanced RFC
0.79719479,Balanced RFC
0.859811078,Balanced RFC
0.723343352,Balanced RFC
0.849148418,Balanced RFC
0.802725968,Balanced RFC
0.791756119,Balanced RFC
0.802919708,Balanced RFC
0.798339774,Balanced RFC
0.776084156,Balanced RFC
0.754472592,Balanced RFC
0.754472592,Balanced RFC
0.937455274,RoBERTa -1
0.963575211,RoBERTa -1
0.958064978,RoBERTa -1
0.927651353,RoBERTa -1
0.956633748,RoBERTa -1
0.957134679,RoBERTa -1
0.958780593,RoBERTa -1
0.941820524,RoBERTa -1
0.92314298,RoBERTa -1
0.926220123,RoBERTa -1
0.935594676,RoBERTa -1
0.967940461,RoBERTa -1
0.962716474,RoBERTa -1
0.958923716,RoBERTa -1
0.90367826,RoBERTa -1
0.943967368,RoBERTa -1
0.954200658,RoBERTa -1
0.951051954,RoBERTa -1
0.975382854,RoBERTa -1
0.960283383,RoBERTa -1
0.945684843,RoBERTa -1
0.964076141,RoBERTa -1
0.948046372,RoBERTa -1
0.961142121,RoBERTa -1
0.94210677,RoBERTa -1
0.940103049,RoBERTa -2
0.963002719,RoBERTa -2
0.957921855,RoBERTa -2
0.921568627,RoBERTa -2
0.958351224,RoBERTa -2
0.962143982,RoBERTa -2
0.968083584,RoBERTa -2
0.965292686,RoBERTa -2
0.937956204,RoBERTa -2
0.92994132,RoBERTa -2
0.93530843,RoBERTa -2
0.941319594,RoBERTa -2
0.94504079,RoBERTa -2
0.952697867,RoBERTa -2
0.946472019,RoBERTa -2
0.95126664,RoBERTa -2
0.95548876,RoBERTa -2
0.94682983,RoBERTa -2
0.98218119,RoBERTa -2
0.96421926,RoBERTa -2
0.94525547,RoBERTa -2
0.95105195,RoBERTa -2
0.95441534,RoBERTa -2
0.94504079,RoBERTa -2
0.95026478,RoBERTa -2
0.920137398,RoBERTa -3
0.967439531,RoBERTa -3
0.94797481,RoBERTa -3
0.927293545,RoBERTa -3
0.961714613,RoBERTa -3
0.967654215,RoBERTa -3
0.96643767,RoBERTa -3
0.960426506,RoBERTa -3
0.928223844,RoBERTa -3
0.920495205,RoBERTa -3
0.935952483,RoBERTa -3
0.939315872,RoBERTa -3
0.952268499,RoBERTa -3
0.966151424,RoBERTa -3
0.944110491,RoBERTa -3
0.946901388,RoBERTa -3
0.971518534,RoBERTa -3
0.967153285,RoBERTa -3
0.97760126,RoBERTa -3
0.950980392,RoBERTa -3
0.95527408,RoBERTa -3
0.945398597,RoBERTa -3
0.933662516,RoBERTa -3
0.957420925,RoBERTa -3
0.941462717,RoBERTa -3
