pr_auc,model_iteration
0.243480478,Random Forest
0.286027982,Random Forest
0.253762823,Random Forest
0.361899515,Random Forest
0.45300686,Random Forest
0.197195258,Random Forest
0.329869564,Random Forest
0.254005391,Random Forest
0.250227992,Random Forest
0.372481728,Random Forest
0.285555875,Random Forest
0.327780785,Random Forest
0.313213138,Random Forest
0.201653137,Random Forest
0.328423694,Random Forest
0.329435466,Random Forest
0.427902577,Random Forest
0.302198314,Random Forest
0.395402248,Random Forest
0.299664342,Random Forest
0.298784902,Random Forest
0.208669198,Random Forest
0.280046343,Random Forest
0.228483534,Random Forest
0.227743352,Random Forest
0.275755795,Balanced RFC
0.344536348,Balanced RFC
0.284047957,Balanced RFC
0.353409332,Balanced RFC
0.455294291,Balanced RFC
0.240112681,Balanced RFC
0.332274865,Balanced RFC
0.300711925,Balanced RFC
0.247466483,Balanced RFC
0.364159522,Balanced RFC
0.346172777,Balanced RFC
0.336198738,Balanced RFC
0.339918344,Balanced RFC
0.216918864,Balanced RFC
0.31552717,Balanced RFC
0.34608816,Balanced RFC
0.415049269,Balanced RFC
0.321573621,Balanced RFC
0.401104304,Balanced RFC
0.343920458,Balanced RFC
0.336190397,Balanced RFC
0.226241059,Balanced RFC
0.326493251,Balanced RFC
0.291597258,Balanced RFC
0.257611185,Balanced RFC
0.731181072,RoBERTa -1
0.633988438,RoBERTa -1
0.75290886,RoBERTa -1
0.7284304,RoBERTa -1
0.754149623,RoBERTa -1
0.731206356,RoBERTa -1
0.699461598,RoBERTa -1
0.627120602,RoBERTa -1
0.628197371,RoBERTa -1
0.612819227,RoBERTa -1
0.685211291,RoBERTa -1
0.730461154,RoBERTa -1
0.676068338,RoBERTa -1
0.777175272,RoBERTa -1
0.680968859,RoBERTa -1
0.699379301,RoBERTa -1
0.716439182,RoBERTa -1
0.739844896,RoBERTa -1
0.782142266,RoBERTa -1
0.734176791,RoBERTa -1
0.706752384,RoBERTa -1
0.705696322,RoBERTa -1
0.708099197,RoBERTa -1
0.741616142,RoBERTa -1
0.742325572,RoBERTa -1
0.644181988,RoBERTa -2
0.632580984,RoBERTa -2
0.745371781,RoBERTa -2
0.635953336,RoBERTa -2
0.800734002,RoBERTa -2
0.70339915,RoBERTa -2
0.663923251,RoBERTa -2
0.651828654,RoBERTa -2
0.637021547,RoBERTa -2
0.668955502,RoBERTa -2
0.719293068,RoBERTa -2
0.694594257,RoBERTa -2
0.61848457,RoBERTa -2
0.768213504,RoBERTa -2
0.796661999,RoBERTa -2
0.72519342,RoBERTa -2
0.71252059,RoBERTa -2
0.68840222,RoBERTa -2
0.84538966,RoBERTa -2
0.72186594,RoBERTa -2
0.80187299,RoBERTa -2
0.7129514,RoBERTa -2
0.6959121,RoBERTa -2
0.79373093,RoBERTa -2
0.76558718,RoBERTa -2
0.643198626,RoBERTa -3
0.712239989,RoBERTa -3
0.703899487,RoBERTa -3
0.657134425,RoBERTa -3
0.724275785,RoBERTa -3
0.785019618,RoBERTa -3
0.694970144,RoBERTa -3
0.616191965,RoBERTa -3
0.662038648,RoBERTa -3
0.659260529,RoBERTa -3
0.660786308,RoBERTa -3
0.70278788,RoBERTa -3
0.636257249,RoBERTa -3
0.793510318,RoBERTa -3
0.746686236,RoBERTa -3
0.728239254,RoBERTa -3
0.81922358,RoBERTa -3
0.658351511,RoBERTa -3
0.786118374,RoBERTa -3
0.725282142,RoBERTa -3
0.795608964,RoBERTa -3
0.756496337,RoBERTa -3
0.688729511,RoBERTa -3
0.808360991,RoBERTa -3
0.61412673,RoBERTa -3
