roc_auc,model_iteration
0.797394429,Random Forest
0.798180593,Random Forest
0.826931716,Random Forest
0.809299191,Random Forest
0.810871518,Random Forest
0.872978437,Random Forest
0.868710692,Random Forest
0.776617251,Random Forest
0.814690027,Random Forest
0.787684341,Random Forest
0.730121294,Random Forest
0.856019766,Random Forest
0.740403017,Random Forest
0.852313567,Random Forest
0.805705301,Random Forest
0.742362983,Random Forest
0.846810422,Random Forest
0.777214905,Random Forest
0.844309355,Random Forest
0.771451033,Random Forest
0.813230009,Random Forest
0.811320755,Random Forest
0.816936208,Random Forest
0.824123989,Random Forest
0.810197664,Random Forest
0.79469901,Balanced RFC
0.79076819,Balanced RFC
0.8515274,Balanced RFC
0.80671608,Balanced RFC
0.84973046,Balanced RFC
0.87556155,Balanced RFC
0.84995508,Balanced RFC
0.79750674,Balanced RFC
0.81221923,Balanced RFC
0.83597884,Balanced RFC
0.75359389,Balanced RFC
0.87140611,Balanced RFC
0.75886525,Balanced RFC
0.86736298,Balanced RFC
0.78683738,Balanced RFC
0.72102426,Balanced RFC
0.88050314,Balanced RFC
0.79106158,Balanced RFC
0.87222785,Balanced RFC
0.78908356,Balanced RFC
0.8341195,Balanced RFC
0.81749775,Balanced RFC
0.80491914,Balanced RFC
0.85557053,Balanced RFC
0.8106469,Balanced RFC
0.929245283,RoBERTa -1
0.976078167,RoBERTa -1
0.978773585,RoBERTa -1
0.970462713,RoBERTa -1
0.986410602,RoBERTa -1
0.957771788,RoBERTa -1
0.978773585,RoBERTa -1
0.971361186,RoBERTa -1
0.923854447,RoBERTa -1
0.970462713,RoBERTa -1
0.983602875,RoBERTa -1
0.961814915,RoBERTa -1
0.943396226,RoBERTa -1
0.965408805,RoBERTa -1
0.94777628,RoBERTa -1
0.994496855,RoBERTa -1
0.945193172,RoBERTa -1
0.982816712,RoBERTa -1
0.918912848,RoBERTa -1
0.977875112,RoBERTa -1
0.895215633,RoBERTa -1
0.958108715,RoBERTa -1
0.953953279,RoBERTa -1
0.96608266,RoBERTa -1
0.97450584,RoBERTa -1
0.954065589,RoBERTa -2
0.981918239,RoBERTa -2
0.989892183,RoBERTa -2
0.94777628,RoBERTa -2
0.984164421,RoBERTa -2
0.983715184,RoBERTa -2
0.963050315,RoBERTa -2
0.966531896,RoBERTa -2
0.970575023,RoBERTa -2
0.975404313,RoBERTa -2
0.982030548,RoBERTa -2
0.970575023,RoBERTa -2
0.926886793,RoBERTa -2
0.979222821,RoBERTa -2
0.967879605,RoBERTa -2
0.982030548,RoBERTa -2
0.963162624,RoBERTa -2
0.981918239,RoBERTa -2
0.934748428,RoBERTa -2
0.940139263,RoBERTa -2
0.928122192,RoBERTa -2
0.966868823,RoBERTa -2
0.965745732,RoBERTa -2
0.969564241,RoBERTa -2
0.934860737,RoBERTa -2
0.969339623,RoBERTa -3
0.945193172,RoBERTa -3
0.984950584,RoBERTa -3
0.952830189,RoBERTa -3
0.985512129,RoBERTa -3
0.972821204,RoBERTa -3
0.964959569,RoBERTa -3
0.966644205,RoBERTa -3
0.980458221,RoBERTa -3
0.959568733,RoBERTa -3
0.95878257,RoBERTa -3
0.974056604,RoBERTa -3
0.978885894,RoBERTa -3
0.97091195,RoBERTa -3
0.987758311,RoBERTa -3
0.987309075,RoBERTa -3
0.944856244,RoBERTa -3
0.956873315,RoBERTa -3
0.944407008,RoBERTa -3
0.971024259,RoBERTa -3
0.875673854,RoBERTa -3
0.974730458,RoBERTa -3
0.946540881,RoBERTa -3
0.976078167,RoBERTa -3
0.952044025,RoBERTa -3
