pr_auc,model_iteration
0.225893263,Random Forest
0.329713771,Random Forest
0.231113032,Random Forest
0.197801607,Random Forest
0.22339134,Random Forest
0.474946264,Random Forest
0.289267624,Random Forest
0.321123257,Random Forest
0.372253366,Random Forest
0.241777084,Random Forest
0.243227951,Random Forest
0.342704039,Random Forest
0.231018194,Random Forest
0.294677418,Random Forest
0.303841387,Random Forest
0.16936567,Random Forest
0.276677736,Random Forest
0.208762281,Random Forest
0.409076526,Random Forest
0.282375587,Random Forest
0.262036663,Random Forest
0.278119961,Random Forest
0.306097068,Random Forest
0.343823591,Random Forest
0.164432445,Random Forest
0.28301153,Balanced RFC
0.40204313,Balanced RFC
0.36435853,Balanced RFC
0.25951504,Balanced RFC
0.26455019,Balanced RFC
0.5114035,Balanced RFC
0.31315135,Balanced RFC
0.36244358,Balanced RFC
0.35910124,Balanced RFC
0.30315387,Balanced RFC
0.3136391,Balanced RFC
0.38954166,Balanced RFC
0.22970574,Balanced RFC
0.32621776,Balanced RFC
0.31422355,Balanced RFC
0.13462492,Balanced RFC
0.31782184,Balanced RFC
0.3084829,Balanced RFC
0.44696696,Balanced RFC
0.27455558,Balanced RFC
0.28799482,Balanced RFC
0.27887287,Balanced RFC
0.27594656,Balanced RFC
0.39458522,Balanced RFC
0.16293184,Balanced RFC
0.505071624,RoBERTa -1
0.787715892,RoBERTa -1
0.813354289,RoBERTa -1
0.803393921,RoBERTa -1
0.695865995,RoBERTa -1
0.705839699,RoBERTa -1
0.787704754,RoBERTa -1
0.624505065,RoBERTa -1
0.725012304,RoBERTa -1
0.683609913,RoBERTa -1
0.729497877,RoBERTa -1
0.707426194,RoBERTa -1
0.595235672,RoBERTa -1
0.609096872,RoBERTa -1
0.744283955,RoBERTa -1
0.919508504,RoBERTa -1
0.646439489,RoBERTa -1
0.668050597,RoBERTa -1
0.747205107,RoBERTa -1
0.751675231,RoBERTa -1
0.604073531,RoBERTa -1
0.57545697,RoBERTa -1
0.729239291,RoBERTa -1
0.63600769,RoBERTa -1
0.683971911,RoBERTa -1
0.506660916,RoBERTa -1
0.802614515,RoBERTa -2
0.817061833,RoBERTa -2
0.835654742,RoBERTa -2
0.714577172,RoBERTa -2
0.823149505,RoBERTa -2
0.764640928,RoBERTa -2
0.568755119,RoBERTa -2
0.769043715,RoBERTa -2
0.745280125,RoBERTa -2
0.827853835,RoBERTa -2
0.737524667,RoBERTa -2
0.624418269,RoBERTa -2
0.770248404,RoBERTa -2
0.757058265,RoBERTa -2
0.722757877,RoBERTa -2
0.591609163,RoBERTa -2
0.686536501,RoBERTa -2
0.800458319,RoBERTa -2
0.632491232,RoBERTa -2
0.645999541,RoBERTa -2
0.649860092,RoBERTa -2
0.695786483,RoBERTa -2
0.6910594,RoBERTa -2
0.541992229,RoBERTa -2
0.523492773,RoBERTa -3
0.801863929,RoBERTa -3
0.829326051,RoBERTa -3
0.814005667,RoBERTa -3
0.787089305,RoBERTa -3
0.657143539,RoBERTa -3
0.753923824,RoBERTa -3
0.535358604,RoBERTa -3
0.739939119,RoBERTa -3
0.726144093,RoBERTa -3
0.725674803,RoBERTa -3
0.642299803,RoBERTa -3
0.735359593,RoBERTa -3
0.693249174,RoBERTa -3
0.808756586,RoBERTa -3
0.791946909,RoBERTa -3
0.633054171,RoBERTa -3
0.619474363,RoBERTa -3
0.799825333,RoBERTa -3
0.644605348,RoBERTa -3
0.609261104,RoBERTa -3
0.685973959,RoBERTa -3
0.662640534,RoBERTa -3
0.788869237,RoBERTa -3
0.585660507,RoBERTa -3
