roc_auc,model_iteration
0.708333333,Random Forest
0.765674603,Random Forest
0.696753761,Random Forest
0.763954869,Random Forest
0.6797308,Random Forest
0.775099206,Random Forest
0.762470309,Random Forest
0.779691211,Random Forest
0.680952381,Random Forest
0.717042755,Random Forest
0.691904196,Random Forest
0.738392857,Random Forest
0.733829365,Random Forest
0.751587302,Random Forest
0.749208234,Random Forest
0.732779097,Random Forest
0.730205859,Random Forest
0.77662312,Random Forest
0.745348377,Random Forest
0.700217736,Random Forest
0.710114806,Random Forest
0.822644497,Random Forest
0.724564529,Random Forest
0.719418052,Random Forest
0.716053048,Random Forest
0.69563492,Balanced RFC
0.79761905,Balanced RFC
0.72149644,Balanced RFC
0.75831354,Balanced RFC
0.73604513,Balanced RFC
0.75,Balanced RFC
0.75148456,Balanced RFC
0.77098179,Balanced RFC
0.67043651,Balanced RFC
0.73258116,Balanced RFC
0.71367775,Balanced RFC
0.76190476,Balanced RFC
0.76458333,Balanced RFC
0.75446429,Balanced RFC
0.75969913,Balanced RFC
0.74049881,Balanced RFC
0.71209422,Balanced RFC
0.7655384,Balanced RFC
0.78147268,Balanced RFC
0.73703484,Balanced RFC
0.74614014,Balanced RFC
0.84639747,Balanced RFC
0.76009501,Balanced RFC
0.75475059,Balanced RFC
0.71615202,Balanced RFC
0.921615202,RoBERTa -1
0.91003563,RoBERTa -1
0.950712589,RoBERTa -1
0.883808393,RoBERTa -1
0.91567696,RoBERTa -1
0.903206651,RoBERTa -1
0.920922407,RoBERTa -1
0.915182106,RoBERTa -1
0.935669042,RoBERTa -1
0.921219319,RoBERTa -1
0.928939034,RoBERTa -1
0.957442597,RoBERTa -1
0.934481394,RoBERTa -1
0.903305622,RoBERTa -1
0.910629454,RoBERTa -1
0.929136976,RoBERTa -1
0.877078385,RoBERTa -1
0.820863025,RoBERTa -1
0.912707839,RoBERTa -1
0.920130641,RoBERTa -1
0.874010293,RoBERTa -1
0.961302455,RoBERTa -1
0.918250198,RoBERTa -1
0.925178147,RoBERTa -1
0.928543151,RoBERTa -1
0.90587886,RoBERTa -2
0.902315915,RoBERTa -2
0.973079968,RoBERTa -2
0.927454474,RoBERTa -2
0.928543151,RoBERTa -2
0.883214569,RoBERTa -2
0.927058591,RoBERTa -2
0.939330958,RoBERTa -2
0.9199327,RoBERTa -2
0.919041964,RoBERTa -2
0.936064925,RoBERTa -2
0.955859066,RoBERTa -2
0.962193191,RoBERTa -2
0.896575614,RoBERTa -2
0.90162312,RoBERTa -2
0.902612827,RoBERTa -2
0.877672209,RoBERTa -2
0.80611639,RoBERTa -2
0.949228029,RoBERTa -2
0.932403009,RoBERTa -2
0.865498812,RoBERTa -2
0.968329375,RoBERTa -2
0.932996833,RoBERTa -2
0.934580364,RoBERTa -2
0.959026128,RoBERTa -2
0.929532858,RoBERTa -3
0.898456057,RoBERTa -3
0.975554236,RoBERTa -3
0.8847981,RoBERTa -3
0.943091845,RoBERTa -3
0.899346793,RoBERTa -3
0.910530483,RoBERTa -3
0.938935075,RoBERTa -3
0.921615202,RoBERTa -3
0.925771972,RoBERTa -3
0.957937451,RoBERTa -3
0.957244656,RoBERTa -3
0.950217736,RoBERTa -3
0.912212985,RoBERTa -3
0.944279493,RoBERTa -3
0.94517023,RoBERTa -3
0.87361441,RoBERTa -3
0.883313539,RoBERTa -3
0.94942597,RoBERTa -3
0.920823436,RoBERTa -3
0.914786223,RoBERTa -3
0.968527316,RoBERTa -3
0.943487728,RoBERTa -3
0.927949327,RoBERTa -3
0.955760095,RoBERTa -3
