PR_AUC,model_iteration
0.11288291,Random Forest
0.19455539,Random Forest
0.22228045,Random Forest
0.14639028,Random Forest
0.09804934,Random Forest
0.18623641,Random Forest
0.1364388,Random Forest
0.20582775,Random Forest
0.20349065,Random Forest
0.15907713,Random Forest
0.12373975,Random Forest
0.19060473,Random Forest
0.12473789,Random Forest
0.20134388,Random Forest
0.13484922,Random Forest
0.19723766,Random Forest
0.13601995,Random Forest
0.1865218,Random Forest
0.14816162,Random Forest
0.16179913,Random Forest
0.16641209,Random Forest
0.1897673,Random Forest
0.1601295,Random Forest
0.12659419,Random Forest
0.10730473,Random Forest
0.11567591,Balanced RFC
0.21703216,Balanced RFC
0.21255758,Balanced RFC
0.13990683,Balanced RFC
0.13094371,Balanced RFC
0.18475163,Balanced RFC
0.15713887,Balanced RFC
0.19301748,Balanced RFC
0.19126952,Balanced RFC
0.19797263,Balanced RFC
0.14612266,Balanced RFC
0.22216978,Balanced RFC
0.13981375,Balanced RFC
0.2063387,Balanced RFC
0.14452155,Balanced RFC
0.19338087,Balanced RFC
0.12280531,Balanced RFC
0.23985652,Balanced RFC
0.17456438,Balanced RFC
0.16784691,Balanced RFC
0.18070554,Balanced RFC
0.2086826,Balanced RFC
0.16836597,Balanced RFC
0.13190777,Balanced RFC
0.11853286,Balanced RFC
0.698288519,RoBERTa -1
0.606066901,RoBERTa -1
0.687404683,RoBERTa -1
0.519304233,RoBERTa -1
0.517458056,RoBERTa -1
0.533295398,RoBERTa -1
0.695800792,RoBERTa -1
0.428741267,RoBERTa -1
0.550875496,RoBERTa -1
0.482849027,RoBERTa -1
0.598500967,RoBERTa -1
0.580640387,RoBERTa -1
0.549784022,RoBERTa -1
0.487228283,RoBERTa -1
0.525518093,RoBERTa -1
0.495021604,RoBERTa -1
0.52120162,RoBERTa -1
0.538908134,RoBERTa -1
0.517177525,RoBERTa -1
0.579440641,RoBERTa -1
0.413811609,RoBERTa -1
0.547411844,RoBERTa -1
0.515822955,RoBERTa -1
0.504824152,RoBERTa -1
0.519497257,RoBERTa -1
0.542883046,RoBERTa -2
0.714041982,RoBERTa -2
0.763633168,RoBERTa -2
0.554855532,RoBERTa -2
0.637195581,RoBERTa -2
0.571639645,RoBERTa -2
0.691836573,RoBERTa -2
0.423493567,RoBERTa -2
0.533127066,RoBERTa -2
0.667867136,RoBERTa -2
0.636107741,RoBERTa -2
0.631602492,RoBERTa -2
0.67866474,RoBERTa -2
0.488749455,RoBERTa -2
0.690880962,RoBERTa -2
0.467497503,RoBERTa -2
0.475422412,RoBERTa -2
0.356576653,RoBERTa -2
0.553776463,RoBERTa -2
0.686261599,RoBERTa -2
0.549218069,RoBERTa -2
0.674494003,RoBERTa -2
0.617211513,RoBERTa -2
0.620294029,RoBERTa -2
0.555585863,RoBERTa -2
0.724104656,RoBERTa -3
0.532508732,RoBERTa -3
0.765737059,RoBERTa -3
0.435054032,RoBERTa -3
0.591804207,RoBERTa -3
0.665899112,RoBERTa -3
0.727708306,RoBERTa -3
0.661610453,RoBERTa -3
0.509201534,RoBERTa -3
0.551396388,RoBERTa -3
0.698307385,RoBERTa -3
0.637226975,RoBERTa -3
0.682672906,RoBERTa -3
0.480940608,RoBERTa -3
0.690808549,RoBERTa -3
0.61075876,RoBERTa -3
0.567895016,RoBERTa -3
0.571892301,RoBERTa -3
0.597012538,RoBERTa -3
0.729468886,RoBERTa -3
0.638112589,RoBERTa -3
0.699377023,RoBERTa -3
0.60413081,RoBERTa -3
0.593450052,RoBERTa -3
0.628251394,RoBERTa -3
