roc_auc,model_iteration
0.934651,Random Forest
0.92539174,Random Forest
0.88603989,Random Forest
0.89630555,Random Forest
0.86489381,Random Forest
0.93967517,Random Forest
0.93075138,Random Forest
0.90844191,Random Forest
0.93217919,Random Forest
0.93307157,Random Forest
0.87286325,Random Forest
0.87339744,Random Forest
0.86680912,Random Forest
0.92254274,Random Forest
0.92165242,Random Forest
0.92094017,Random Forest
0.92663818,Random Forest
0.91720085,Random Forest
0.95181153,Random Forest
0.93767806,Random Forest
0.93233618,Random Forest
0.92289886,Random Forest
0.86485043,Random Forest
0.90135328,Random Forest
0.91559829,Random Forest
0.94070513,Balanced RFC
0.9585114,Balanced RFC
0.91889245,Balanced RFC
0.91674103,Balanced RFC
0.88961271,Balanced RFC
0.95413172,Balanced RFC
0.95306086,Balanced RFC
0.94038908,Balanced RFC
0.95948599,Balanced RFC
0.94842049,Balanced RFC
0.90660613,Balanced RFC
0.89414174,Balanced RFC
0.88755342,Balanced RFC
0.93251425,Balanced RFC
0.94391026,Balanced RFC
0.9480057,Balanced RFC
0.93803419,Balanced RFC
0.91559829,Balanced RFC
0.96448331,Balanced RFC
0.96349715,Balanced RFC
0.94604701,Balanced RFC
0.94070513,Balanced RFC
0.88746439,Balanced RFC
0.92503561,Balanced RFC
0.91978276,Balanced RFC
0.931089744,RoBERTa -1
0.940883191,RoBERTa -1
0.963141026,RoBERTa -1
0.954950143,RoBERTa -1
0.955306268,RoBERTa -1
0.919159544,RoBERTa -1
0.929309117,RoBERTa -1
0.920049858,RoBERTa -1
0.955662393,RoBERTa -1
0.85772792,RoBERTa -1
0.921296296,RoBERTa -1
0.931267806,RoBERTa -1
0.968839031,RoBERTa -1
0.944622507,RoBERTa -1
0.988603989,RoBERTa -1
0.953703704,RoBERTa -1
0.921118234,RoBERTa -1
0.969195157,RoBERTa -1
0.95281339,RoBERTa -1
0.986111111,RoBERTa -1
0.925569801,RoBERTa -1
0.945334758,RoBERTa -1
0.980947293,RoBERTa -1
0.885149573,RoBERTa -1
0.953703704,RoBERTa -1
0.92289886,RoBERTa -2
0.947649573,RoBERTa -2
0.949430199,RoBERTa -2
0.948896011,RoBERTa -2
0.98272792,RoBERTa -2
0.926638177,RoBERTa -2
0.915420228,RoBERTa -2
0.949964388,RoBERTa -2
0.971688034,RoBERTa -2
0.856837607,RoBERTa -2
0.905092593,RoBERTa -2
0.930555556,RoBERTa -2
0.9627849,RoBERTa -2
0.928418803,RoBERTa -2
0.988247863,RoBERTa -2
0.96474359,RoBERTa -2
0.903490029,RoBERTa -2
0.988782051,RoBERTa -2
0.918981482,RoBERTa -2
0.981659544,RoBERTa -2
0.961182336,RoBERTa -2
0.916488604,RoBERTa -2
0.963319088,RoBERTa -2
0.946225071,RoBERTa -2
0.963675214,RoBERTa -2
0.965277778,RoBERTa -3
0.975071225,RoBERTa -3
0.956018519,RoBERTa -3
0.961894587,RoBERTa -3
0.971153846,RoBERTa -3
0.930021368,RoBERTa -3
0.836004274,RoBERTa -3
0.884081197,RoBERTa -3
0.920940171,RoBERTa -3
0.891381766,RoBERTa -3
0.919337607,RoBERTa -3
0.875890313,RoBERTa -3
0.939280627,RoBERTa -3
0.93215812,RoBERTa -3
0.987891738,RoBERTa -3
0.97008547,RoBERTa -3
0.935363248,RoBERTa -3
0.985042735,RoBERTa -3
0.949608262,RoBERTa -3
0.97008547,RoBERTa -3
0.993767806,RoBERTa -3
0.928062678,RoBERTa -3
0.989316239,RoBERTa -3
0.943732194,RoBERTa -3
0.972222222,RoBERTa -3
