"","term","party","populism","inclusion","exclusion","low_pride","high_pride","auth"
"1",1952,"dem",0.18848167539267,0.382198952879581,0,0.12565445026178,0.544502617801047,0.06282722513089
"2",1952,"rep",0.61304347826087,0.265217391304348,0,0.460869565217391,0.373913043478261,0.0521739130434783
"3",1956,"dem",0.48,0.466666666666667,0,0.48,0.426666666666667,0.0133333333333333
"4",1956,"rep",0.0697674418604651,0.395348837209302,0,0.0930232558139535,0.534883720930233,0
"5",1960,"dem",0.0129449838187702,0.336569579288026,0,0.614886731391586,0.427184466019418,0
"6",1960,"rep",0.0882352941176471,0.330882352941177,0.0147058823529411,0.323529411764706,0.911764705882353,0
"7",1964,"dem",0.0990990990990991,0.486486486486487,0.00900900900900903,0.225225225225225,0.837837837837838,0.00900900900900903
"8",1968,"dem",0.163398692810457,0.777777777777778,0,0.464052287581699,0.679738562091503,0.183006535947712
"9",1968,"rep",0.206896551724138,0.53448275862069,0.0172413793103449,0.844827586206897,0.793103448275862,0.241379310344828
"10",1972,"dem",0.587628865979381,0.329896907216495,0.020618556701031,0.608247422680412,0.278350515463918,0.0412371134020618
"11",1972,"rep",0.135593220338983,0.406779661016949,0,0.152542372881356,0.661016949152542,0.11864406779661
"12",1976,"dem",0.4,0.545454545454545,0,0.727272727272727,0.636363636363636,0.0545454545454546
"13",1976,"rep",0.0775193798449613,0.186046511627907,0,0.333333333333333,0.790697674418605,0.0852713178294574
"14",1980,"dem",0.0561797752808989,0.696629213483146,0.0112359550561798,0.123595505617977,0.887640449438202,0.0224719101123596
"15",1980,"rep",0.115942028985507,0.260869565217391,0.0144927536231884,0.695652173913043,0.333333333333333,0.0289855072463768
"16",1984,"dem",0.227272727272727,0.696969696969697,0.0151515151515151,0.621212121212121,0.606060606060606,0.0303030303030303
"17",1984,"rep",0.363636363636364,0.527272727272727,0.0818181818181818,0.472727272727273,0.863636363636364,0.0727272727272728
"18",1988,"dem",0.515151515151515,0.46969696969697,0,0.560606060606061,0.818181818181818,0.0909090909090909
"19",1988,"rep",0.073170731707317,0.341463414634146,0.024390243902439,0.341463414634146,0.829268292682927,0.48780487804878
"20",1992,"dem",0.473684210526316,0.592105263157895,0,0.894736842105263,0.486842105263158,0.0394736842105263
"21",1992,"rep",0.476190476190476,0.19047619047619,0,0.19047619047619,0.904761904761905,0.373015873015873
"22",1996,"dem",0.081081081081081,0.720720720720721,0.0900900900900901,0.27027027027027,0.900900900900901,0.126126126126126
"23",1996,"rep",0.525641025641026,0.230769230769231,0.192307692307692,0.435897435897436,0.538461538461538,0.217948717948718
"24",2000,"dem",1,0.25,0,0.25,0.5,0.25
"25",2004,"dem",0.666666666666667,0.333333333333333,0.121212121212121,0.848484848484849,0.757575757575758,0
"26",2004,"rep",0.0735294117647058,0.169117647058823,0.125,0.147058823529412,0.867647058823529,0
"27",2008,"dem",0.865384615384615,0.326923076923077,0.0192307692307693,0.942307692307692,0.884615384615385,0
"28",2008,"rep",0.848484848484849,0.121212121212121,0,0.909090909090909,0.575757575757576,0
"29",2012,"dem",0.505882352941176,0.870588235294118,0.0235294117647059,0.635294117647059,0.894117647058824,0.0352941176470588
"30",2012,"rep",0.176470588235294,0.235294117647059,0.0392156862745098,0.862745098039216,0.92156862745098,0.0196078431372549
"31",2016,"dem",0.324324324324324,0.891891891891892,0.108108108108108,0.351351351351351,0.810810810810811,0.108108108108108
"32",2016,"rep",0.954545454545455,0.931818181818182,0.931818181818182,0.977272727272727,0.659090909090909,0.704545454545455
