,Unnamed: 0,speech_par_id,text,label,annotated_at,high_pride_yl,low_pride_yl,auth_yl
0,0,2162_3,"But don't worry about that. You know who is in the cellar? Washington. We can't do anything about the Washington baseball team, but we can do something about the Washington political team, and we are going to get Washington out of the cellar and on top.",none,2021-01-18 21:50:32,0,0,0
1,1,2016-10-28-manchester-new-hampshire_21,"And these people are seriously corrupt. Terribly conflict. Hillary's pay for play included defense contracts. Take Raytheon, when the contractor wanted big foreign arms deals, they hired three lobbyists that raised hundreds of thousands of dollars for Hillary's last campaign, and are raising money for her current campaign.",none,2021-01-19 10:46:30,0,0,0
2,2,2397_30,"Q. Do you think that Gerald Ford had anything to do with the Sonnenfeldt Doctrine...? CARTER. I can't answer that question. As you know, Mr. Sonnenfeldt has been a top adviser for Mr. Kissinger. And the Sonnenfeldt Doctrine was never repudiated, as far as I know, by Mr. Kissinger. I don't know what Mr. Ford's position is on the Sonnenfeldt Doctrine.",none,2021-01-19 10:47:23,0,0,0
3,3,2012-10-05-rally-fairfax-virginia_9,"One of the main reasons record surpluses under Bill Clinton were turned into record deficits under George Bush is because we put two wars and two tax cuts on a credit card, and now Governor Romney wants another $5 trillion in tax cuts that he can't pay for? Not if I have anything to say about it. That's not going to happen. We are not going to let this country fall backward, not now, not with so much at stake. We've got to move forward.",none,2021-01-19 10:47:33,0,0,0
4,4,2079_14,"Here is Mr. Wallace--just a minute--here is Mr. Wallace, the man that says he is the workers' friend.  There won't be--let me tell you my friends--the workers' friend for Connecticut--a man that comes up here and tries to take your factories, a man that is a union buster, a man, if you please, that has the lowest, second lowest wages in any state in the union.  Is that the friend of the workingman?  ",none,2021-01-19 10:47:42,0,0,0
5,5,2868_15,You said it all. But this year he's outdone himself. All right. Okay. All right. All right. I can take it if you can.,none,2021-01-19 10:52:34,0,0,0
6,6,2016-08-12-arena-erie-pennsylvania_97,"Get ready folks, get ready. We're led by stupid people. We're led by leaders and you know honestly, I didn't need this. This I didn't need. I had a nice life, built a great company—a great company, some of the great real estate assets of the world. I may never see them. You know if I win, I may never see them again, and I love them—all over the world.",none,2021-01-19 10:52:37,0,0,0
7,7,2508_7,"In every field America is on the move. We are on the march. We made an incredible comeback in the past two years and we are not through yet. You can believe me when I say this nation is sound, this nation is secure. This nation is on the way to a better quality of life for all Americans, and this administration has earned the trust of the American people for the next four years.",none,2021-01-19 10:53:19,1,0,0
8,8,2528_2,"I was going to tell Ody and Warren later today and ask them to express it to you, but I see so many nice people here I'm going to do it myself--I'm going to invite every one of you to come down January 20th and be there for the inauguration of Jerry Ford. I do want to express my deep appreciation and gratitude to Bob Kasten and Bill Steiger, who have just been extremely helpful. I need them down there. You need them down there. We just need to add a few more to the Wisconsin delegation.",none,2021-01-19 10:53:30,0,0,0
9,9,1314_11,"Tied to that problem is this one of Civil Service.  """"You put Ike and his friends in the administration and they will fire civil servants by the scores.""""  That is just bunk.  I have lived with those people a whole lot longer than some of the people who are now criticizing me and I like and admire them.",none,2021-01-19 10:53:42,0,0,0
