"","Speech_id","n_pars","speech_length","party","term","party_incumbent","recession","date"
"1","1000",6,890,"democrat",1952,1,0,"1952-10-21"
"2","1001",17,1993,"democrat",1952,1,0,"1952-10-21"
"3","1002",16,2253,"democrat",1952,1,0,"1952-10-21"
"4","1003",49,3483,"democrat",1952,1,0,"1952-10-21"
"5","1004",22,2208,"democrat",1952,1,0,"1952-10-22"
"6","1005",15,2070,"democrat",1952,1,0,"1952-10-22"
"7","1006",12,1613,"democrat",1952,1,0,"1952-10-22"
"8","1007",12,1322,"democrat",1952,1,0,"1952-10-22"
"9","1008",29,2671,"democrat",1952,1,0,"1952-10-22"
"10","1009",34,2734,"democrat",1952,1,0,"1952-10-23"
"11","1010",22,2300,"democrat",1952,1,0,"1952-10-23"
"12","1011",9,1265,"democrat",1952,1,0,"1952-10-23"
"13","1012",9,974,"democrat",1952,1,0,"1952-10-23"
"14","1013",22,2580,"democrat",1952,1,0,"1952-10-23"
"15","1014",10,1390,"democrat",1952,1,0,"1952-10-23"
"16","1015",12,1642,"democrat",1952,1,0,"1952-10-23"
"17","1016",13,1642,"democrat",1952,1,0,"1952-10-23"
"18","1017",8,733,"democrat",1952,1,0,"1952-10-24"
"19","1018",4,412,"democrat",1952,1,0,"1952-10-24"
"20","1019",12,1628,"democrat",1952,1,0,"1952-10-24"
"21","1020",10,1203,"democrat",1952,1,0,"1952-10-24"
"22","1021",11,1341,"democrat",1952,1,0,"1952-10-24"
"23","1022",11,1208,"democrat",1952,1,0,"1952-10-24"
"24","1023",12,1273,"democrat",1952,1,0,"1952-10-24"
"25","1024",9,1051,"democrat",1952,1,0,"1952-10-24"
"26","1025",13,1430,"democrat",1952,1,0,"1952-10-24"
"27","1026",13,1554,"democrat",1952,1,0,"1952-10-24"
"28","1027",24,1971,"democrat",1952,1,0,"1952-10-24"
"29","1028",13,1743,"democrat",1952,1,0,"1952-10-24"
"30","1029",13,1805,"democrat",1952,1,0,"1952-10-24"
"31","1030",10,1708,"democrat",1952,1,0,"1952-10-24"
"32","1031",14,1145,"democrat",1952,1,0,"1952-10-25"
"33","1032",16,1900,"democrat",1952,1,0,"1952-10-25"
"34","1033",36,2498,"democrat",1952,1,0,"1952-10-25"
"35","1034",5,667,"democrat",1952,1,0,"1952-10-25"
"36","1035",15,1771,"democrat",1952,1,0,"1952-10-25"
"37","1036",19,2372,"democrat",1952,1,0,"1952-10-25"
"38","1037",10,1509,"democrat",1952,1,0,"1952-10-25"
"39","1038",12,1481,"democrat",1952,1,0,"1952-10-26"
"40","1039",15,2396,"democrat",1952,1,0,"1952-10-26"
"41","1040",13,1349,"democrat",1952,1,0,"1952-10-27"
"42","1041",18,1886,"democrat",1952,1,0,"1952-10-27"
"43","1042",7,1049,"democrat",1952,1,0,"1952-10-27"
"44","1043",31,3249,"democrat",1952,1,0,"1952-10-27"
"45","1044",9,1352,"democrat",1952,1,0,"1952-10-27"
"46","1045",17,1999,"democrat",1952,1,0,"1952-10-27"
"47","1046",7,1104,"democrat",1952,1,0,"1952-10-27"
"48","1047",10,1500,"democrat",1952,1,0,"1952-10-27"
"49","1048",14,1644,"democrat",1952,1,0,"1952-10-27"
"50","1049",11,1281,"democrat",1952,1,0,"1952-10-27"
"51","1050",19,2235,"democrat",1952,1,0,"1952-10-28"
"52","1051",23,2814,"democrat",1952,1,0,"1952-10-28"
"53","1052",6,698,"democrat",1952,1,0,"1952-10-28"
"54","1053",6,600,"democrat",1952,1,0,"1952-10-28"
"55","1054",7,772,"democrat",1952,1,0,"1952-10-28"
"56","1055",10,745,"democrat",1952,1,0,"1952-10-28"
"57","1056",9,897,"democrat",1952,1,0,"1952-10-28"
"58","1057",14,1469,"democrat",1952,1,0,"1952-10-29"
"59","1058",10,1289,"democrat",1952,1,0,"1952-10-29"
"60","1059",9,1097,"democrat",1952,1,0,"1952-10-29"
"61","1060",12,1409,"democrat",1952,1,0,"1952-10-29"
"62","1061",5,454,"democrat",1952,1,0,"1952-10-29"
"63","1062",15,2346,"democrat",1952,1,0,"1952-10-29"
"64","1063",14,2471,"democrat",1952,1,0,"1952-10-29"
"65","1064",14,1393,"democrat",1952,1,0,"1952-10-29"
"66","1065",13,1516,"democrat",1952,1,0,"1952-10-29"
"67","1066",11,1433,"democrat",1952,1,0,"1952-10-29"
"68","1067",17,1674,"democrat",1952,1,0,"1952-10-30"
"69","1068",17,1844,"democrat",1952,1,0,"1952-10-30"
"70","1069",11,1229,"democrat",1952,1,0,"1952-10-30"
"71","1070",11,1899,"democrat",1952,1,0,"1952-10-30"
"72","1071",10,1323,"democrat",1952,1,0,"1952-10-30"
"73","1072",17,2010,"democrat",1952,1,0,"1952-10-30"
"74","1073",29,3073,"democrat",1952,1,0,"1952-10-30"
"75","1074",33,3189,"democrat",1952,1,0,"1952-10-31"
"76","1075",20,2928,"democrat",1952,1,0,"1952-10-31"
"77","1076",11,1260,"democrat",1952,1,0,"1952-11-01"
"78","1077",14,1470,"democrat",1952,1,0,"1952-11-01"
"79","1078",14,1890,"democrat",1952,1,0,"1952-11-01"
"80","1079",5,584,"democrat",1952,1,0,"1952-11-01"
"81","1080",15,1516,"democrat",1952,1,0,"1952-11-01"
"82","1081",17,2089,"democrat",1952,1,0,"1952-11-01"
"83","1082",13,2014,"democrat",1952,1,0,"1952-11-01"
"84","1083",7,1245,"democrat",1952,1,0,"1952-11-01"
"85","1084",30,2403,"democrat",1952,1,0,"1952-11-01"
"86","1085",18,1518,"democrat",1952,1,0,"1952-11-03"
"87","1086",7,454,"democrat",1952,1,0,"1952-11-04"
"88","1087",7,376,"democrat",1952,1,0,"1952-11-05"
"89","1088",13,1129,"republican",1952,0,0,"1952-07-11"
"90","1089",9,901,"republican",1952,0,0,"1952-09-01"
"91","1090",15,1671,"republican",1952,0,0,"1952-09-02"
"92","1091",31,2586,"republican",1952,0,0,"1952-09-02"
"93","1092",26,2115,"republican",1952,0,0,"1952-09-02"
"94","1093",23,2112,"republican",1952,0,0,"1952-09-03"
"95","1094",23,2548,"republican",1952,0,0,"1952-09-03"
"96","1095",22,2626,"republican",1952,0,0,"1952-09-03"
"97","1096",4,295,"republican",1952,0,0,"1952-09-04"
"98","1097",2,340,"republican",1952,0,0,"1952-09-04"
"99","1098",9,801,"republican",1952,0,0,"1952-09-04"
"100","1099",3,268,"republican",1952,0,0,"1952-09-04"
"101","1100",4,513,"republican",1952,0,0,"1952-09-04"
"102","1101",39,2974,"republican",1952,0,0,"1952-09-04"
"103","1102",22,2796,"republican",1952,0,0,"1952-09-05"
"104","1103",36,4184,"republican",1952,0,0,"1952-09-05"
"105","1104",35,2618,"republican",1952,0,0,"1952-09-06"
"106","1105",10,1138,"republican",1952,0,0,"1952-09-06"
"107","1106",10,1179,"republican",1952,0,0,"1952-09-09"
"108","1107",37,2597,"republican",1952,0,0,"1952-09-09"
"109","1108",10,1134,"republican",1952,0,0,"1952-09-10"
"110","1109",8,953,"republican",1952,0,0,"1952-09-13"
"111","1110",8,1318,"republican",1952,0,0,"1952-09-15"
"112","1111",5,430,"republican",1952,0,0,"1952-09-15"
"113","1112",9,1334,"republican",1952,0,0,"1952-09-15"
"114","1113",10,1443,"republican",1952,0,0,"1952-09-15"
"115","1114",6,919,"republican",1952,0,0,"1952-09-15"
"116","1115",10,898,"republican",1952,0,0,"1952-09-15"
"117","1116",12,1388,"republican",1952,0,0,"1952-09-15"
"118","1117",9,1045,"republican",1952,0,0,"1952-09-15"
"119","1118",9,869,"republican",1952,0,0,"1952-09-15"
"120","1119",8,1055,"republican",1952,0,0,"1952-09-15"
"121","1120",10,1207,"republican",1952,0,0,"1952-09-15"
"122","1121",6,700,"republican",1952,0,0,"1952-09-15"
"123","1122",8,1423,"republican",1952,0,0,"1952-09-16"
"124","1123",5,785,"republican",1952,0,0,"1952-09-16"
"125","1124",12,1659,"republican",1952,0,0,"1952-09-16"
"126","1125",14,1673,"republican",1952,0,0,"1952-09-16"
"127","1126",13,1761,"republican",1952,0,0,"1952-09-16"
"128","1127",46,3670,"republican",1952,0,0,"1952-09-17"
"129","1128",17,2460,"republican",1952,0,0,"1952-09-17"
"130","1129",21,2474,"republican",1952,0,0,"1952-09-18"
"131","1130",31,2577,"republican",1952,0,0,"1952-09-18"
"132","1131",6,728,"republican",1952,0,0,"1952-09-18"
"133","1132",11,1464,"republican",1952,0,0,"1952-09-18"
"134","1133",6,864,"republican",1952,0,0,"1952-09-18"
