,Speech_id,text,party,term,comp
893,2008-09-09-dayton-ohio-4,"We need a new vision for a 21st century education – one where we aren't just supporting existing schools, but spurring innovation; where we're not just investing more money, but demanding more reform; where parents take responsibility for their children's success; where our schools and government are accountable for results; where we're recruiting, retaining, and rewarding an army of new teachers, and students are excited to learn because they're attending schools of the future; and where we expect all our children not only to graduate high school, but to graduate college and get a good paying job. It's time to ask ourselves why other countries are outperforming us in education. Because it's not that their kids are smarter than ours – it's that they're being smarter about how to educate their kids. They're spending less time teaching things that don't matter and more time teaching things that do. Their students are spending more time in school, and they're setting higher expectations.",dem,2008,True
12575,2421,"2421 Prime Minister Rabin, who has been my personal friend since he was Ambassador here and I was in the Congress, reported to his Parliament on June 15 this year, and I quote:",rep,1976,True
18132,976,"976 The problem every candidate has--whatever his party--is a problem of communication. There are not many people--there are not even many professional politicians--who are going to read every speech, every editorial, every columnist, and every other bit of material which might throw light on how one ought to vote.",dem,1952,True
17209,2016-10-13-hotel-columbus-ohio,Thank you. I am so happy to be back here in Columbus. Make sure you request your absentee ballot to vote by mail. And remind your friends and family to do the same.,rep,2016,True
35856,1579,"Most of it has gone for foreign aid and for agriculture and defense.  Our foreign aid programs, emphasizing as they do the military in their distribution of surplus military equipment, have not secured us friends, have not won us allies.  The United States today is not stronger than it was, in relationship to the Communist world, than it was eight years ago, after all the programs have been carried out and after all the money has been spent.  As Secretary Wickard knows, our farm budget in the last three years has spent more money than in the twenty years before.  This administration has spent on agriculture more money than all the administrations since the department of agriculture was begun, nearly a century ago.",dem,1960,False
11136,2004-11-01-des-moines-iowa,"We have a difference of opinion as to better—how to better protect America. My opponent has said September the 11th didn't change him much at all. Well, it changed me. I'll never forget the day I stood in the ruins of the Twin Towers, September the 14th, 2001. There were workers in hardhats there yelling at me at the top of their lungs, ""Whatever it takes."" I remember the man who came out of the rubble, and he grabbed me by the arm, and he looked me in the eye, and he said, ""Do not let me down."" Ever since that day, I've gotten up every morning thinking about how to better protect our country. I will never relent in defending America, whatever it takes.",rep,2004,False
6675,2097,"2097 Now, what is the record of the opposition--because we must compare that record--on elementary and secondary education.",dem,1968,True
5938,1010,"1010 I remember a sad story of a man who was running for governor of Wisconsin some years ago. His name was Julius Heil--and he developed an idea that he should become known to the people of his state as Julius the Just. So he went around getting more pious and pontifical--just the way I am too--and developed all the proper Justinian complexes and finally one day when he was speaking to an audience in the country, somewhere in Wisconsin, an old German came up and said to him, ""Julius, if you don't begin acting like yourself you ain't going to be Julius the Just; you are going to end up as 'just Julius'.""",dem,1952,True
37904,3197,It's never happened before. This is an enormously significant thing. And it could democratize education in a way we never have been able to do before.,dem,1996,False
19744,2016-08-31-center-phoenix-arizona,"Thank you. We're very proud of our country. Aren't we? Really? With all it's going through, we're very proud of our country. For instance, in the last five years, we've admitted nearly 100,000 immigrants from Iraq and Afghanistan. And these two countries according to Pew Research, a majority of residents say that the barbaric practice of honor killings against women are often or sometimes justified. That's what they say.",rep,2016,False
