/documents/remarks-following-the-super-tuesday-primaries,"Remarks Following the ""Super Tuesday"" Primaries",2000-03-07
/documents/remarks-announcing-the-suspension-presidential-campaign-activities,Remarks Announcing the Suspension of Presidential Campaign Activities,2000-03-09
/documents/speech-gopac,Speech to GOPAC,2006-11-16
/documents/speech-the-federalist-society,Speech to the Federalist Society,2006-11-16
/documents/remarks-the-dedication-the-center-for-the-intrepid,Remarks at the Dedication of the Center for the Intrepid,2007-01-29
/documents/remarks-before-the-us-senate-committee-homeland-security-and-governmental-affairs,Remarks Before the U.S. Senate Committee on Homeland Security and Governmental Affairs,2007-02-02
/documents/remarks-support-the-federal-funding-accountability-and-transparency-act,Remarks in Support of the Federal Funding Accountability and Transparency Act,2007-02-02
/documents/remarks-the-iaffs-presidential-forum-washington-dc,"Remarks at the IAFF's Presidential Forum in Washington, DC",2007-03-14
/documents/remarks-the-floor-the-united-states-senate,Remarks on the Floor of the United States Senate,2007-03-27
/documents/speech-iraq-the-virginia-military-institute-lexington,Speech on Iraq at the Virginia Military Institute in Lexington,2007-04-11
/documents/address-the-economic-club-memphis,Address to the Economic Club of Memphis,2007-04-16
/documents/speech-energy-policy,Speech on Energy Policy,2007-04-23
/documents/remarks-announcing-candidacy-for-president-portsmouth-new-hampshire,"Remarks Announcing Candidacy for President in Portsmouth, New Hampshire",2007-04-25
/documents/address-the-hoover-institution-us-foreign-policy,Address at the Hoover Institution on U.S. Foreign Policy,2007-05-01
/documents/interview-with-tim-russert-nbc-news-meet-the-press-3,"Interview with Tim Russert on NBC News' ""Meet the Press""",2007-05-13
/documents/address-the-oklahoma-state-legislature,Address to the Oklahoma State Legislature,2007-05-21
/documents/commencement-address-the-us-merchant-marine-academy,Commencement Address at the U.S. Merchant Marine Academy,2007-06-18
/documents/address-the-florida-association-broadcasters,Address to the Florida Association Of Broadcasters,2007-06-20
/documents/address-the-concord-chamber-commerce,Address to the Concord Chamber of Commerce,2007-07-13
/documents/remarks-the-senate-floor-about-the-levin-reed-amendment-the-national-defense-authorization,Remarks on the Senate Floor About the Levin-Reed Amendment to the National Defense Authorization Act of FY 2008,2007-07-18
/documents/address-the-christians-united-for-israel-washington-dc,"Address to the Christians United for Israel in Washington, DC",2007-07-18
/documents/address-the-cedar-rapids-rotary-club,Address to the Cedar Rapids Rotary Club,2007-08-06
/documents/address-the-108th-national-convention-the-veterans-foreign-wars-kansas-city-missouri,"Address to the 108th National Convention Of The Veterans Of Foreign Wars in Kansas City, Missouri",2007-08-20
/documents/address-the-national-guard-association-the-united-states-san-juan-puerto-rico,"Address to the National Guard Association Of The United States in San Juan, Puerto Rico",2007-08-27
/documents/address-the-california-republican-party-convention,Address to the California Republican Party Convention,2007-09-08
/documents/address-the-national-rifle-association,Address to the National Rifle Association,2007-09-21
/documents/address-the-mackinac-republican-leadership-conference,Address to the Mackinac Republican Leadership Conference,2007-09-22
/documents/address-the-hudson-institute-washington-dc,"Address to the Hudson Institute in Washington, DC",2007-09-27
/documents/address-the-2007-hispanic-business-expo-orlando-florida,"Address to the 2007 Hispanic Business Expo in Orlando, Florida",2007-09-28
/documents/address-the-detroit-economic-club-1,Address to the Detroit Economic Club,2007-10-09
/documents/remarks-health-care-des-moines-iowa,"Remarks on Health Care in Des Moines, Iowa",2007-10-11
/documents/address-the-values-voter-summit-washington-dc,"Address to the Values Voter Summit in Washington, DC",2007-10-19
/documents/address-the-presidency-iv-forum-orlando-florida,"Address at the Presidency IV Forum in Orlando, Florida",2007-10-20
/documents/address-conference-bio-economy-ames-iowa,"Address at a Conference on Bio Economy in Ames, Iowa",2007-11-05
/documents/address-franklin-pierce-university-rindge-new-hampshire,"Address at Franklin Pierce University in Rindge, New Hampshire",2007-11-19
/documents/remarks-the-center-for-hydrogen-research-aiken-county-south-carolina,"Remarks at the Center for Hydrogen Research in Aiken County, South Carolina",2007-12-10
/documents/remarks-following-the-iowa-caucuses-3,Remarks Following the Iowa Caucuses,2008-01-03
/documents/interview-with-bob-schieffer-cbs-news-face-the-nation-5,"Interview with Bob Schieffer on CBS News' ""Face the Nation""",2008-01-06
/documents/remarks-following-the-new-hampshire-primary-1,Remarks Following the New Hampshire Primary,2008-01-08
/documents/remarks-the-americans-for-prosperity-michigan-summit-livonia-michigan,"Remarks to the Americans for Prosperity Michigan Summit in Livonia, Michigan",2008-01-12
/documents/remarks-following-the-michigan-primary-1,Remarks Following the Michigan Primary,2008-01-15
/documents/remarks-south-carolina-primary-victory,Remarks on South Carolina Primary Victory,2008-01-19
/documents/remarks-following-the-florida-primary,Remarks Following the Florida Primary,2008-01-29
/documents/remarks-following-the-super-tuesday-primaries-and-caucuses-0,"Remarks Following the ""Super Tuesday"" Primaries and Caucuses",2008-02-05
/documents/remarks-the-conservative-political-action-conference-5,Remarks to the Conservative Political Action Conference,2008-02-07
